painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,generated_emotion_text
marc-chagall_isaiah-1956,Naive_Art_Primitivism,fear,5,6,1,https://uploads3.wikiart.org/images/marc-chagall/isaiah-1956.jpg,the man looks creepy raising his arms The dark colors and the enigmatic subject matter make me feel fearful.,Fear
giovanni-battista-tiepolo_abraham-and-the-three-angels,Rococo,awe,5,1,0,https://uploads6.wikiart.org/images/giovanni-battista-tiepolo/abraham-and-the-three-angels.jpg,The painting is very well done and there's a lot going on that is interesting but I have to admit its a lot like other paintings and doesn't really grab my attention These people with an angel envoke wonder. Movement is created by the bends of each individual. Contrasting dark edges bring focus to the lightned angel in the center of the painting.  Lighter colors in the center complement the importance of the angel. Warm tans and reds sooth the eye to invite time to study the event ocurring in the painting.,Awe
thomas-gainsborough_portrait-of-peter-godfrey-of-old-hall-east-bergholt-suffolk,Rococo,contentment,6,2,0,https://uploads4.wikiart.org/images/thomas-gainsborough/portrait-of-peter-godfrey-of-old-hall-east-bergholt-suffolk.jpg,makes me feel like i don't want to talk to him because he is snobby. he has a sort of air of arrogance but also he looks proud of himself which I admire an elite man dressed in a blue coat and with white hair and a lovely smile,Amusement
robert-silvers_girl-with-the-pearl-earring-2008,Pop_Art,awe,5,1,0,https://uploads8.wikiart.org/images/robert-silvers/girl-with-the-pearl-earring-2008.jpg,The smaller pieces making of a whole picture is admirable and inspiring. I really love how this piece is made up of many other images. The painting is formed using pictures of other people.  It really is awe-inspiring to look at.,Amusement
olivier-debre_daitoku-ji-temple-1990,Color_Field_Painting,contentment,5,2,0,https://uploads6.wikiart.org/images/olivier-debre/daitoku-ji-temple-1990.jpg,"The use of pink makes me think of whimsy, combined with the blurred green and yellow fencing make me think of a dreamscape. A salmon colored background is the canvass for what looks like drips of paint.",Excitement
antonio-ligabue_tiger(1),Naive_Art_Primitivism,amusement,5,0,0,https://uploads3.wikiart.org/images/antonio-ligabue/tiger(1).jpg,The tiger's face is very funny and it made me laugh. The tiger looks like it just told you a bad joke. the face is comical and the colors are vibrate The tiger's round face and tuft of chest fur makes him look childlike and not at all fearsome.,Amusement
georges-seurat_study-for-the-channel-at-gravelines-evening-1890,Pointillism,contentment,5,2,0,https://uploads6.wikiart.org/images/georges-seurat/study-for-the-channel-at-gravelines-evening-1890.jpg,"The painting technique suggests a sense of ease. The painting technique suggests a sense of ease. There are two figures standing on what appears to be the shore of a body of water with their reflections shimmering in the water. . There are two figures standing on what appears to be the shore of a body of water with their reflections shimmering in the water. . The colors are very soothing at the top, they seem like clouds at sunset. The colors are very soothing at the top, they seem like clouds at sunset.",Contentment
vincent-van-gogh_vase-with-red-gladioli-1886,Post_Impressionism,awe,5,1,0,https://uploads5.wikiart.org/images/vincent-van-gogh/vase-with-red-gladioli-1886.jpg,The reds and oranges make this painting feel very warm and the flowers are beautiful and bright. Red flowers look like feathers of a phoenix. The red is so bright that it looks like flames,Excitement
mstislav-dobuzhinsky_october-idyll-1905,Expressionism,fear,5,6,1,https://uploads0.wikiart.org/images/mstislav-dobuzhinsky/october-idyll-1905.jpg,"The red splash of paint looks like blood from a murder victim The blood on the pavement looks like something horrible happened. The little doll also reminds me of a grenade beacuse of the texture of the dress. The blood, and the discarded doll, indictes a tragedy happened here.",Fear
franz-marc_cows-yellow-red-green-1912,Expressionism,contentment,5,2,0,https://uploads7.wikiart.org/images/franz-marc/cows-yellow-red-green-1912.jpg,"Every animal has their feelings of bliss and watching it happen can inspire that same feeling in us. the reds, yellows and greens make me feel like I am standing in a vegetable garden",Contentment
george-catlin_shonka-sabe-black-dog-chief-of-the-hunkah-division-of-the-osage-tribe-1834,Realism,awe,5,1,0,https://uploads4.wikiart.org/images/george-catlin/shonka-sabe-black-dog-chief-of-the-hunkah-division-of-the-osage-tribe-1834.jpg,"This is a painting of a native with a flute and an ax.  He seems proud. A tribesman stands alone on an empty field contemplating This Native American, looks like Mohawk, (but I could be wrong), either way, it looks as if this Indian, is prepared for a battle with the red pigment, on his skin, I'm not sure if it's paint or blood, I suppose either way makes sense.",Amusement
berthe-morisot_the-isle-of-wight-1875,Impressionism,contentment,5,2,0,https://uploads7.wikiart.org/images/berthe-morisot/the-isle-of-wight-1875.jpg,I like how in the messiness of the painting you find the details. This looks like a good scene but the art style leaves too much to the imagination. the colors are calmoning overall but especially when coupled with the maritime subject matter I like the overall tranquility of the scene. The lightness of the colors used add to the feeling of ease and calmness.,Amusement
billy-apple_join-our-union-jack-young-commonwealth-artists-1962,Pop_Art,anger,6,4,1,https://uploads6.wikiart.org/images/billy-apple/join-our-union-jack-young-commonwealth-artists-1962.jpg,The tiny scribble of red looks done out of irateness. This drawing of a portion of a flag insults the viewer by even considering for a moment that it could be fine art.,Anger
ernst-ludwig-kirchner_kokottenkopf-with-feathered-hat,Expressionism,contentment,5,2,0,https://uploads5.wikiart.org/images/ernst-ludwig-kirchner/kokottenkopf-with-feathered-hat.jpg,the woman looks very cool and fashionable in the picture The red on the females hat compliments the shade of her lipstick a young woman with black hair and a red crown on her head,Amusement
richard-tuttle_sail-1964,Minimalism,contentment,6,2,0,https://uploads3.wikiart.org/images/richard-tuttle/sail-1964.jpg,"the composition is balanced and the use of white suggests purity It is nice to see that people still like to make abstract without having to make a mess of things, keeping it simple. The curve line which is the grey area between right and wrong. The way the shadow creates a border around the object is quite calming",Contentment
allan-ramsay_john-manners-marquess-of-granby-1745,Rococo,contentment,5,2,0,https://uploads1.wikiart.org/images/allan-ramsay/john-manners-marquess-of-granby-1745.jpg,The painting looks very realistic and the colors are very believably rendered The subject is standing proud with a grin on his face showing his confidence.,Amusement
georges-braque_woman-with-a-guitar-1913,Synthetic_Cubism,sadness,5,7,1,https://uploads0.wikiart.org/images/georges-braque/woman-with-a-guitar-1913.jpg,The muted colors look like days gone by. It is total mixed up feeling I get when looking at it.,Amusement
john-singer-sargent_capri-girl-1878,Impressionism,contentment,6,2,0,https://uploads5.wikiart.org/images/john-singer-sargent/capri-girl-1878.jpg,The dark scene is quite lovely and I find the figure to be working quite diligently. This is a gorgeous painting that looks like a springtime day in Italy The woman is dressed beautifully and casually leaning against the branch to take a rest. The way she elegantly drapes over the branch is really beautiful,Contentment
agnes-martin_happy-valley-1967,Minimalism,contentment,5,2,0,https://uploads0.wikiart.org/images/agnes-martin/happy-valley-1967.jpg,The scene is very plain and inactive Something about the completely blank canvas makes me feel calm and happy. It is a fresh start,Amusement
paul-cezanne_the-lac-d-annecy-1896,Post_Impressionism,contentment,5,2,0,https://uploads4.wikiart.org/images/paul-cezanne/the-lac-d-annecy-1896.jpg,"Beautiful shades of blue are so pretty against the pavillion in the background looks like a peaceful place to spend a day The greens and blues, along with the glassy water, make this a calming scene. The blue and green colors of the lake and trees are bright and cheerful, and the open space on the lake is calming.",Contentment
pietro-perugino_pala-di-sant-agostino-adoration-of-the-magi,High_Renaissance,contentment,5,2,0,https://uploads2.wikiart.org/images/pietro-perugino/pala-di-sant-agostino-adoration-of-the-magi.jpg,The kneeling man is endearing and implies a loyalty to the family I feel peace as friends are gathering together and talking among themselves.,Amusement
konrad-witz_st-catherine-of-alexandria,Northern_Renaissance,contentment,5,2,0,https://uploads8.wikiart.org/images/konrad-witz/st-catherine-of-alexandria.jpg,she looks like a warrior who uses the power of knowledge to win her battles the fancy background matched with the fancy cloth givs this woman highly profile I love the colors and rich textures of the lady's robes,Contentment
taro-yamamoto_untitled-1961,Abstract_Expressionism,excitement,6,3,0,https://uploads6.wikiart.org/images/taro-yamamoto/untitled-1961.jpg,"It looks dynamic with the splattered paint and the circles look like colored balloons with their briggt colors. seems to be a party, I see balloons Beautiful blend of colors and splotches; high energy",Excitement
tivadar-kosztka-csontvary_shipwreck-1903,Expressionism,fear,10,6,1,https://uploads1.wikiart.org/images/tivadar-kosztka-csontvary/shipwreck-1903.jpg,"The grey of the sky looks to be a disastrous storm ahead or smoke from raging fires, looks scary. The grey of the sky looks to be a disastrous storm ahead or smoke from raging fires, looks scary. The men and women on the boat appear to be in panic and makes me feel scared. The men and women on the boat appear to be in panic and makes me feel scared. This boat seems to be sailing into a heavy storm, since there are dark clouds looming This boat seems to be sailing into a heavy storm, since there are dark clouds looming The boat looks like it will sink, and it makes me fear for the lives of those on the boat since not all of them will survive. The boat looks like it will sink, and it makes me fear for the lives of those on the boat since not all of them will survive.",Fear
marc-chagall_king-david-ii-samuel-vi-4-5,Naive_Art_Primitivism,sadness,6,7,1,https://uploads1.wikiart.org/images/marc-chagall/king-david-ii-samuel-vi-4-5.jpg,All the people marching away from the castle like they are being thrown out Looks like a figure that is being scorned by a group and it's sad. The way this person is much bigger than all the other people wearing a crown makes it appear as he is dominating them.,Sadness
lucas-cranach-the-elder_the-fountain-of-youth-1546,Northern_Renaissance,contentment,5,2,0,https://uploads2.wikiart.org/images/lucas-cranach-the-elder/the-fountain-of-youth-1546.jpg,This scene looks very relaxed as people enjoy the public bath and dine at the table in the upper right.. a cement square pool with a fountain in the center of people Everyone is enjoying cooling off in the public pool,Amusement
pablo-picasso_the-great-odalisque-after-ingres-1907,Cubism,sadness,5,7,1,https://uploads3.wikiart.org/images/pablo-picasso/the-great-odalisque-after-ingres-1907.jpg,"It's like the artist did a really quick rough, but then gave up on it. There's almost nothing here to look at, besides that blob that somewhat resembles a person. This one looks like a woman sitting on the bed, reaching for someone who is getting up, I don't know why exactly, but this makes me sad. This feels like a restless night that seems to take forever",Amusement
mikhail-vrubel_a-man-in-a-russian-old-style-costume-1886,Art_Nouveau_Modern,fear,11,6,1,https://uploads8.wikiart.org/images/mikhail-vrubel/a-man-in-a-russian-old-style-costume-1886.jpg,"the man's discolored face is greenish gray and terrifying the man's discolored face is greenish gray and terrifying This man appears to be evil in nature, kind of like a dictator. This man appears to be evil in nature, kind of like a dictator. The man looks serious, dark, and insane. He looks like a human form of Satan. The man looks serious, dark, and insane. He looks like a human form of Satan.",Fear
john-henry-twachtman_back-of-coney-island,Impressionism,contentment,6,2,0,https://uploads2.wikiart.org/images/john-henry-twachtman/back-of-coney-island.jpg,The sand looks so white and soft that it appears to be made of whipped cream The dunes seem to almost appear like small clouds in the ground as they match the clouds in the sky. The snow or sand seems to shine on its way toward the lighthouse and city landscape in the distance.,Amusement
paul-cezanne_mont-sainte-victoire-1897,Cubism,contentment,6,2,0,https://uploads8.wikiart.org/images/paul-cezanne/mont-sainte-victoire-1897.jpg,"the rocks and trees form a good contrast, it's a forgetable piece of art but decently done It makes me think of a fun jungle adventure. The bright orange and green colors are lively and calming",Amusement
rembrandt_self-portrait-in-a-fur-cap-bust-1630,Baroque,amusement,5,0,0,https://uploads7.wikiart.org/images/rembrandt/self-portrait-in-a-fur-cap-bust-1630.jpg,I like the sketched effect on his hat with all the curlicues and zig-zags. It's amazing how this piece was drawn with just squiggly lines,Disgust
camille-pissarro_male-and-female-peasants-on-a-path-crossing-the-countryside,Realism,contentment,6,2,0,https://uploads1.wikiart.org/images/camille-pissarro/male-and-female-peasants-on-a-path-crossing-the-countryside.jpg,"This area seems quiet, and gentle. The people are walking happily The white clouds in this sky looks like a peacful summer day. I like the countryside painting with what looks like villagers casually enjoying the day. I enjoy the simple walking and relaxing environment of this town",Contentment
john-french-sloan_sun-and-wind-on-the-roof-1915,New_Realism,excitement,5,3,0,https://uploads8.wikiart.org/images/john-french-sloan/sun-and-wind-on-the-roof-1915.jpg,"The laundry struggle in the tenements is what this reminds me of. I love this. I feel like I'm there with her hanging clothing on a windswept rooftop in a city. I think she must have a busy, exciting life living in a place like that.",Amusement
el-greco_the-agony-in-the-garden-1,Mannerism_Late_Renaissance,awe,5,1,0,https://uploads4.wikiart.org/images/el-greco/the-agony-in-the-garden-1.jpg,A biblical scene with a angel. this has deep spiritual meanings Beautiful asserting the angel wings into the human.,Awe
claude-monet_saint-lazare-station,Impressionism,contentment,5,2,0,https://uploads3.wikiart.org/images/claude-monet/saint-lazare-station.jpg,Nothing stands out to me too much in this. The parked train looks like a jug with billowing smoke.,Amusement
raphael-kirchner_maid-of-athens-1900-6,Art_Nouveau_Modern,awe,5,1,0,https://uploads8.wikiart.org/images/raphael-kirchner/maid-of-athens-1900-6.jpg,Makes me feel at peace and knowing beauty isn't everything. Be your own best beautiful. I feel happy over this young woman who is getting ready and freshening up for an important event. This painting shows a young woman admiring her beauty in a mirror.,Amusement
michael-bell_the-n-and-the-r-2010,New_Realism,sadness,6,7,1,https://uploads3.wikiart.org/images/michael-bell/the-n-and-the-r-2010.jpg,"The written message on the top edge could be referring to a loss.  Such as, when people are killed at a mass shooting at a high school.  The vignette wisps suggest a memory flashback.  Plus the lighting silloulette light source in front of subject reminds me a going into the light at death.  The empty bleachers in the background could represent a football field. The written message on the top edge could be referring to a loss.  Such as, when people are killed at a mass shooting at a high school.  The vignette wisps suggest a memory flashback.  Plus the lighting silloulette light source in front of subject reminds me a going into the light at death.  The empty bleachers in the background could represent a football field. This makes me feel sad because it gives off a lonely feeling. This makes me feel sad because it gives off a lonely feeling. The subject of the painting seems like she is all alone and is staring off into emptyness The subject of the painting seems like she is all alone and is staring off into emptyness",Sadness
konrad-witz_abishai-kneeling-before-david,Northern_Renaissance,awe,5,1,0,https://uploads2.wikiart.org/images/konrad-witz/abishai-kneeling-before-david.jpg,The man's fancy clothes and large hat makes him look imposing. The man kneels humbly and offers his special gift. A bishop or priest conveying an important message.,Awe
paul-cezanne_bather-1887,Post_Impressionism,amusement,5,0,0,https://uploads3.wikiart.org/images/paul-cezanne/bather-1887.jpg,"For some reason this man reminds me of a twelve year old boy who is trying on new underwear his mom got him. It is quite comical. this painting seems to capture a man in his natural state and moment, which is very human and relatable.",Amusement
edward-burne-jones_night-1870,Symbolism,sadness,5,7,1,https://uploads8.wikiart.org/images/edward-burne-jones/night-1870.jpg,the way the figure is depicted seems quite lonely her spirit looks lost,Amusement
rembrandt_seated-saskia-with-a-letter-in-her-left-hand-1635,Baroque,contentment,5,2,0,https://uploads2.wikiart.org/images/rembrandt/seated-saskia-with-a-letter-in-her-left-hand-1635.jpg,"The woman rests at home after a long day of work. good use of gray scale and the amount of detail to the clothes The women is alone, yet appears happy.",Contentment
tintoretto_sts-helen-and-barbara-adoring-the-cross,Mannerism_Late_Renaissance,awe,5,1,0,https://uploads2.wikiart.org/images/tintoretto/sts-helen-and-barbara-adoring-the-cross.jpg,The details make the characters appear to move. Beautiful colors and people who are coming together to support,Excitement
marc-chagall_illustration-for-louis-aragon-s-work-one-who-says-things-without-saying-anything-1976-3,Naive_Art_Primitivism,awe,5,1,0,https://uploads7.wikiart.org/images/marc-chagall/illustration-for-louis-aragon-s-work-one-who-says-things-without-saying-anything-1976-3.jpg,"The person on the left looks like a giant, the creatures with the wings add intrigue to the picture. i am lowkey really feeling this painting the detail is cool and the little bird people looking things are super cool",Excitement
martin-schongauer_madonna-on-the-turf-bench,Northern_Renaissance,contentment,5,2,0,https://uploads4.wikiart.org/images/martin-schongauer/madonna-on-the-turf-bench.jpg,The mother looks like she is having fun playing with the baby and rattle mother and child in peaceful bonding. A happy mother peacefully feeding her healthy new born kid. Christ seems safe and secure in the arms of his mother.,Amusement
egon-schiele_arthur-roessler-1910,Expressionism,awe,5,1,0,https://uploads3.wikiart.org/images/egon-schiele/arthur-roessler-1910.jpg,"This image of the man in his ruffled clothing is symbolic of the exploitative nature of capitalism wrinkling up the soul The contrasting brush strokes give the feeling of wrinkles, angles, movement, and subtle depth.",Anger
patrick-heron_horizontal-stripe-painting-november-1957-january-1958-1958,Color_Field_Painting,disgust,5,5,1,https://uploads6.wikiart.org/images/patrick-heron/horizontal-stripe-painting-november-1957-january-1958-1958.jpg,"So much more red thn any other colors, I'm not a fan of it at all. I don't like this painting because it is just an assortment of different colors layered on top of one another.  There are no shapes or figures to be seen. This feels amateur, like somebody was sampling their paint colors",Disgust
francisco-goya_still-life-three-salmon-steaks-1812,Romanticism,disgust,5,5,1,https://uploads2.wikiart.org/images/francisco-goya/still-life-three-salmon-steaks-1812.jpg,"I like tuna, but it's so raw and red and I'm not even sure it's fresh. The silver skin around the bloody meats is a reminder of the whole fish that was swimming in the sea. It's raw meat, a cut up animal! Red against black brings out the blood color.",Disgust
raphael-kirchner_a-half-of-a-virgin-1901-5,Art_Nouveau_Modern,contentment,5,2,0,https://uploads3.wikiart.org/images/raphael-kirchner/a-half-of-a-virgin-1901-5.jpg,"i like how light and wispy the woman in the image looks I love the colors used and the retro female image. Simple painting, simple colors the flowers in her hand and head is peaceful.",Contentment
marc-chagall_musicians-1979,Naive_Art_Primitivism,excitement,5,3,0,https://uploads6.wikiart.org/images/marc-chagall/musicians-1979.jpg,It's exciting seeing the man play his instrument for his lady. the people seem to be celebrating something and enjoying themselves,Amusement
jackson-pollock_autumn-rhythm-number-30-1950,Action_painting,excitement,5,3,0,https://uploads5.wikiart.org/images/jackson-pollock/autumn-rhythm-number-30-1950.jpg,The splashing of colors is exciting. The way the paint was applied gives off a lot of energy.,Amusement
hans-von-aachen_matthias-holy-roman-emperor-as-king-of-bohemia-1612,Mannerism_Late_Renaissance,amusement,5,0,0,https://uploads1.wikiart.org/images/hans-von-aachen/matthias-holy-roman-emperor-as-king-of-bohemia-1612.jpg,This guy honestly reminds me of a peacock. He also looks as if he is wearing some sort of frilly wallpaper. his peacock feather dress is very pretty,Amusement
paul-gauguin_garden-in-rue-carcel,Impressionism,awe,5,1,0,https://uploads3.wikiart.org/images/paul-gauguin/garden-in-rue-carcel.jpg,the surrounding foliage gives a very peaceful vibe The detail level of the tree in the center really stands out.,Contentment
hieronymus-bosch_two-monsters,Northern_Renaissance,disgust,5,5,1,https://uploads8.wikiart.org/images/hieronymus-bosch/two-monsters.jpg,"the monster looks like it has arrows painfully stuck in him and parts were cut off It looks like it's half lizard and have roisterer chicken, and a while lion? It's just all disgusting in appearance with the mix matched body parts.",Disgust
kuzma-petrov-vodkin_picture-to-picture-game-boy-1911,Symbolism,awe,5,1,0,https://uploads4.wikiart.org/images/kuzma-petrov-vodkin/picture-to-picture-game-boy-1911.jpg,Lines used to draw the image of the men is so detailed that it amazes me that the way it looks. It is as the person could come of the page. the man is posing nude,Amusement
henri-le-fauconnier_little-schoolgirl-1907,Post_Impressionism,contentment,5,2,0,https://uploads3.wikiart.org/images/henri-le-fauconnier/little-schoolgirl-1907.jpg,There is a peaceful contentness seeing the girl studying at her desk. Just a moment of everyday life. I like the textures of this painting and the little girls' facial expression. a young lady sitting and writing by a flower pot The figure looks engrossed the in the letter writing.  I wonder what important news she is excited to share. The characters body position and head position are one of deep concentration.,Contentment
franz-stuck_wild-chase-1889,Symbolism,fear,5,6,1,https://uploads6.wikiart.org/images/franz-stuck/wild-chase-1889.jpg,"This painting is dark, makes me feel fearful, as if they were right outside my window. This is a scary painting.  It looks like demons are coming to get me. The dark figures create a haunted feeling. The look on the kneeling man's face is one of fear and astonishment, the whole picture feels dark.",Fear
arshile-gorky_water-of-the-flowery-mill,Abstract_Expressionism,awe,5,1,0,https://uploads0.wikiart.org/images/arshile-gorky/water-of-the-flowery-mill.jpg,"i love how much it pops and the exciting colors they use. The flowing nature of the paint, the vibrant colors, and the unclear subject matter captures my attention and forces me to engage with the painting. This mysterious nature of these elements interacting is incredibly interesting.",Excitement
david-burliuk_woman-with-a-duck-1964,Naive_Art_Primitivism,contentment,5,2,0,https://uploads6.wikiart.org/images/david-burliuk/woman-with-a-duck-1964.jpg,"She looks like she is one with nature by holding the duck and therefore it makes me slightly happy, also she looks happy which means i should. The little girl looks happy as she holds onto her duck. The duck is really cute and happy.",Contentment
paul-jenkins_pawnee,Abstract_Expressionism,awe,5,1,0,https://uploads7.wikiart.org/images/paul-jenkins/pawnee.jpg,The back and red cloudiness of this painting and the chaos depicted are incomprehensible. its almost like a more contemporary Jackson Pollock painting. its very nice in this circular shape.,Amusement
camille-pissarro_view-from-louveciennes,Realism,sadness,5,7,1,https://uploads0.wikiart.org/images/camille-pissarro/view-from-louveciennes.jpg,The road has eerie shadows cast upon it of almost bare branches. Isolated town and an old man looking for someone to talk to.,Amusement
helen-frankenthaler_tuscany-1963,Abstract_Expressionism,fear,6,6,1,https://uploads2.wikiart.org/images/helen-frankenthaler/tuscany-1963.jpg,The brown line at the bottom looks like a childs chocolate mouth. The brown line at the bottom looks like a childs chocolate mouth. The main subject in the painting looks like a monster with it's mouth open eating something The main subject in the painting looks like a monster with it's mouth open eating something The main subject in the painting looks like monster with it's mouth open The main subject in the painting looks like monster with it's mouth open,Disgust
vincent-van-gogh_self-portrait-with-a-japanese-print-1887,Post_Impressionism,sadness,45,7,1,https://uploads0.wikiart.org/images/vincent-van-gogh/self-portrait-with-a-japanese-print-1887.jpg,"The dark circles under the man's dark haunted eyes creates a sense of sadness and sympathy towards him. The vivid and deliberate brush strokes in all different directions perhaps betray his state of mind. The dark circles under the man's dark haunted eyes creates a sense of sadness and sympathy towards him. The vivid and deliberate brush strokes in all different directions perhaps betray his state of mind. The strokes here are haphazard. the man's face is slack and looks spaced out. This is an unsettling photo and evokes madness. The strokes here are haphazard. the man's face is slack and looks spaced out. This is an unsettling photo and evokes madness. The facial expression of the man is rather glum suggesting not all may be well The facial expression of the man is rather glum suggesting not all may be well this makes me sad because his eyes look deep and sorrowful, like he is in emotional pain. this makes me sad because his eyes look deep and sorrowful, like he is in emotional pain. His expression is so sad and tired, the lines make the shading look rough, emphasizing his mood. His expression is so sad and tired, the lines make the shading look rough, emphasizing his mood. He looks depressed and the dark shadows around his eyes makes him look very tired. The strong strokes emphasizes his sadness. He looks depressed and the dark shadows around his eyes makes him look very tired. The strong strokes emphasizes his sadness. The man looks like he is half angry but sad at the same time. The man looks like he is half angry but sad at the same time. this gentleman seems ill.  maybe the gray tones in his face and sunken eyes this gentleman seems ill.  maybe the gray tones in his face and sunken eyes The man has a lot of wrinkles underneath his eyes, showing he's tired The man has a lot of wrinkles underneath his eyes, showing he's tired The blue tones on his face make him look exhausted and sick, he looks depressed. The blue tones on his face make him look exhausted and sick, he looks depressed. The man looks very sad in the picture. The man looks very sad in the picture. The man's eyes look blank and empty and he has wrinkles on his face The man's eyes look blank and empty and he has wrinkles on his face The man's facial expression suggests all is not well and he appears to be struggling The man's facial expression suggests all is not well and he appears to be struggling The sadness in the man's eyes in the portrait shines through. The sadness in the man's eyes in the portrait shines through.",Sadness
diego-velazquez_juan-mateos,Baroque,contentment,6,2,0,https://uploads6.wikiart.org/images/diego-velazquez/juan-mateos.jpg,the bright light on the face shines like the sun The details of his face and neck are very life-like,Amusement
paul-gauguin_adam-and-eve-1902,Post_Impressionism,excitement,5,3,0,https://uploads0.wikiart.org/images/paul-gauguin/adam-and-eve-1902.jpg,Having sex in the outdoors is always exciting It is creative how the human body us presented. It is no even perverse. They look innocent.,Excitement
dmitry-levitzky_portrait-of-e-i-molchanova-1776,Rococo,amusement,5,0,0,https://uploads8.wikiart.org/images/dmitry-levitzky/portrait-of-e-i-molchanova-1776.jpg,This woman is clearly trying way too hard to be attractive. She also looks like she is wearing a ton of bedsheets. Really weird. The haircut on the woman reminds me of Frankenstein's bride. Also she kind of looks like a man.,Disgust
manabu-mabe_som-1976,Abstract_Expressionism,excitement,5,3,0,https://uploads8.wikiart.org/images/manabu-mabe/som-1976.jpg,"It makes me think of something valuable that is being set on fire, it looks like it is melting. The white and dark orange look like a flame burning.",Amusement
egon-schiele_two-girls-on-a-fringed-blanket-1911,Expressionism,contentment,5,2,0,https://uploads0.wikiart.org/images/egon-schiele/two-girls-on-a-fringed-blanket-1911.jpg,sensual look and the white ivory skin goes well with the darker reds and black the women appear to be comforting one another and keeping each other warm,Contentment
ronnie-landfield_yellow-prairie-1972,Color_Field_Painting,contentment,5,2,0,https://uploads6.wikiart.org/images/ronnie-landfield/yellow-prairie-1972.jpg,"The colors are bright and remind me of a prism dangling in the morning sunlight. The blanket of colors makes me think of a ray of sun. The pastel colors and the brightness of the background make me feel happy This is a dude with no hips in a hula skirt, maybe?",Amusement
