painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_excitement_shot
carl-bloch_in-a-roman-osteria-1866,Realism,amusement,5,0,0,https://uploads4.wikiart.org/images/carl-bloch/in-a-roman-osteria-1866.jpg,They look annoyed by the person painting them but sat long enough for them to do so They look annoyed by the person painting them but sat long enough for them to do so I can tell the people in this painting were trying to be serious but were really having a good time. So funny. I can tell the people in this painting were trying to be serious but were really having a good time. So funny. A women looks like she has been caught sniffing her drink. A women looks like she has been caught sniffing her drink.,Amusement
jean-degottex_composition-1975,Minimalism,sadness,5,7,1,https://uploads0.wikiart.org/images/jean-degottex/composition-1975.jpg,This makes for a lonely and confusing feeling. WHich is sadness inducing Water streaming down and nobody to stop it. The painting looks really boring and lonely.,Sadness
fernando-botero_lefty-and-his-gang,Naive_Art_Primitivism,amusement,5,0,0,https://uploads4.wikiart.org/images/fernando-botero/lefty-and-his-gang.jpg,"The colors are whimsical and the figures are comically exaggerated It reminds me of the blind leading the blind in this picture where the man is sitting on a horse with a blindfold on. The bold colors suggest that they are obnoxious but stupid at the same time. The matadors, so brave.",Amusement
ito-jakuchu_botan-shoukinzu,Ukiyo_e,contentment,5,2,0,https://uploads6.wikiart.org/images/ito-jakuchu/botan-shoukinzu.jpg,Lovely flowers and a sweet bird. Flower bed garden makes me feel content and calm. the contrast beween the flower and vegitation,Contentment
arshile-gorky_water-of-the-flowery-mill,Abstract_Expressionism,awe,5,1,0,https://uploads0.wikiart.org/images/arshile-gorky/water-of-the-flowery-mill.jpg,"i love how much it pops and the exciting colors they use. The flowing nature of the paint, the vibrant colors, and the unclear subject matter captures my attention and forces me to engage with the painting. This mysterious nature of these elements interacting is incredibly interesting.",Excitement
giovanni-battista-tiepolo_apparition-of-the-virgin-to-st-simon-stock-1749,Rococo,awe,5,1,0,https://uploads7.wikiart.org/images/giovanni-battista-tiepolo/apparition-of-the-virgin-to-st-simon-stock-1749.jpg,because of the light colors of the sky and the bright blue robe. There is a lot of inspiration here due to the dramatic feeling in the painting. It is very action packed. The painting looks like the messengers of god came to earth.,Excitement
orest-kiprensky_a-girl-with-flowing-hair-baby-s-head-1807,Romanticism,contentment,5,2,0,https://uploads0.wikiart.org/images/orest-kiprensky/a-girl-with-flowing-hair-baby-s-head-1807.jpg,"The baby on the right grew up to be the girl on the left, a young girl with a lovely nose. The expressions of the individuals are quite lovely and their facial expressions are quite interesting. The details of the two faces mimic each other but are of different ages.",Contentment
mikhail-vrubel_head-of-demon-1,Symbolism,fear,6,6,1,https://uploads0.wikiart.org/images/mikhail-vrubel/head-of-demon-1.jpg,"I am a bit unnerved by the rock that looks like a face. This completely grey and black sketch of a pouty woman makes me feel like she is about to take her life. It feels depressing through and through. The transparency of the woman is ghostlike, her expression stern. The woman looks scary and almost as if she is possessed.",Sadness
hans-hofmann_delirious-pink-1961,Abstract_Expressionism,disgust,5,5,1,https://uploads2.wikiart.org/images/hans-hofmann/delirious-pink-1961.jpg,This painting looks like blood smeared on a wall.,Disgust
john-constable_old-sarum-1829,Romanticism,awe,5,1,0,https://uploads8.wikiart.org/images/john-constable/old-sarum-1829.jpg,"The details and colors in the vastness of the sky emphasizes the largeness of the world in a gorgeous way. The clouds are parting the dark sky, a child has paused to see the change",Awe
horace-pippin_interior-1944,Naive_Art_Primitivism,sadness,5,7,1,https://uploads6.wikiart.org/images/horace-pippin/interior-1944.jpg,Such a realisticand spare  portrayal of a home for poor people. The little girl holds her doll tenderly while the girl's mother ignores the girl to smoke a pipe. It is cold and dark outside. None of the people are interacting with one another. The family looks broken apart with the distance between them.,Sadness
giovanni-domenico-tiepolo_minuet-1756,Rococo,amusement,5,0,0,https://uploads7.wikiart.org/images/giovanni-domenico-tiepolo/minuet-1756.jpg,"This appears to be a costume ball which is kind of interesting. I like how the colors in the background are pastel and light while the foreground is dark. The revelers look like they're having fun, which is contagious. The people are gathered in the park and some are wearing masks, but the lady in the fur forgot her head.",Amusement
fyodor-rokotov_portrait-of-a-g-bobrinsky-in-his-childhood,Rococo,sadness,5,7,1,https://uploads0.wikiart.org/images/fyodor-rokotov/portrait-of-a-g-bobrinsky-in-his-childhood.jpg,sad knowing that it's likely she did not survive childhood. Even though shes smiling her eyes look really sad almost like she was crying,Sadness
louise-elisabeth-vigee-le-brun_portrait-of-lisabeth-of-france,Rococo,contentment,6,2,0,https://uploads4.wikiart.org/images/louise-elisabeth-vigee-le-brun/portrait-of-lisabeth-of-france.jpg,"I love how beautifully this woman is painted. She has a lively face and looks healthy. You can tell she is probably a woman of status. The woman is so delicate, demure and peaceful looking in white. rosey pink cheecks and lips with a bright pearly white dress makes this painting",Contentment
benjamin-west_harvesting-at-windsor-1795,Rococo,contentment,6,2,0,https://uploads1.wikiart.org/images/benjamin-west/harvesting-at-windsor-1795.jpg,"It looks to me like a gathering of family and friends, working and relaxing together, enjoying each other's company. there's a feel of everyone working together in this The scene is calm and seems to depict people going about their everyday lives. The dog is even lounging with the people nearby. The workers work hard but will be able to enjoy some quality time after they are finished. Farmers out in the field, possibly a family working together in the harvest. Very vibrant colors and nice detail as you can almost see every stalk of wheat.",Contentment
