painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_amusement_shot,predicted_anger_shot,predicted_awe_shot,predicted_disgust_shot,predicted_contentment_shot,predicted_excitement_shot,predicted_fear_shot,predicted_sad_shot,
ogata-gekko_nihon-hana-zue-1896-3,Ukiyo_e,awe,5,1,0,https://uploads3.wikiart.org/images/ogata-gekko/nihon-hana-zue-1896-3.jpg,"I love the delicate pencil-style lines, especially where they depict trees in the background I respect this man and his position.  he is a powerful person that commands respect.  Humbling. The way the people are looking around makes it look like they are discovering something new. I enjoy the details in the painting that seem minimal but important.",awe,awe,Awe,Awe,Contentment,Awe,Awe,Awe,
gerhard-richter_abstract-picture,Abstract_Expressionism,sadness,5,7,1,https://uploads2.wikiart.org/images/gerhard-richter/abstract-picture.jpg,the more vibrant colors of the painting look as if they are melting into gray or emptiness. The streaking colors down the canvas look as if tears have been shed over the painting.,amusement,anger,Awe,Disgust,Excitement,Excitement,Sadness,Sadness,
giovanni-battista-tiepolo_rinaldo-and-armida-are-surprised-by-ubaldo-and-carlo-1755,Rococo,fear,5,6,1,https://uploads8.wikiart.org/images/giovanni-battista-tiepolo/rinaldo-and-armida-are-surprised-by-ubaldo-and-carlo-1755.jpg,This makes me think the subject is sick  but the angel is trying to watch over There seems to be a war and people are upset,sadness,sadness,Fear,Disgust,Sadness,Sadness,Fear,Sadness,
rene-magritte_self-portrait-1923(1),Cubism,disgust,5,5,1,https://uploads5.wikiart.org/images/rene-magritte/self-portrait-1923(1).jpg,"The various shapes are organized to form a weird human face. The various shapes of color combine to form an angry face, the subject is not attractive at all and glaring stare is unpleasant.",anger,anger,Anger,Disgust,Anger,Anger,Fear,Anger,
eugene-boudin_the-beach-at-deauville-1863,Impressionism,contentment,5,2,0,https://uploads2.wikiart.org/images/eugene-boudin/the-beach-at-deauville-1863.jpg,"There is a beuatiful summer sky in this painting and it takes up over half ot the canvas. There are a few different groups spread out over a large expansive beach. I would love to go to an""empty"" beach like this. The sky is so calm it makes me feel relaxed and at ease here. I would like any day with a blue sky and clear water like this. This image makes me feel content because the image uses rich but muted colors and the contents of the image are soothing.",contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
albrecht-durer_hohenasperg-siege-by-georg-von-frundsberg-in-war-of-swabian-federal-versus-herzog-ulrich,Northern_Renaissance,awe,5,1,0,https://uploads1.wikiart.org/images/albrecht-durer/hohenasperg-siege-by-georg-von-frundsberg-in-war-of-swabian-federal-versus-herzog-ulrich.jpg,There is so much detail and Percision in this drawing that makes me feel all the picture looks like a map of something in another country The castle on top of the hill looks straight up majestic yet scary at the same time.,awe,fear,Awe,Awe,Awe,Awe,Fear,Fear,
carl-bloch_in-a-roman-osteria-1866,Realism,amusement,5,0,0,https://uploads4.wikiart.org/images/carl-bloch/in-a-roman-osteria-1866.jpg,They look annoyed by the person painting them but sat long enough for them to do so They look annoyed by the person painting them but sat long enough for them to do so I can tell the people in this painting were trying to be serious but were really having a good time. So funny. I can tell the people in this painting were trying to be serious but were really having a good time. So funny. A women looks like she has been caught sniffing her drink. A women looks like she has been caught sniffing her drink.,amusement,amusement,Amusement,Amusement,Amusement,Amusement,Amusement,Amusement,
pierre-auguste-renoir_lise-on-the-bank-of-the-seine-1870,Realism,excitement,5,3,0,https://uploads8.wikiart.org/images/pierre-auguste-renoir/lise-on-the-bank-of-the-seine-1870.jpg,"I like the nude woman's ample breast and her clothes lie hanging off her. The woman is attractive, nude, and a man is behind her biting his knuckle.",amusement,amusement,Awe,Disgust,Amusement,Excitement,Disgust,Sadness,
paula-modersohn-becker_reclining-mother-and-child-1906,Expressionism,contentment,5,2,0,https://uploads6.wikiart.org/images/paula-modersohn-becker/reclining-mother-and-child-1906.jpg,"I love how the mom is holding the child in this image. You can tell that she loves her child very much. This is such a beautiful scene. This sketch of a sleeping mother and child gives the feeling of contentment by the way the mother is hugging the child close to her body. Though the sketch is rough (the drawing of the mother's hands have not been completed) the expression on the mother's face (only half shown) indicates she is happy to be with her baby. This is a very calming image of a mother sleeping soundly with her baby, it's comfortable. It makes me want to take a nap.",contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
hans-hofmann_delirious-pink-1961,Abstract_Expressionism,disgust,5,5,1,https://uploads2.wikiart.org/images/hans-hofmann/delirious-pink-1961.jpg,This painting looks like blood smeared on a wall.,disgust,disgust,Disgust,Disgust,Disgust,Disgust,Fear,Sadness,
benozzo-gozzoli_view-of-the-right-hand-wall-of-the-chapel-1465,Early_Renaissance,awe,6,1,0,https://uploads5.wikiart.org/images/benozzo-gozzoli/view-of-the-right-hand-wall-of-the-chapel-1465.jpg,"beautiful and detailed painting.  very intricate love the colors in this, the details within the paintings are awe inspiring The detail is just amazing over all",awe,awe,Awe,Awe,Awe,Awe,Awe,Awe,
nicholas-roerich_fortress-1909,Art_Nouveau_Modern,contentment,6,2,0,https://uploads0.wikiart.org/images/nicholas-roerich/fortress-1909.jpg,"The castle looks safe, strong and together although the ground is cracking beneath it. It looks like an old castle that is having one of its towers undergoing a repair - I like it when heritage is preserved, and castles are beautiful parts of our shared heritage of humanity that I enjoy seeing represented in art. Looks like an ancient architect building years after being abounded The contour of the building against the sky is very satisfying and smooth.",amusement,contentment,Awe,Contentment,Contentment,Contentment,Contentment,Contentment,
diego-velazquez_juan-mateos,Baroque,contentment,6,2,0,https://uploads6.wikiart.org/images/diego-velazquez/juan-mateos.jpg,the bright light on the face shines like the sun The details of his face and neck are very life-like,amusement,disgust,Awe,Disgust,Contentment,Awe,Fear,Sadness,
agostino-carracci_angelica-and-medor,Baroque,amusement,6,0,0,https://uploads6.wikiart.org/images/agostino-carracci/angelica-and-medor.jpg,"the clean, clear style makes the scene look overly serious the stark, simple style contrasts with the bawdy scene It's straight up 17th century porn! HA!",amusement,amusement,Amusement,Disgust,Disgust,Amusement,Disgust,Disgust,
konrad-witz_abishai-kneeling-before-david,Northern_Renaissance,awe,5,1,0,https://uploads2.wikiart.org/images/konrad-witz/abishai-kneeling-before-david.jpg,The man's fancy clothes and large hat makes him look imposing. The man kneels humbly and offers his special gift. A bishop or priest conveying an important message.,awe,awe,Awe,Awe,Contentment,Awe,Awe,Sadness,
sam-francis_untitled-sf72-1009-1972,Abstract_Expressionism,disgust,6,5,1,https://uploads5.wikiart.org/images/sam-francis/untitled-sf72-1009-1972.jpg,"The square border looks somewhat like a plate with blood smeared across it. I personally find very little beauty in this painting.  It appears that various colors of paint were just splattered on the canvas. the red and purple blotches at the center are somewhat revolting, like staring at a fetus",disgust,disgust,Disgust,Disgust,Disgust,Disgust,Disgust,Disgust,
camille-pissarro_male-and-female-peasants-on-a-path-crossing-the-countryside,Realism,contentment,6,2,0,https://uploads1.wikiart.org/images/camille-pissarro/male-and-female-peasants-on-a-path-crossing-the-countryside.jpg,"This area seems quiet, and gentle. The people are walking happily The white clouds in this sky looks like a peacful summer day. I like the countryside painting with what looks like villagers casually enjoying the day. I enjoy the simple walking and relaxing environment of this town",contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
francisco-goya_francisca-sabasa-y-garcia-1808,Romanticism,sadness,5,7,1,https://uploads6.wikiart.org/images/francisco-goya/francisca-sabasa-y-garcia-1808.jpg,"the woman is so sad looking and the dark colors also help set a gloomy mood There is something in her eyes that, a painful look that hits you in the soul",sadness,sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,
camille-corot_the-cart,Realism,awe,5,1,0,https://uploads1.wikiart.org/images/camille-corot/the-cart.jpg,"Beautiful wild west sort of scene. The cart has nice details, and I love the panoramic view of the background. The wagon looks like a photo it's amazing that that's painted",amusement,awe,Awe,Awe,Contentment,Amusement,Awe,Contentment,
leon-spilliaert_la-baigneuse-1910,Symbolism,sadness,5,7,1,https://uploads3.wikiart.org/images/leon-spilliaert/la-baigneuse-1910.jpg,The person is alone and hunched over. The stairs are dark blue. The water she looks at is erratic in shape and dark black. The person is alone and hunched over. The stairs are dark blue. The water she looks at is erratic in shape and dark black. the lady wearing and the black in the water looks gloomy and sad the lady wearing and the black in the water looks gloomy and sad I feel sadness or loneliness when looking at this I feel sadness or loneliness when looking at this The woman staring off into a dark sea of emptyness eliciits feelings of sadness as if she has no hope or faith left in this world The woman staring off into a dark sea of emptyness eliciits feelings of sadness as if she has no hope or faith left in this world,sadness,sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,
fernand-leger_two-women-two-sisters-1935,Cubism,amusement,5,0,0,https://uploads1.wikiart.org/images/fernand-leger/two-women-two-sisters-1935.jpg,"Eve and Eve in the garden. The characters in this sketch are amusing, the art style. The feminine faces on the bulky superhero type bodies seems humorous",amusement,amusement,Amusement,Amusement,Amusement,Amusement,Amusement,Amusement,
john-french-sloan_scrubwoman-astor-library-1911,New_Realism,sadness,5,7,1,https://uploads8.wikiart.org/images/john-french-sloan/scrubwoman-astor-library-1911.jpg,The two women are so happy in this photo and I feel sad they are being exploited by their work. This makes me think of a time woman were not at all equal to men and even though we have come very far we have a long way to go. Scrubbing floors and cleaning is depressing.,sadness,sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,
henri-fantin-latour_flowers-1,Realism,contentment,5,2,0,https://uploads8.wikiart.org/images/henri-fantin-latour/flowers-1.jpg,"Because it looks somewhat blanned to me and just makes me feel ""normal"" i like the rain effect and how the background is dark and grim The flower look colorful and beautiful and full of life.",amusement,disgust,Contentment,Disgust,Contentment,Amusement,Amusement,Sadness,
paul-gauguin_village-street-osny-1883,Impressionism,fear,5,6,1,https://uploads7.wikiart.org/images/paul-gauguin/village-street-osny-1883.jpg,"There's a dark sky behind this house and a dead tree in front of it. I could skip this town. Sky is painted with swirling strokes, suggest coming storm (trouble) The buildings are on topof each other and the dark colors for the vegetation seem ominous, while a small lone figure walks on the dusty road. The tree with no leaves and the dark shadow person give a sad, desolate feeling. Clouds are dark like an impending storm.",sadness,sadness,Fear,Fear,Sadness,Fear,Fear,Sadness,
eduardo-paolozzi_i-was-a-rich-man-s-plaything-1947,Pop_Art,amusement,5,0,0,https://uploads2.wikiart.org/images/eduardo-paolozzi/i-was-a-rich-man-s-plaything-1947.jpg,"The writing is funny for this day and age and the image of the woman as being racy is funny because in 2020 it would just be a regular ad and not racy. i'm not sure how this is meant to be art, but it is fun to look at It makes me wonder where a military man during that time would hang this up in the barracks",amusement,amusement,Amusement,Amusement,Amusement,Amusement,Amusement,Amusement,
felicien-rops_coquette-in-front-of-a-mirror,Symbolism,contentment,5,2,0,https://uploads4.wikiart.org/images/felicien-rops/coquette-in-front-of-a-mirror.jpg,I think I feel content because its historical and looks like it was done with chalk so it wasnt just anyone the girl is probably someone important to the artist The woman looks very calm against the red setting.,contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
theo-van-doesburg_a-dog-1899,Post_Impressionism,contentment,5,2,0,https://uploads7.wikiart.org/images/theo-van-doesburg/a-dog-1899.jpg,The dog seems quite peaceful in the way it rests its head. I absolutely love dogs; and seeing one relax makes me happy,contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
vasily-vereshchagin_an-uzbek,Realism,contentment,5,2,0,https://uploads7.wikiart.org/images/vasily-vereshchagin/an-uzbek.jpg,The man seems quite transfixed as he looks onward while concentrating. the man's mustashe and kofie make him seem like a arabian nomade,amusement,contentment,Awe,Disgust,Contentment,Amusement,Fear,Sadness,
henri-edmond-cross_provence-landscape-1,Pointillism,excitement,7,3,0,https://uploads0.wikiart.org/images/henri-edmond-cross/provence-landscape-1.jpg,the colors of the sunset are vivid the colors of the sunset are vivid The dots of bold color are fun and exciting. The dots of bold color are fun and exciting. I feel like this painting is positive and energetic. I feel child like and youthful. I feel like this painting is positive and energetic. I feel child like and youthful. The specks that make up the outside scene are exciting colors that pop and make you imagine being in a different land. The specks that make up the outside scene are exciting colors that pop and make you imagine being in a different land. Flowing colors with the landscape. Flowing colors with the landscape. The bright colors boost your mood. The technique of the dots instead of traditional painting is very unique The bright colors boost your mood. The technique of the dots instead of traditional painting is very unique,amusement,excitement,Amusement,Excitement,Amusement,Excitement,Excitement,Excitement,
benjamin-west_harvesting-at-windsor-1795,Rococo,contentment,6,2,0,https://uploads1.wikiart.org/images/benjamin-west/harvesting-at-windsor-1795.jpg,"It looks to me like a gathering of family and friends, working and relaxing together, enjoying each other's company. there's a feel of everyone working together in this The scene is calm and seems to depict people going about their everyday lives. The dog is even lounging with the people nearby. The workers work hard but will be able to enjoy some quality time after they are finished. Farmers out in the field, possibly a family working together in the harvest. Very vibrant colors and nice detail as you can almost see every stalk of wheat.",contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
lucas-cranach-the-elder_the-fountain-of-youth-1546,Northern_Renaissance,contentment,5,2,0,https://uploads2.wikiart.org/images/lucas-cranach-the-elder/the-fountain-of-youth-1546.jpg,This scene looks very relaxed as people enjoy the public bath and dine at the table in the upper right.. a cement square pool with a fountain in the center of people Everyone is enjoying cooling off in the public pool,amusement,amusement,Contentment,Amusement,Contentment,Amusement,Amusement,Contentment,
francisco-goya_the-annunciation-1785,Romanticism,awe,5,1,0,https://uploads6.wikiart.org/images/francisco-goya/the-annunciation-1785.jpg,The angel is being illuminated by a warm comforting yellow light while the woman calmly prays The woman is an angel and the other woman is reading a scroll. the golden background makes the angels wings glow. It looks as though a life changing miracle is happening with the angel advising the lady.,awe,awe,Awe,Awe,Contentment,Awe,Awe,Awe,
philip-guston_celebration,Abstract_Expressionism,sadness,5,7,1,https://uploads4.wikiart.org/images/philip-guston/celebration.jpg,"looks like a distraught man awoken from his nightmare sitting on the edge of his bed contemplating. I see a face in this painting. The face seems to be experiencing torment or angst, and in turn it makes me feel that way, as well. The rough quality of the lines enhances that feeling.",sadness,sadness,Sadness,Disgust,Sadness,Sadness,Fear,Sadness,
agnolo-bronzino_venus-cupido-and-satyr,Mannerism_Late_Renaissance,excitement,5,3,0,https://uploads8.wikiart.org/images/agnolo-bronzino/venus-cupido-and-satyr.jpg,Looks to be a happy picture showing beauty I love the nudity and bright colors. The man in the photo is smiling with delight after noticing naked women posing,amusement,amusement,Amusement,Amusement,Contentment,Amusement,Amusement,Amusement,
edwin-henry-landseer_ptarmigan,Romanticism,contentment,5,2,0,https://uploads0.wikiart.org/images/edwin-henry-landseer/ptarmigan.jpg,"a white upturned bird with legs in the air and back on the ground The lower bird nesting int he cleft of the rock looks very safe and protected. The birds look relaxed nestled in and under a stone, and the blue sky looks like perfect weather",amusement,contentment,Awe,Disgust,Contentment,Contentment,Contentment,Contentment,
orest-kiprensky_portrait-of-alexander-pushkin-1827,Romanticism,contentment,5,2,0,https://uploads2.wikiart.org/images/orest-kiprensky/portrait-of-alexander-pushkin-1827.jpg,The man has innocent mutton chops and his arms are folded across his stomach. The man's Scottish looking scarf is a good contrast to his blue eyes. I feel like i can feel the fabric on his frock coat. I also wonder what the tartan is on his sash - if it's a tartan for his clan.,amusement,amusement,Contentment,Contentment,Contentment,Amusement,Contentment,Contentment,
alexey-venetsianov_portrait-of-k-i-golovachevsky-and-the-younger-pupils-of-the-academy,Romanticism,sadness,5,7,1,https://uploads2.wikiart.org/images/alexey-venetsianov/portrait-of-k-i-golovachevsky-and-the-younger-pupils-of-the-academy.jpg,I feel sadness because I can tell this is a painting of people from a long time ago that must be dead and gone by now. The tone and color feels a tad bit depressing.,sadness,sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,
francisco-goya_marquesa-mariana-de-pontejos,Romanticism,contentment,5,2,0,https://uploads4.wikiart.org/images/francisco-goya/marquesa-mariana-de-pontejos.jpg,"Serene and peaceful, old painting country style, a classic. Entranced by her pretty gathered gown, bonnet, flower and cute pug dog.",contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
adriaen-brouwer_peasant-inn,Baroque,sadness,5,7,1,https://uploads6.wikiart.org/images/adriaen-brouwer/peasant-inn.jpg,"The tone is dark, and the people are suffering. The woman looks ill, perhaps she is dying. This makes me sad. The mans face looks like he is in pain. One person look to be sick, and the others appear worried.",sadness,sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,
marc-chagall_window-in-artist-s-studio-1976,Naive_Art_Primitivism,contentment,5,2,0,https://uploads4.wikiart.org/images/marc-chagall/window-in-artist-s-studio-1976.jpg,I like how the flowers don't look perfect.  I like the shades of blue contrasted with the other colors. The colors of the flowers in the bouquet are so vivid. The brightly coloured flowers are very calming and relaxing to look at,contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
manabu-mabe_passage-de-fuego-1961,Abstract_Expressionism,fear,5,6,1,https://uploads3.wikiart.org/images/manabu-mabe/passage-de-fuego-1961.jpg,This painting coloring seems to depict a battle between good and evil The brush strokes look very harsh and it makes me a little uncomfortable. It just seems like it is a very aggressive painting. It appears a man holding a gun and the background is covered in blood of the people he killed before.,anger,anger,Fear,Disgust,Anger,Fear,Fear,Fear,
ilya-repin_calvary-crucifixion-study-1869,Realism,fear,5,6,1,https://uploads2.wikiart.org/images/ilya-repin/calvary-crucifixion-study-1869.jpg,A crowd of people are raising a cross where a person is nailed on. Dark and creepy scene of what looks like war,fear,fear,Awe,Disgust,Fear,Fear,Fear,Sadness,
jacob-jordaens_neptune-creating-the-horse-1645,Baroque,awe,5,1,0,https://uploads7.wikiart.org/images/jacob-jordaens/neptune-creating-the-horse-1645.jpg,the colors and the details in this painting are beautiful and very inspiring. I love how lively and bright this picture is. It's very detailed as well as realistic. It looks like a scene from Hercules. this looks like a biblical battle and i love that epicness The deep red color in it is amazing as is the art of the people.,awe,awe,Awe,Awe,Awe,Awe,Awe,Awe,
titian_st-jerome-1575,Mannerism_Late_Renaissance,awe,5,1,0,https://uploads0.wikiart.org/images/titian/st-jerome-1575.jpg,An elderly man appears to be writing down the gospel as spoken by Jesus. I love how everything is sort of fuzzy with the exception of Jesus This painting makes me feel in awe because I can see how the artist is representing how the knowledge was being acquired by old people in the past.,awe,awe,Awe,Awe,Awe,Awe,Awe,Awe,
hans-von-aachen_matthias-holy-roman-emperor-as-king-of-bohemia-1612,Mannerism_Late_Renaissance,amusement,5,0,0,https://uploads1.wikiart.org/images/hans-von-aachen/matthias-holy-roman-emperor-as-king-of-bohemia-1612.jpg,This guy honestly reminds me of a peacock. He also looks as if he is wearing some sort of frilly wallpaper. his peacock feather dress is very pretty,amusement,amusement,Amusement,Disgust,Amusement,Amusement,Amusement,Disgust,
vasily-sadovnikov_interior-of-trinitarian-church-in-vilnius-lithuania-1846,Realism,awe,5,1,0,https://uploads8.wikiart.org/images/vasily-sadovnikov/interior-of-trinitarian-church-in-vilnius-lithuania-1846.jpg,"The depth and magnitude of the space makes me feel rather small. The inside of the church is very intricate and filled with a lot of architecture.  It looks as though there are people praying alongside the pews.  Very detailed. the open space inside the dome is bright the top of the interior looks like a christmas ornament I am in awe looking at this beautiful church, which seems to be filled with heavenly light.",awe,awe,Awe,Awe,Awe,Awe,Awe,Awe,
janos-mattis-teutsch_yellow-landscape-1918,Fauvism,contentment,5,2,0,https://uploads3.wikiart.org/images/janos-mattis-teutsch/yellow-landscape-1918.jpg,"It looks like a large sun in the background. For some reason, this is a relaxing dreamy painting.  It looks like you are looking into a majestic wooded tunnel during sunset",contentment,contentment,Awe,Contentment,Contentment,Contentment,Contentment,Contentment,
vincent-van-gogh_wheat-field-1888-1,Post_Impressionism,excitement,5,3,0,https://uploads5.wikiart.org/images/vincent-van-gogh/wheat-field-1888-1.jpg,"The colors are vivid and welcoming and the field looks fun to run around and roll in. The range of colors the artist uses here is remarkable. one set for the fields, one set for the sky and a smaller set for the house. All perfectly integrated into a cohesive whole Wonderful bright yellow field.It feels like you could walk through it touching the grains with your hands.The hits of brighter orange,and red makes it feel warm.",amusement,contentment,Contentment,Contentment,Contentment,Excitement,Contentment,Contentment,
pierre-auguste-renoir_madame-monet-1872,Impressionism,contentment,5,2,0,https://uploads0.wikiart.org/images/pierre-auguste-renoir/madame-monet-1872.jpg,The pose that the lady is using in this image gives a definite sense that this is a time of comfort. I want to be this confident wearing my shoes on the bed.,contentment,contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,
