painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_anger_shot
henri-rousseau_self-portrait-1900,Naive_Art_Primitivism,amusement,5,0,0,https://uploads3.wikiart.org/images/henri-rousseau/self-portrait-1900.jpg,The man in this painting reminds me of the evil scientist from meet the Robinson. The man's mustache is funny looking on his already funny looking face,Amusement
audrey-flack_abstract-landscape-1950,Abstract_Expressionism,excitement,47,3,0,https://uploads6.wikiart.org/images/audrey-flack/abstract-landscape-1950.jpg,"The colors really pop. The shapes and colors give a view almost like a kaleidoscope. It is fun and whimsical. I am excited by this profusion of many different colors and interlocking pieces.  It leaves the viewer wondering. I like the swirling colours and the way it draws your eyes into the centre of the image. looks like puzzle pieces from many different puzzles bright colors awaken my brain; the shapes aren't uniform so your brain doesn't know which one to focus on there is so much action depicted in the bright colors The painting looks like exhilarating colorful puzzle pieces to solve in my opinion. A fun and vibrant painting that brings excitment and energy, puzzle-like mosaic with high contrasting colors and a hint of perspective The frenetic blend of warm colors really generate a feeling of joy with this, like playing with leaves in a pile. This painting resembles a fire burning ablaze. Although this may be an abstract painting, the colours and linework is extremely expressive. the colors are very lively and full of energy! Great vibrant fall colors in this abstract work, I love the shapes and movement and how it moves from dark in one corner to lots of white in the opposite.",Amusement
annibale-carracci_translation-of-the-holy-house,Baroque,awe,5,1,0,https://uploads8.wikiart.org/images/annibale-carracci/translation-of-the-holy-house.jpg,"The photo depicts the Blessed Mother and the Christ Child being carried by angels and to me is beautiful. I am awestruck. They all love her so much that they would lift her even on the heaviest of things. They love her and look up to her. They would do anything she asks. They look like royalty This scene reminds me of Virgin Mary and baby Jesus since the figures are being upheld by angels This picture show awe because of the subject matter, Jesus being crowned while angels prop up him and Mary is a very devine subject.",Awe
eugene-boudin_the-beach-at-deauville-1863,Impressionism,contentment,5,2,0,https://uploads2.wikiart.org/images/eugene-boudin/the-beach-at-deauville-1863.jpg,"There is a beuatiful summer sky in this painting and it takes up over half ot the canvas. There are a few different groups spread out over a large expansive beach. I would love to go to an""empty"" beach like this. The sky is so calm it makes me feel relaxed and at ease here. I would like any day with a blue sky and clear water like this. This image makes me feel content because the image uses rich but muted colors and the contents of the image are soothing.",Contentment
patrick-heron_horizontal-stripe-painting-november-1957-january-1958-1958,Color_Field_Painting,disgust,5,5,1,https://uploads6.wikiart.org/images/patrick-heron/horizontal-stripe-painting-november-1957-january-1958-1958.jpg,"So much more red thn any other colors, I'm not a fan of it at all. I don't like this painting because it is just an assortment of different colors layered on top of one another.  There are no shapes or figures to be seen. This feels amateur, like somebody was sampling their paint colors",Disgust
maurice-quentin-de-la-tour_marc-rene-marquis-de-voyer-d-argenson,Rococo,awe,5,1,0,https://uploads7.wikiart.org/images/maurice-quentin-de-la-tour/marc-rene-marquis-de-voyer-d-argenson.jpg,the artist is very good at recreating a very lifelike image The background colors and the detailing on the armor are incredible.,Awe
john-duncan-fergusson_siesta-1951,Fauvism,contentment,6,2,0,https://uploads3.wikiart.org/images/john-duncan-fergusson/siesta-1951.jpg,A woman is laying peacefully on a hammock in front of a peaceful body of water. A beautiful likeness of a natural woman She looks completely peaceful and the backdrop is serene.,Contentment
nicholas-roerich_servant-1912,Art_Nouveau_Modern,contentment,5,2,0,https://uploads8.wikiart.org/images/nicholas-roerich/servant-1912.jpg,This would take on new meaning depending on my moods due to the lack of facial expression. The black on the mans feet look like he just has leather wrapped around them,Anger
egon-schiele_seated-male-nude-right-hand-outstretched-1910,Expressionism,fear,5,6,1,https://uploads1.wikiart.org/images/egon-schiele/seated-male-nude-right-hand-outstretched-1910.jpg,It's a colorful painting of a body with no head. The colors are nice but the subject matter is unsettling. This figure appears to be decomposing and rotting from atrophy Very creepy and scary looking body with no head,Fear
henri-fantin-latour_flowers-1,Realism,contentment,5,2,0,https://uploads8.wikiart.org/images/henri-fantin-latour/flowers-1.jpg,"Because it looks somewhat blanned to me and just makes me feel ""normal"" i like the rain effect and how the background is dark and grim The flower look colorful and beautiful and full of life.",Disgust
pablo-picasso_glass-and-bottle-of-bass-1914,Synthetic_Cubism,contentment,5,2,0,https://uploads4.wikiart.org/images/pablo-picasso/glass-and-bottle-of-bass-1914.jpg,The mix of yellow and black is very pleasing to the eyes. The subjects and the frame make me think of a long gone era,Contentment
john-atkinson-grimshaw_iris-1886,Symbolism,awe,5,1,0,https://uploads2.wikiart.org/images/john-atkinson-grimshaw/iris-1886.jpg,"The contrast of grey and the reds are lovely and I like the fairy imagery The way the light is around her face and the wings makes me think of angels flying above us. The red shades are beautiful, especially the glow. She seems like an angel with that ethereal halo illuminating everything. Awe-inspiring. Makes me want to live in a fantastical world",Awe
raphael-kirchner_a-half-of-a-virgin-1901-5,Art_Nouveau_Modern,contentment,5,2,0,https://uploads3.wikiart.org/images/raphael-kirchner/a-half-of-a-virgin-1901-5.jpg,"i like how light and wispy the woman in the image looks I love the colors used and the retro female image. Simple painting, simple colors the flowers in her hand and head is peaceful.",Contentment
egon-schiele_sunflower-1908,Expressionism,contentment,5,2,0,https://uploads6.wikiart.org/images/egon-schiele/sunflower-1908.jpg,"I like how the yellow flowers stand out against the dark green. The bold colors make me happy, it feels sunny. The flowers really make me feel at peace and are enjoyable to look at.",Contentment
lucas-cranach-the-elder_the-fountain-of-youth-1546,Northern_Renaissance,contentment,5,2,0,https://uploads2.wikiart.org/images/lucas-cranach-the-elder/the-fountain-of-youth-1546.jpg,This scene looks very relaxed as people enjoy the public bath and dine at the table in the upper right.. a cement square pool with a fountain in the center of people Everyone is enjoying cooling off in the public pool,Amusement
mark-rothko_untitled-5,Color_Field_Painting,fear,5,6,1,https://uploads1.wikiart.org/images/mark-rothko/untitled-5.jpg,The burnt orange color looks like fire outside of a window This red/orange color is overwhelming and reminds me of Kingpin who used to stare at the red wall.,Anger
vasily-vereshchagin_the-apotheosis-of-war-1871,Realism,fear,6,6,1,https://uploads7.wikiart.org/images/vasily-vereshchagin/the-apotheosis-of-war-1871.jpg,"The high mountain of skulls is quite terrifying and it makes me afraid of how they arrived. There is a pile of skulls in the middle of the desert, symbolizing mass death. The pile of human skulls in the empty desert being scavenged by a murder of crows is haunting.",Fear
agostino-carracci_bachus-and-ariane,Baroque,disgust,5,5,1,https://uploads5.wikiart.org/images/agostino-carracci/bachus-and-ariane.jpg,"This is just a bizarre scene that shouldn't be painted. No need for this. I don't understand the point in portraying such domination, but it's disgusting. This entire picture and the way the guy is holding the other one is just uncomfortable to me.",Disgust
georges-braque_terrace-of-hotel-mistral-at-estaque-1907,Post_Impressionism,contentment,5,2,0,https://uploads7.wikiart.org/images/georges-braque/terrace-of-hotel-mistral-at-estaque-1907.jpg,"The painting is bland to me as it's not vibrant so it just makes me feeling okay about it. The orange and green color makes it look like Autumn. Plus, the shapes are clearly defined (not Impressionistic). The painting appears to be showing castle walls.  The art is doing this in a very unique and cartoonish way that I like. I enjoy the orange and golden colors used throughout the piece.",Contentment
diego-velazquez_democritus-1629,Baroque,amusement,6,0,0,https://uploads1.wikiart.org/images/diego-velazquez/democritus-1629.jpg,"the portrait uses traditional framing, but the man's facial expression adds an element of gaiety A man who is extremely confident in his thoughts knows where he is going. The man's expression is cheeky, fun, and playful The subject's facial expression is a little clownlike but also kind and it's done in a style I usually associate with serious works so the contrast feels funny.",Amusement
chaim-soutine_portrait-of-moise-kisling,Expressionism,disgust,5,5,1,https://uploads0.wikiart.org/images/chaim-soutine/portrait-of-moise-kisling.jpg,The style and colors in the painting make me feel sick Something about the green background is sickening,Disgust
ion-pacea_midnight-sun,Expressionism,awe,58,1,0,https://uploads1.wikiart.org/images/ion-pacea/midnight-sun.jpg,"Clearly portrays the north with unusual colors and textures. I think this painting uses excellent technique, and abstract color work. This makes me feel its power. these lines of colors are their own rainbow of joy This picture has my jaw dropping. The colors used in this are so bold, and they make you want to go skiing down a big slope. The round yellow moon looks like a big wheel of cheese. stylized sunset between two mountains this reminds me of a radiohead cd cover from the 2000s I want to see what makes the surface of the streets look colored. I would admire the sun as it is perfectly positioned between the mountains. It looks like it's a bright sun reflecting a rainbow on the ground. This painting is so simple but looks like a guardian angel. The red and yellow and green feel beautiful as reflections on water The full moon is casting mesmerizing reflections. This painting looks like a sunset over a mountain",Amusement
jean-fouquet_medallion,Northern_Renaissance,sadness,5,7,1,https://uploads1.wikiart.org/images/jean-fouquet/medallion.jpg,something about praying to a light in a circular frame makes me sad The expressions on the people in this imagine are a mixture of mournful and sad which only gets enhanced by the coloring of gloom by the dark colors.,Sadness
rembrandt_seated-saskia-with-a-letter-in-her-left-hand-1635,Baroque,contentment,5,2,0,https://uploads2.wikiart.org/images/rembrandt/seated-saskia-with-a-letter-in-her-left-hand-1635.jpg,"The woman rests at home after a long day of work. good use of gray scale and the amount of detail to the clothes The women is alone, yet appears happy.",Contentment
hilma-af-klint_what-a-human-being-is-1910,Symbolism,excitement,5,3,0,https://uploads2.wikiart.org/images/hilma-af-klint/what-a-human-being-is-1910.jpg,"The contrasting colors and geometric shapes are neat and I love the rainbow colors at the bottom I feel excitement as I look at the heart in the middle of the painting. It brings me to feel national loves day, Valentines Day. The spiral down the middle reminds me of a balloon that is attached to the end of the spiral.",Excitement
georges-braque_violin-and-candlestick-1910,Analytical_Cubism,awe,5,1,0,https://uploads3.wikiart.org/images/georges-braque/violin-and-candlestick-1910.jpg,The shapes are so intricate and connected I find it fascinating. These colors and shapes evoke machinery and artistry.,Awe
morris-louis_blue-veil-1958,Color_Field_Painting,contentment,5,2,0,https://uploads6.wikiart.org/images/morris-louis/blue-veil-1958.jpg,The shapes vaguely resemble plants or trees growing up from the ground. The colors look like a waterfall which has a soothing effect on me.,Contentment
jacques-villon_portrait-de-j-l-b,Cubism,fear,5,6,1,https://uploads2.wikiart.org/images/jacques-villon/portrait-de-j-l-b.jpg,"The jagged grey shapes look ready to devour the happy colors above them-very shark like. the sharp edges are coming at me, invoking feelings of death",Anger
benozzo-gozzoli_procession-of-the-magi-detail-1461,Early_Renaissance,awe,5,1,0,https://uploads2.wikiart.org/images/benozzo-gozzoli/procession-of-the-magi-detail-1461.jpg,The painting is so well made and it looks like a period of time that I really love learning about. The attention to detail and color is very admirable.,Amusement
mstislav-dobuzhinsky_a-month-in-the-country-1909,Art_Nouveau_Modern,awe,6,1,0,https://uploads0.wikiart.org/images/mstislav-dobuzhinsky/a-month-in-the-country-1909.jpg,"The colors are bright and vibrant. This is a huge sitting with high ceiling, shiny floors, large paintings on the wall, and two people taking up a small portion of the room. It's amazing how much detail the artist has given to the people, the paintings, the furniture, and the reflection off of the floor.",Amusement
hans-hofmann_memoria-in-aeternum-1962,Abstract_Expressionism,excitement,6,3,0,https://uploads7.wikiart.org/images/hans-hofmann/memoria-in-aeternum-1962.jpg,"This is color porn. The background works great with the bold color choices. What did you s?wipe it with, cardboard? The smears of gray on top suggest hidden things underneath.",Disgust
frederic-bazille_flowers-1868,Impressionism,awe,5,1,0,https://uploads8.wikiart.org/images/frederic-bazille/flowers-1868.jpg,"The fine details and deep colors of this piece makes me feel like I could actually touch the flowers. It's awesome. Beautiful, detailed still life, Ilike the subtle reflection of night on the vase. This arrangement of autumn flowers has a huge variety of different flowers, colors, and textures.  I love how the flowers on the table are hanging over the edge playing on the theme 'bountiful harvest.'",Contentment
ilya-repin_calvary-crucifixion-study-1869,Realism,fear,5,6,1,https://uploads2.wikiart.org/images/ilya-repin/calvary-crucifixion-study-1869.jpg,A crowd of people are raising a cross where a person is nailed on. Dark and creepy scene of what looks like war,Fear
konstantin-somov_lovers-2,Symbolism,amusement,5,0,0,https://uploads4.wikiart.org/images/konstantin-somov/lovers-2.jpg,"There is such a playfulness to this figurine that it makes me smile. A young man courting his lover, leaning in for a kiss, and the level of detail is amazing. Particularly in the folds of her dress. The faces of the subjects make this feel a little silly to me.  Like they are lighthearted and goofing around.",Amusement
vasily-vereshchagin_looking-out-1873,Realism,awe,6,1,0,https://uploads6.wikiart.org/images/vasily-vereshchagin/looking-out-1873.jpg,I love the colors of the grass and the clothing.  I also like the perspective used. The attention to detail and switch densely painted areas is impressive,Amusement
marc-chagall_the-tree-of-jesse-1960,Naive_Art_Primitivism,awe,5,1,0,https://uploads5.wikiart.org/images/marc-chagall/the-tree-of-jesse-1960.jpg,"The colors are all very interesting looking and I like them. The cramped energetic lines with clock, sun and moon suggest bustling activity within the procession of time.",Amusement
isa-genzken_spiegel-1991,Minimalism,fear,5,6,1,https://uploads3.wikiart.org/images/isa-genzken/spiegel-1991.jpg,As I have no idea what those metal bars are and what they represent.,Disgust
fernand-leger_red-pot-1926,Cubism,amusement,5,0,0,https://uploads5.wikiart.org/images/fernand-leger/red-pot-1926.jpg,It's fun trying to figure out what this is. Feels like there is a story in the image.,Amusement
fernando-botero_self-portrait-as-spanish-conquistador,Naive_Art_Primitivism,amusement,6,0,0,https://uploads5.wikiart.org/images/fernando-botero/self-portrait-as-spanish-conquistador.jpg,"The way the man's body is shaped and it's proportions makes me feel amused. Looks like a caricature and it's kinda funny. This fat guy is hilarious. Those body proportions are off in a comical way. Those big legs and small head are making me chuckle. The proportions are ridiculous. I'm not sure if this guy is posing or painting, but his appearance is amusing.",Amusement
henri-rousseau_exotic-landscape-1908,Naive_Art_Primitivism,amusement,5,0,0,https://uploads6.wikiart.org/images/henri-rousseau/exotic-landscape-1908.jpg,"This stylized piece is very fanciful in nature and features much flora and fauna surrounded by vibrance. This is something a child would enjoy. The use of simple lines and bright colors makes this piece stand out. The young monkey smiles as he hides within the plants with his friends, but Dad looks a bit worried.",Amusement
albrecht-durer_greyhound,Northern_Renaissance,contentment,5,2,0,https://uploads3.wikiart.org/images/albrecht-durer/greyhound.jpg,The gaze of the dog is upwards towards his owner.  He looks pleased. The lines make him look like he is groomed and cared for. the dog is sketched with very fine details the fur on the dug and the shadows around it are appealing,Contentment
pablo-picasso_the-absinthe-drinker-1901-1,Expressionism,amusement,5,0,0,https://uploads2.wikiart.org/images/pablo-picasso/the-absinthe-drinker-1901-1.jpg,"The odd expression of the depicted figure is quite comical. Wearing a scarf and the narrow face gives off great emotions of amusement. The woman appears to be straining to eavesdrop on a conversation, and pursing her lips because she doesn't approve of the  subject matter.",Amusement
camille-pissarro_bouquet-of-flowers-1873,Impressionism,contentment,5,2,0,https://uploads1.wikiart.org/images/camille-pissarro/bouquet-of-flowers-1873.jpg,"Pink and white roses loosely arranged in a white vase are pleasing to the eye. Set upon a wooden console against blue wallpaper, the vase of flowers brings uncomplicated beauty to the room. The flowers are not totally fresh nor very old. Nice color choices and detail, even though the style makes it a bit blurry",Contentment
john-french-sloan_spring-rain-new-york-1912,New_Realism,awe,5,1,0,https://uploads4.wikiart.org/images/john-french-sloan/spring-rain-new-york-1912.jpg,"Looks like Central park, I am interested by where the woman is going. The painting is very detailed and relaxing.",Contentment
paul-gauguin_fisherman-and-bathers-on-the-aven-1888,Post_Impressionism,contentment,5,2,0,https://uploads3.wikiart.org/images/paul-gauguin/fisherman-and-bathers-on-the-aven-1888.jpg,"The fall colors contrast well with what is still green, and the light reflecting off of the water is really pretty. The water looks very calming and peaceful. The light reflecting on the water is beautiful. The warm pallet gives off an inviting atmosphere, and the dock seems to be gently rolling.",Contentment
paul-cezanne_young-italian-girl-resting-on-her-elbow-1896,Post_Impressionism,sadness,5,7,1,https://uploads0.wikiart.org/images/paul-cezanne/young-italian-girl-resting-on-her-elbow-1896.jpg,"Because he appears to be thinking about something bad that happened to him. This poor woman, I feel so badly for her for what she is obviously going through",Sadness
jean-fouquet_carrying-the-cross,Northern_Renaissance,sadness,5,7,1,https://uploads1.wikiart.org/images/jean-fouquet/carrying-the-cross.jpg,Jesus' execution is a sad event whether you beleive he is God or not to know he will die for us makes me cry this was when someone would do for others not like today,Sadness
andrea-del-sarto_lament-of-christ,High_Renaissance,sadness,5,7,1,https://uploads3.wikiart.org/images/andrea-del-sarto/lament-of-christ.jpg,"The man looks to be in such pain and there is a discomfort present in all others painting that makes me feel sad/worried. since the figure looks in pain and the existence of other figures indicate death (an angel like and a nun) The theme and grouping is sorrowful and mourning, and the background colors and the are dark. The man is obviously ill. The woman appears to be praying.",Sadness
albrecht-durer_face-a-young-girl-with-red-beret-1507,Northern_Renaissance,sadness,5,7,1,https://uploads4.wikiart.org/images/albrecht-durer/face-a-young-girl-with-red-beret-1507.jpg,"the longing eyes resembles the people on top ,forced to behave in a certain fashion while all they want is freedom. The woman shows a pensive expression, as though an interesting sad matter is on her mind.",Sadness
william-hogarth_portrait-of-augusta-of-saxe-gotha,Rococo,awe,6,1,0,https://uploads1.wikiart.org/images/william-hogarth/portrait-of-augusta-of-saxe-gotha.jpg,The woman appears majestic with her rich red and white dress. The beautiful gown the lady is wearing and the two cherubs in the lower corner make this painting hard to turn away from! The ornate golden details on the hem of her gown.,Amusement
doug-ohlson_black-and-white-form-1962,Minimalism,fear,5,6,1,https://uploads7.wikiart.org/images/doug-ohlson/black-and-white-form-1962.jpg,The use of sharp lines makes me feel as if I could touch an edge and cut myself. The sharp angles and dark color contrast instills fear.,Fear
marc-chagall_lunaria-1967,Naive_Art_Primitivism,contentment,5,2,0,https://uploads4.wikiart.org/images/marc-chagall/lunaria-1967.jpg,"The flowers are bright and pleasantly colorful. The picture feels nice and cool, but the flowers bring just enough warmth to make it feel cozy. The serene color scheme and flower theme of this image is calm to look at.",Contentment
albrecht-durer_the-adoration-of-the-shepherds-1505,Northern_Renaissance,awe,5,1,0,https://uploads2.wikiart.org/images/albrecht-durer/the-adoration-of-the-shepherds-1505.jpg,The old man comes to give his blessing to the new born baby. all they knew was angels are there for you when you need them The lady in this painting and all the people are all focusing on a baby laying on a basket!,Amusement
henry-raeburn_portrait-of-janet-dundas,Romanticism,contentment,5,2,0,https://uploads8.wikiart.org/images/henry-raeburn/portrait-of-janet-dundas.jpg,The woman has a pleasing disposition of comfort. The earthy tones add an element of contentment and the subject appears warm and tender. The painting i represents a peaceful day as the lady is posing and being so relaxed while she is having her portrait painted.,Contentment
theo-van-rysselberghe_nude-from-behind-fixing-her-hair,Impressionism,excitement,5,3,0,https://uploads6.wikiart.org/images/theo-van-rysselberghe/nude-from-behind-fixing-her-hair.jpg,"A woman stands with her back to you, naked and ready to go. I am excited by the way theartist has covered the nude's body with splotches of different colors. the bright colors catch my attention right away I see a woman about to get ready for a night out",Excitement
camille-pissarro_a-square-in-la-roche-guyon,Realism,contentment,6,2,0,https://uploads4.wikiart.org/images/camille-pissarro/a-square-in-la-roche-guyon.jpg,"It reminds me of a quiet morning exploring the streets of a small town in europe This is a beautiful scene that reminds me of the old country The perspective of the buildings are very well done and its like looking into another world I'm walking along the quaint, quiet streets in Paris enjoying my day.",Contentment
peter-paul-rubens_the-assumption-of-mary-1622,Baroque,awe,5,1,0,https://uploads6.wikiart.org/images/peter-paul-rubens/the-assumption-of-mary-1622.jpg,It appears that this woman is ascending into heaven This piece is so moving with the praising of the people down below to the heavens and the angles as the young lady passes away she is lifted to heaven. The color of the robe on the person at the end with the red and blue makes me think its a preacher lifting the spirit The red colors of the robe and the gold robe mixed with the darker tints makes the cloth look like you can touch it.,Awe
andy-warhol_mobil,Pop_Art,amusement,5,0,0,https://uploads5.wikiart.org/images/andy-warhol/mobil.jpg,"I feel happy looking at this photo because I love the energy from this red horse. It is really retro and European. the bright, vivid colors contrast with the mundane subject matter",Amusement
claude-monet_flowers-in-a-vase,Impressionism,contentment,5,2,0,https://uploads0.wikiart.org/images/claude-monet/flowers-in-a-vase.jpg,a simple glass bulb vase holds the stems of lady slipper flowers I love the simplicity of this and the peach colored flowers. the red flowers are a nice contrast to the rest of the painting The peach color of the flowers is beautiful and the background blues and greens soothing.,Contentment
michael-bell_the-n-and-the-r-2010,New_Realism,sadness,6,7,1,https://uploads3.wikiart.org/images/michael-bell/the-n-and-the-r-2010.jpg,"The written message on the top edge could be referring to a loss.  Such as, when people are killed at a mass shooting at a high school.  The vignette wisps suggest a memory flashback.  Plus the lighting silloulette light source in front of subject reminds me a going into the light at death.  The empty bleachers in the background could represent a football field. The written message on the top edge could be referring to a loss.  Such as, when people are killed at a mass shooting at a high school.  The vignette wisps suggest a memory flashback.  Plus the lighting silloulette light source in front of subject reminds me a going into the light at death.  The empty bleachers in the background could represent a football field. This makes me feel sad because it gives off a lonely feeling. This makes me feel sad because it gives off a lonely feeling. The subject of the painting seems like she is all alone and is staring off into emptyness The subject of the painting seems like she is all alone and is staring off into emptyness",Sadness
konrad-witz_abishai-kneeling-before-david,Northern_Renaissance,awe,5,1,0,https://uploads2.wikiart.org/images/konrad-witz/abishai-kneeling-before-david.jpg,The man's fancy clothes and large hat makes him look imposing. The man kneels humbly and offers his special gift. A bishop or priest conveying an important message.,Awe
peter-paul-rubens_hygeia-goddess-of-health,Baroque,awe,5,1,0,https://uploads3.wikiart.org/images/peter-paul-rubens/hygeia-goddess-of-health.jpg,"I am in awe because it shows a woman holding a snake, the details are also very amazing and it's a great portrait. THe colorations match so well! The woman looks strong and powerful holding the snake without fear. The painting is very detailed and looks like it has a lot of subtext in it.",Awe
georges-seurat_the-bridge-at-courbevoie-1887,Pointillism,contentment,5,2,0,https://uploads5.wikiart.org/images/georges-seurat/the-bridge-at-courbevoie-1887.jpg,The color palette used is very calming. The color palette used is very calming. i do not like the graininess of this i think the colors should be solid i do not like the graininess of this i think the colors should be solid The kids in the picture are oberlooking water and seem to be catching some fresh air The kids in the picture are oberlooking water and seem to be catching some fresh air,Contentment
