painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_0_shot
mabuse_the-carondelet-diptych-jean-carondelet-left-panel-virgin-and-child-right-panel-1517,Northern_Renaissance,sadness,7,7,1,https://uploads6.wikiart.org/images/mabuse/the-carondelet-diptych-jean-carondelet-left-panel-virgin-and-child-right-panel-1517.jpg,"The frame is split, so the family looks divided The father is in another frame, so it looks like the baby is fatherless The portraits side by side makes me think that these people are no longer alive and may have died in the state that they are painted; very sad for the little one. The father seems separated from the rest of his family members",Sadness
el-greco_portrait-of-jeronimo-de-cevallos-1613,Mannerism_Late_Renaissance,awe,5,1,0,https://uploads7.wikiart.org/images/el-greco/portrait-of-jeronimo-de-cevallos-1613.jpg,"The artist's manipulation of shadow seems to effortlessly imply a brooding and serious personality behind the portrait which is awe-inspiring. I feel in awe of the man in the painting, especially the confidence on his face and there is something about the way he is sitting that makes him feel like he is someone who should be respected.",Awe
vasily-perov_portrait-of-nikolai-rubinstein-1870,Realism,contentment,5,2,0,https://uploads0.wikiart.org/images/vasily-perov/portrait-of-nikolai-rubinstein-1870.jpg,"The man has a stoic look in his eyes. This is a very detailed depiction of this gentleman. He looks stoic, serious. Light content with this piece, if anything.",Disgust
hercules-seghers_rocky-landscape,Baroque,contentment,5,2,0,https://uploads2.wikiart.org/images/hercules-seghers/rocky-landscape.jpg,There's a good amount of shading in this and it creates a good sense of depth The color of white contrasts well with the dark color background It looks like a cloudy scene. It makes me want to climb a mountain.,Awe
maurice-prendergast_easter-procession-st-mark-s,Post_Impressionism,awe,5,1,0,https://uploads8.wikiart.org/images/maurice-prendergast/easter-procession-st-mark-s.jpg,"I feel inspired by this painting of a religious procession, with crosses and surplices. the detailing of each subject in the picture must have taken time the columns in the church remind me of a catherdral",
fernando-calhau_untitled-1968,Minimalism,contentment,6,2,0,https://uploads8.wikiart.org/images/fernando-calhau/untitled-1968.jpg,"It is very neutral and doesn't make me think much. Flowing shapes fitting into one another. This is a nice simple but elegant design, good for note to a friend",
gulacsy-lajos_transcience-1912,Expressionism,sadness,12,7,1,https://uploads0.wikiart.org/images/gulacsy-lajos/transcience-1912.jpg,The man talking to the woman looks like he may have been a burn victim. The man talking to the woman looks like he may have been a burn victim. one woman looks like she might be smiling but the other looks angry and discontent one woman looks like she might be smiling but the other looks angry and discontent The brown colors are depressing and the two women in the painting seem sad. The brown colors are depressing and the two women in the painting seem sad. The dark colors and the disfigured women next to the lady in black all pretay a feeling of sadness The dark colors and the disfigured women next to the lady in black all pretay a feeling of sadness The dark colors and the sullen faces of the people make it seem sad The dark colors and the sullen faces of the people make it seem sad The lack of colors and definition in this painting feels draining to me. It feels dreary and lifeless. The lack of colors and definition in this painting feels draining to me. It feels dreary and lifeless. i cannot love you maam i am merely just a sculpture i cannot love you maam i am merely just a sculpture,Disgust
paolo-uccello_crucifixion-1430,Early_Renaissance,awe,5,1,0,https://uploads0.wikiart.org/images/paolo-uccello/crucifixion-1430.jpg,Everyone is praying and looking towards Jesus Christ. The detailed painting techniques and religious setting made me feel awe.,Awe
jean-degottex_composition-1975,Minimalism,sadness,5,7,1,https://uploads0.wikiart.org/images/jean-degottex/composition-1975.jpg,This makes for a lonely and confusing feeling. WHich is sadness inducing Water streaming down and nobody to stop it. The painting looks really boring and lonely.,Sadness
edouard-vuillard_anemones-in-a-chinese-1901,Post_Impressionism,contentment,6,2,0,https://uploads4.wikiart.org/images/edouard-vuillard/anemones-in-a-chinese-1901.jpg,"The flowers, and the vase in particular, are so life-like. The design of the vase is very pretty the strokes of bright reds makes this seemingly peaceful The roses are subtle yet lovely and this is a simple and calm painting.",Contentment
paul-gauguin_scene-from-tahitian-life-1896,Post_Impressionism,contentment,5,2,0,https://uploads3.wikiart.org/images/paul-gauguin/scene-from-tahitian-life-1896.jpg,I love the look of this group of individuals. There appears to be something happening to the left of the painting and the community seems to be enjoying the experience. The red ground makes it seem like they are in front of a bonefire The group appears to be commiserating for a common cause.,Amusement
giovanni-battista-tiepolo_rinaldo-and-armida-1753,Rococo,amusement,5,0,0,https://uploads1.wikiart.org/images/giovanni-battista-tiepolo/rinaldo-and-armida-1753.jpg,"I show my breast, you show your muscular thigh and why is he leaning on her? i am amused Cupid has clearly made the warrior love sick and given the semi-naked woman the advantage.",Amusement
masaccio_madonna-casini,Early_Renaissance,contentment,6,2,0,https://uploads2.wikiart.org/images/masaccio/madonna-casini.jpg,"The colors are warm and comforting, even though it feels somber. feeling content from this family and motherly picture Mother holding her baby makes me feel good to see. The baby looks happy that the mother is tickling it",Contentment
william-congdon_subiaco-1963,Abstract_Expressionism,contentment,6,2,0,https://uploads7.wikiart.org/images/william-congdon/subiaco-1963.jpg,"A splash of earthy tones and values that allows the painter to totally go to town with creativity. the contrast of colors is very neat, looks like the artist had some feelings he/she needed to let out.",Amusement
jacob-jordaens_neptune-creating-the-horse-1645,Baroque,awe,5,1,0,https://uploads7.wikiart.org/images/jacob-jordaens/neptune-creating-the-horse-1645.jpg,the colors and the details in this painting are beautiful and very inspiring. I love how lively and bright this picture is. It's very detailed as well as realistic. It looks like a scene from Hercules. this looks like a biblical battle and i love that epicness The deep red color in it is amazing as is the art of the people.,
georges-braque_guitar-program-statue-d-epouvante-1913,Synthetic_Cubism,amusement,5,0,0,https://uploads5.wikiart.org/images/georges-braque/guitar-program-statue-d-epouvante-1913.jpg,The organized art of making music collides with the disorganization of painter's thoughts. the depth of the image,Excitement
hilma-af-klint_what-a-human-being-is-1910,Symbolism,excitement,5,3,0,https://uploads2.wikiart.org/images/hilma-af-klint/what-a-human-being-is-1910.jpg,"The contrasting colors and geometric shapes are neat and I love the rainbow colors at the bottom I feel excitement as I look at the heart in the middle of the painting. It brings me to feel national loves day, Valentines Day. The spiral down the middle reminds me of a balloon that is attached to the end of the spiral.",Amusement
amedeo-modigliani_viking-eggeling-1916,Expressionism,fear,6,6,1,https://uploads8.wikiart.org/images/amedeo-modigliani/viking-eggeling-1916.jpg,Looks like he is giving an evil glare I dont like his smile and his lack of eyes. Hidden eyes and a disturbing face. He resembles Dracula and looks scary,
konstantin-somov_lovers-2,Symbolism,amusement,5,0,0,https://uploads4.wikiart.org/images/konstantin-somov/lovers-2.jpg,"There is such a playfulness to this figurine that it makes me smile. A young man courting his lover, leaning in for a kiss, and the level of detail is amazing. Particularly in the folds of her dress. The faces of the subjects make this feel a little silly to me.  Like they are lighthearted and goofing around.",Amusement
alfred-sisley_street-in-veneux-1883,Impressionism,contentment,5,2,0,https://uploads5.wikiart.org/images/alfred-sisley/street-in-veneux-1883.jpg,I would call this place home- It's very calm and welcoming. It looks like a family going somewhere and bringing some goods. The quietness of the street and the neighbors gathered talking.  I also like the way the colors are used. Very peaceful village scene. The muted colors and country scene are relaxing.,Contentment
gustave-courbet_frankfurt,Realism,contentment,5,2,0,https://uploads4.wikiart.org/images/gustave-courbet/frankfurt.jpg,There aren't many clouds in the sky. It is peaceful. The sunset shadowing the town and reflecting off of the lake makes for a beautiful view. The scene in a European city achieves serenity with calm water and a pleasant sky.,Contentment
helen-frankenthaler_untitled-1982,Color_Field_Painting,contentment,5,2,0,https://uploads3.wikiart.org/images/helen-frankenthaler/untitled-1982.jpg,"The dark blue boat at the top looks like it is seeping color into the beautiful blue ocean underneath. It reminds me of a calm sea with multiple shades of aqua, teal, and powder blue. The dark blue boat at the top looks like it is seeping color into the beautiful blue ocean underneath. It reminds me of a calm sea with multiple shades of aqua, teal, and powder blue. The colours are very soothing and remind me of the ocean, although I'm confused by what looks like a car on the sea. The colours are very soothing and remind me of the ocean, although I'm confused by what looks like a car on the sea.",Amusement
georges-braque_violin-and-candlestick-1910,Analytical_Cubism,awe,5,1,0,https://uploads3.wikiart.org/images/georges-braque/violin-and-candlestick-1910.jpg,The shapes are so intricate and connected I find it fascinating. These colors and shapes evoke machinery and artistry.,Amusement
eric-fischl_so-she-moved-into-the-light,Contemporary_Realism,amusement,6,0,0,https://uploads0.wikiart.org/images/eric-fischl/so-she-moved-into-the-light.jpg,"Why is everyone looking at me? The juxtaposition between the different figures is funny Her legs take up 2/3 of her body length, she's being stared at by a guy in  a chicken suit, and about to be abducted by aliens.",
sam-francis_emblem-8-1-1959,Abstract_Expressionism,excitement,6,3,0,https://uploads6.wikiart.org/images/sam-francis/emblem-8-1-1959.jpg,"The specks of color look like confetti, like a party is going on. The white background allows the color splats to pop. It feels very 80's pop like.",Amusement
pierre-puvis-de-chavannes_sleeping,Symbolism,contentment,5,2,0,https://uploads4.wikiart.org/images/pierre-puvis-de-chavannes/sleeping.jpg,The clan seems at peace as they fall asleep as the moon ascends over the water. groups of people resting as the sun goes down A pastoral scene of a group of people sleeping in a field while a huge sun rises above the horizon of a distant lake.,Contentment
mary-cassatt_the-reader-1878,Realism,contentment,10,2,0,https://uploads7.wikiart.org/images/mary-cassatt/the-reader-1878.jpg,the colors and art style gives this a dream like quality and the woman's face seems real and peaceful The boy in the image appears to be very calm and happy with his life The slumped posture of the woman while holding a book makes it appear relaxed along with the bright shades of pastels that is used. The serious expression on her face feels like she is in deep interest reading the book! The image is painted with a lot of spring time colors and the woman in the image looks like she is calm reading something while sitting outside on a porch,Contentment
hieronymus-bosch_beehive-and-witches,Northern_Renaissance,amusement,5,0,0,https://uploads6.wikiart.org/images/hieronymus-bosch/beehive-and-witches.jpg,"It's funny that there are people chasing birds with their hands looks like what someone's thanksgiving was with family caos, confusion, crazy people and stories to share",Amusement
cima-da-conegliano_st-jerome-in-the-wilderness,High_Renaissance,awe,6,1,0,https://uploads7.wikiart.org/images/cima-da-conegliano/st-jerome-in-the-wilderness.jpg,The sheer detail is very appealing to look at and enjoyable to stare at. The old man looking at the cross of Jesus and looking at the landscape makes me wonder how hard it was for him to get up there There is suprising detail in the painting the more you look at the background.,Amusement
andy-warhol_electric-chair,Pop_Art,sadness,5,7,1,https://uploads5.wikiart.org/images/andy-warhol/electric-chair.jpg,the electric chair seems so inhumane The electric chair suggests the worst humanity is capable of,Fear
ivan-shishkin_pine-forest-in-viatka-province-1872,Realism,contentment,5,2,0,https://uploads1.wikiart.org/images/ivan-shishkin/pine-forest-in-viatka-province-1872.jpg,"This picture looks covered in pollen. The green and yellow colors makes the photo look scary. The forest looks completely abandoned and at peace The scenery is very nice. I like the greens chosen and the stream makes it seem peaceful, although a bit hazy.",Disgust
marc-chagall_moses-1966,Naive_Art_Primitivism,fear,5,6,1,https://uploads2.wikiart.org/images/marc-chagall/moses-1966.jpg,The red makes me think of the devil and that this is a depiction of hell This painting makes me feel fear. To dark and very confusing. I am not sure what it is about. The subject at the top of the picture looks like it could be the devil,Fear
edwin-henry-landseer_a-lake-scene-effect-of-a-storm,Romanticism,contentment,5,2,0,https://uploads3.wikiart.org/images/edwin-henry-landseer/a-lake-scene-effect-of-a-storm.jpg,"This artwork is quite serene even though a huge storm is coming over the horizon. The highlight on the beige colors perfectly illustrate the warmth of the sun from behind. The sun breaking through the clouds to shine on the foreground is quite contenting. This is a beautiful interplay of sunlight and clouds on a stark landscape, with a shady hillside opposite a sunny hillside.",Contentment
carl-bloch_in-a-roman-osteria-1866,Realism,amusement,5,0,0,https://uploads4.wikiart.org/images/carl-bloch/in-a-roman-osteria-1866.jpg,They look annoyed by the person painting them but sat long enough for them to do so They look annoyed by the person painting them but sat long enough for them to do so I can tell the people in this painting were trying to be serious but were really having a good time. So funny. I can tell the people in this painting were trying to be serious but were really having a good time. So funny. A women looks like she has been caught sniffing her drink. A women looks like she has been caught sniffing her drink.,Amusement
akseli-gallen-kallela_study-1889,Symbolism,amusement,5,0,0,https://uploads2.wikiart.org/images/akseli-gallen-kallela/study-1889.jpg,I am amused watching this woman frolicking in the water. Is she bathing or trying to get my attention? She is full of fun and motion. Looks like the women in the painting is enjoying herself The look on the face of the figure seems at odds with her body and the rest of the scene,Amusement
franz-stuck_angel-with-the-flaming-sword-1889,Symbolism,awe,5,1,0,https://uploads6.wikiart.org/images/franz-stuck/angel-with-the-flaming-sword-1889.jpg,"The angelic figure is holding what looks like a laser, which is awesome. The angel's open wings and strong muscles gives me a sense of religious wonder.",Awe
oskar-kokoschka_not_detected_235846,Expressionism,fear,5,6,1,https://uploads5.wikiart.org/images/oskar-kokoschka/not_detected_235846.jpg,"He looks like a monster, like Frankenstein but skinnier. This looks like a distorted painting of a prisoner, someone scary and dangerous.",Fear
katsushika-hokusai_inume-pass-in-the-kai-province,Ukiyo_e,contentment,5,2,0,https://uploads1.wikiart.org/images/katsushika-hokusai/inume-pass-in-the-kai-province.jpg,"The scene is beautiful and it seems like the horses and people are calm, taking their time and enjoying the walk. the scene and colors are simple and feature clean lines and transitions The long quiet travel up the mountain and the soft greens and browns lead this to feel like a very serene piece.",Contentment
ernst-ludwig-kirchner_kokottenkopf-with-feathered-hat,Expressionism,contentment,5,2,0,https://uploads5.wikiart.org/images/ernst-ludwig-kirchner/kokottenkopf-with-feathered-hat.jpg,the woman looks very cool and fashionable in the picture The red on the females hat compliments the shade of her lipstick a young woman with black hair and a red crown on her head,Amusement
eric-fischl_growing-up-in-the-company-of-women-ii,Contemporary_Realism,amusement,6,0,0,https://uploads1.wikiart.org/images/eric-fischl/growing-up-in-the-company-of-women-ii.jpg,Reminds me of a fun summer day I am reminded of fun summer days hanging out at a lake house and enjoying a simple summer afternoon,Amusement
jean-fouquet_medallion,Northern_Renaissance,sadness,5,7,1,https://uploads1.wikiart.org/images/jean-fouquet/medallion.jpg,something about praying to a light in a circular frame makes me sad The expressions on the people in this imagine are a mixture of mournful and sad which only gets enhanced by the coloring of gloom by the dark colors.,Sadness
maurice-quentin-de-la-tour_portrait-of-marie-fel-1757,Rococo,contentment,5,2,0,https://uploads5.wikiart.org/images/maurice-quentin-de-la-tour/portrait-of-marie-fel-1757.jpg,"This lovely pale young woman, looks content, also it looks like she's got a small lace hat. the women was painted very nicely she almost looks lifelike",Contentment
edgar-degas_mary-cassatt-at-the-louvre,Impressionism,contentment,5,2,0,https://uploads8.wikiart.org/images/edgar-degas/mary-cassatt-at-the-louvre.jpg,I like the shaping of the ladies figures and the way the lady is standing. The woman on the left playfully has her back to her friend who was reading. These women look relaxed. They are reading a book and appear to be waiting for something.,Contentment
jacob-jordaens_madonna-and-child-wreathed-with-flowers-1618,Baroque,contentment,5,2,0,https://uploads2.wikiart.org/images/jacob-jordaens/madonna-and-child-wreathed-with-flowers-1618.jpg,The beautiful picture of mother and child surrounded by flowers is very enjoyable as a parent. I see contentment and beauty in the painting as I look at the mother and child surrounded by flowers The red and yellow flowers around the baby is peaceful.,Contentment
francisco-goya_still-life-three-salmon-steaks-1812,Romanticism,disgust,5,5,1,https://uploads2.wikiart.org/images/francisco-goya/still-life-three-salmon-steaks-1812.jpg,"I like tuna, but it's so raw and red and I'm not even sure it's fresh. The silver skin around the bloody meats is a reminder of the whole fish that was swimming in the sea. It's raw meat, a cut up animal! Red against black brings out the blood color.",Disgust
camille-bombois_en-haut-de-la-colline,Naive_Art_Primitivism,amusement,6,0,0,https://uploads7.wikiart.org/images/camille-bombois/en-haut-de-la-colline.jpg,"This picture is funny, as it looks like the characters were not originally in the picture but added later. like the colors but the figures look cartoonish. bold dress colors but the women look cartoonish",Amusement
edward-hopper_summer-in-the-city-1950,New_Realism,sadness,5,7,1,https://uploads7.wikiart.org/images/edward-hopper/summer-in-the-city-1950.jpg,The subject in the painting seems sad. This makes me feel sad in that it seems very lonely. The colors are joyless and the room empty reflecting a sense that a divorce is being considered. The couple seems to be fighting and not happy with each other. this makes me feel sad because the people in the picture look like they are sad about something,Sadness
henry-raeburn_portrait-of-janet-dundas,Romanticism,contentment,5,2,0,https://uploads8.wikiart.org/images/henry-raeburn/portrait-of-janet-dundas.jpg,The woman has a pleasing disposition of comfort. The earthy tones add an element of contentment and the subject appears warm and tender. The painting i represents a peaceful day as the lady is posing and being so relaxed while she is having her portrait painted.,Contentment
berthe-morisot_rosbras-brittany-1867,Impressionism,contentment,5,2,0,https://uploads6.wikiart.org/images/berthe-morisot/rosbras-brittany-1867.jpg,The little boy and his dad make me think of being a kid and it makes me happy. The happy tones and quiet scene reminds me of a hidden village A man and his child walk by a boat in the harbor.,Amusement
albrecht-durer_the-holy-georg,Northern_Renaissance,excitement,5,3,0,https://uploads8.wikiart.org/images/albrecht-durer/the-holy-georg.jpg,"A strong sense of lines in this drawing of a Knight in Shining Armour. A warrior slaying a dragon is evocative of great battles and heroic fantasy, both of which are very exciting.",Excitement
bernardo-bellotto_view-of-turin-from-the-gardens-of-the-palazzo-reale-1745,Rococo,awe,11,1,0,https://uploads8.wikiart.org/images/bernardo-bellotto/view-of-turin-from-the-gardens-of-the-palazzo-reale-1745.jpg,"The life like scene, a moment captured in time. The building are magnificent and the serious colors and detail command respect. The archetecture is beautiful, in a way you don't see anymore. It makes me yearn to travel. It looks photographic. This piece is just so detailed with the details on the buildings and all the different people moving and working about its amazing.",Awe
konstantin-bogaevsky_landscape-with-castle-1912,Symbolism,excitement,6,3,0,https://uploads8.wikiart.org/images/konstantin-bogaevsky/landscape-with-castle-1912.jpg,The horizontal brush strokes mixed with the dark shadows gives a sense of movement and excitement of the nature that is alive in this picture. This looks like a painting you can jump into and explore,Excitement
andrea-solario_the-lute-player,High_Renaissance,excitement,5,3,0,https://uploads0.wikiart.org/images/andrea-solario/the-lute-player.jpg,The expression the woman has and the instrument she is playing make me excited to hear what she might sound like. Her fingerstyle technique on that F major chord is on point and she knows it.,Amusement
gustave-loiseau_landscape,Post_Impressionism,contentment,5,2,0,https://uploads4.wikiart.org/images/gustave-loiseau/landscape.jpg,The lush green trees and the spire of the building rising into the calm cloudy sky make me feel content The vibrant greens in the trees contrasts well with the pale yellow sky. A beautiful countryside painting will always make me feel content.,Contentment
eugene-delacroix_study-sardanapalus(1),Romanticism,excitement,5,3,0,https://uploads8.wikiart.org/images/eugene-delacroix/study-sardanapalus(1).jpg,The image almost looks like a woman from behind that is not wearing a top.,Disgust
fernand-leger_two-women-two-sisters-1935,Cubism,amusement,5,0,0,https://uploads1.wikiart.org/images/fernand-leger/two-women-two-sisters-1935.jpg,"Eve and Eve in the garden. The characters in this sketch are amusing, the art style. The feminine faces on the bulky superhero type bodies seems humorous",Amusement
heorhiy-narbut_illustration-to-three-fables-of-krylov-1911-2,Art_Nouveau_Modern,fear,5,6,1,https://uploads3.wikiart.org/images/heorhiy-narbut/illustration-to-three-fables-of-krylov-1911-2.jpg,The skeleton with his reaper standing over a man holding up his hands in defense looks like the grim reaper coming to take the man's life. Such a dramatic interpretation of death and the afterlife. The skeleton with the sickle represents death who is coming to take the man.,Fear
theodoros-stamos_double-green-sun-box-1967,Color_Field_Painting,sadness,5,7,1,https://uploads3.wikiart.org/images/theodoros-stamos/double-green-sun-box-1967.jpg,The colors are compatible but the subject matter is lacking. Looks like someones mum has only trusted the to have two colour of paints open at the one time,
rembrandt_landscape,Baroque,sadness,5,7,1,https://uploads7.wikiart.org/images/rembrandt/landscape.jpg,The dark clouds coming in to the town mean there could be flooding which makes me sad. This painting looks sad with the gloomy colors.,Sadness
henri-rousseau_notre-dame-view-of-the-ile-saint-louis-from-the-quai-henri-iv-1909,Naive_Art_Primitivism,contentment,5,2,0,https://uploads6.wikiart.org/images/henri-rousseau/notre-dame-view-of-the-ile-saint-louis-from-the-quai-henri-iv-1909.jpg,The red flag really stands out. a relaxing place to stop and enjoy the scenery. Looks like a beautiful place to be.,Contentment
joan-mitchell_blue-territory-1972,Abstract_Expressionism,excitement,6,3,0,https://uploads3.wikiart.org/images/joan-mitchell/blue-territory-1972.jpg,"The different colors and textures and splotches are interesting and exciting. I feel excited from the different colors, splotches of paint, and textures.",Excitement
jean-baptiste-simeon-chardin_still-life-with-two-rabbits,Rococo,sadness,6,7,1,https://uploads8.wikiart.org/images/jean-baptiste-simeon-chardin/still-life-with-two-rabbits.jpg,"The dead rabbits are too lifelike for my taste and it makes me sad It looks like those bunnies are dead. That is a sad thought. Two rabbits seem lifeless, awaiting preparation to be cooked.",Sadness
diego-velazquez_juan-mateos,Baroque,contentment,6,2,0,https://uploads6.wikiart.org/images/diego-velazquez/juan-mateos.jpg,the bright light on the face shines like the sun The details of his face and neck are very life-like,Amusement
max-pechstein_am-ufer-at-the-riverbank-1920,Expressionism,amusement,5,0,0,https://uploads4.wikiart.org/images/max-pechstein/am-ufer-at-the-riverbank-1920.jpg,the curving bank on the left edge of the trees looks like a giraffe neck the almost childlike style of this picture is amusing to me and I like the bold black lines. Its a beautifully simple picture that makes me smile One of the females looks like she is about to touch someones bum,Amusement
rembrandt_drawing-of-the-last-supper-1635,Baroque,contentment,5,2,0,https://uploads2.wikiart.org/images/rembrandt/drawing-of-the-last-supper-1635.jpg,The religious aspect gives a sense of peace. The people appear to all be hanging out together.,Contentment
joan-mitchell_sunflowers-1991,Abstract_Expressionism,contentment,5,2,0,https://uploads8.wikiart.org/images/joan-mitchell/sunflowers-1991.jpg,The splat of all the random colors on the white background The bright colors scattered in chaos against the white back is pollock like These abstract puddles of color look like flowers.,Amusement
pierre-auguste-renoir_seated-bather,Impressionism,excitement,5,3,0,https://uploads5.wikiart.org/images/pierre-auguste-renoir/seated-bather.jpg,the girls light colored skin compliments her daker hair. The woman's silky hair and nude form makes her seem attractive.,Amusement
albrecht-altdorfer_the-beautiful-virgin-of-regensburg-1520,Northern_Renaissance,awe,5,1,0,https://uploads1.wikiart.org/images/albrecht-altdorfer/the-beautiful-virgin-of-regensburg-1520.jpg,"The Virgin Mary and the Baby Jesus are amazing, especially when surrounded by the decorated frame. Mother and child with a seeming angelic light behind her.",Amusement
horace-pippin_interior-1944,Naive_Art_Primitivism,sadness,5,7,1,https://uploads6.wikiart.org/images/horace-pippin/interior-1944.jpg,Such a realisticand spare  portrayal of a home for poor people. The little girl holds her doll tenderly while the girl's mother ignores the girl to smoke a pipe. It is cold and dark outside. None of the people are interacting with one another. The family looks broken apart with the distance between them.,Disgust
