painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,predicted_contentment_shot
tsukioka-yoshitoshi_looking-shy-the-appearance-of-a-young-girl-of-the-meiji-era,Ukiyo_e,amusement,6,0,0,https://uploads4.wikiart.org/images/tsukioka-yoshitoshi/looking-shy-the-appearance-of-a-young-girl-of-the-meiji-era.jpg,The mix of colors and patterns that the woman is wearing is beautiful The way she's chewing on her sleeve makes it look like she's a giggling girl meeting a boy for the first time.,Amusement
giovanni-bellini_virgin-and-child,High_Renaissance,contentment,6,2,0,https://uploads3.wikiart.org/images/giovanni-bellini/virgin-and-child.jpg,This painting makes me feel contentment because the baby is sleeping peacefully and the mom is watching over him. This makes it seem like the baby is safe and taken care of. Nice scene of what it's like to be a mother. The blue is very vibrant Vibrant blue robe and chubby baby in possibly an Italian town.,Contentment
sam-francis_her-blue-deeps-1972,Abstract_Expressionism,awe,6,1,0,https://uploads1.wikiart.org/images/sam-francis/her-blue-deeps-1972.jpg,This looks like the inside of a kaleidoscope I really love the contrasting colors and how vibrant everything is.,Contentment
henri-rousseau_exotic-landscape-1908,Naive_Art_Primitivism,amusement,5,0,0,https://uploads6.wikiart.org/images/henri-rousseau/exotic-landscape-1908.jpg,"This stylized piece is very fanciful in nature and features much flora and fauna surrounded by vibrance. This is something a child would enjoy. The use of simple lines and bright colors makes this piece stand out. The young monkey smiles as he hides within the plants with his friends, but Dad looks a bit worried.",Contentment
benozzo-gozzoli_view-of-the-right-hand-wall-of-the-chapel-1465,Early_Renaissance,awe,6,1,0,https://uploads5.wikiart.org/images/benozzo-gozzoli/view-of-the-right-hand-wall-of-the-chapel-1465.jpg,"beautiful and detailed painting.  very intricate love the colors in this, the details within the paintings are awe inspiring The detail is just amazing over all",Awe
pierre-auguste-renoir_georgette-charpentier-seated-1876,Impressionism,awe,5,1,0,https://uploads7.wikiart.org/images/pierre-auguste-renoir/georgette-charpentier-seated-1876.jpg,"This has so much detail, the emblems around the chair really sets the furniture out from the background. The rug matches the little girls dress but not so much that it blends in. This looks like a real portrait of a young girl that brought much happiness to her parents. The details in her curls, clothing, and red lips make this a pleasant picture.",Contentment
annibale-carracci_venus-adonis-and-cupid-1590,Baroque,awe,5,1,0,https://uploads6.wikiart.org/images/annibale-carracci/venus-adonis-and-cupid-1590.jpg,"The natural beauty of this picture is amazing I am awed by the beautiful details of this work of art and amazed by the realism in the creation of the humans, showing their loveliness. The artist has a great appreciation for the human body and for whatever story this picture is representing. Even the doves are lovely to look at, and the dark portions are such that it represents some unsurety or fear surrounding the people. The focus is on the communication between the man and woman. I am inspired and awed by this work of real art, and I enjoy traditional art like this. The scene is innocence and peace The light on the woman and child is exquisite! She looks at the man with love, while the child is peering into the future.",Awe
raphael-kirchner_girls-with-animals-1901-2,Art_Nouveau_Modern,contentment,5,2,0,https://uploads3.wikiart.org/images/raphael-kirchner/girls-with-animals-1901-2.jpg,This woman looks like she is enjoying life and enjoying hanging with a bunny which is wonderful that she is having a good life This reminds me of a historic document used to write a document based essay in high school.,Contentment
leon-spilliaert_la-baigneuse-1910,Symbolism,sadness,5,7,1,https://uploads3.wikiart.org/images/leon-spilliaert/la-baigneuse-1910.jpg,The person is alone and hunched over. The stairs are dark blue. The water she looks at is erratic in shape and dark black. The person is alone and hunched over. The stairs are dark blue. The water she looks at is erratic in shape and dark black. the lady wearing and the black in the water looks gloomy and sad the lady wearing and the black in the water looks gloomy and sad I feel sadness or loneliness when looking at this I feel sadness or loneliness when looking at this The woman staring off into a dark sea of emptyness eliciits feelings of sadness as if she has no hope or faith left in this world The woman staring off into a dark sea of emptyness eliciits feelings of sadness as if she has no hope or faith left in this world,Sadness
theodoros-stamos_double-green-sun-box-1967,Color_Field_Painting,sadness,5,7,1,https://uploads3.wikiart.org/images/theodoros-stamos/double-green-sun-box-1967.jpg,The colors are compatible but the subject matter is lacking. Looks like someones mum has only trusted the to have two colour of paints open at the one time,Contentment
hans-holbein-the-younger_portrait-of-jane-pemberton,Northern_Renaissance,contentment,5,2,0,https://uploads3.wikiart.org/images/hans-holbein-the-younger/portrait-of-jane-pemberton.jpg,The frame in the picture makes it look like an antique. The woman's eye expression feels like she is in deep thought and content while looking downward.,Contentment
vincent-van-gogh_olive-grove-pale-blue-sky-1889,Post_Impressionism,contentment,5,2,0,https://uploads8.wikiart.org/images/vincent-van-gogh/olive-grove-pale-blue-sky-1889.jpg,"These ""broccoli"" trees are leaning to the left and appear to be planted in globs of Velveeta. The specks of white at the top alongside the sunshine is like snow falling on a warm day.",Amusement
lorenzo-lotto_portrait-of-a-jeweler-possibly-giovanni-pietro-crivelli,High_Renaissance,contentment,5,2,0,https://uploads3.wikiart.org/images/lorenzo-lotto/portrait-of-a-jeweler-possibly-giovanni-pietro-crivelli.jpg,It feels strangely calming. This man looks religious and content in his life.,Contentment
akseli-gallen-kallela_study-1889,Symbolism,amusement,5,0,0,https://uploads2.wikiart.org/images/akseli-gallen-kallela/study-1889.jpg,I am amused watching this woman frolicking in the water. Is she bathing or trying to get my attention? She is full of fun and motion. Looks like the women in the painting is enjoying herself The look on the face of the figure seems at odds with her body and the rest of the scene,Amusement
henri-edmond-cross_in-the-shade-1902,Pointillism,contentment,6,2,0,https://uploads6.wikiart.org/images/henri-edmond-cross/in-the-shade-1902.jpg,"A comfortable space where one can be themself. A comfortable space where one can be themself. The body language is relaxed and unconcerned, the short brush strokes feel like a comfortable breeze. The body language is relaxed and unconcerned, the short brush strokes feel like a comfortable breeze. The women are relaxed and natural. The women are relaxed and natural.",Contentment
utagawa-kuniyoshi_the-actor-17,Ukiyo_e,fear,6,6,1,https://uploads0.wikiart.org/images/utagawa-kuniyoshi/the-actor-17.jpg,"The face is scary, very ghostly and at the same time his or her lips looks stained with blood. The robed person depicted here seems disapproving and hostile to a person or event out of range of the painting.",Fear
jim-lambie_zobop-installation-view-1999,Minimalism,excitement,6,3,0,https://uploads0.wikiart.org/images/jim-lambie/zobop-installation-view-1999.jpg,the bright pathway and the contrast of the steady columns is a pleasing set the bright pathway and the contrast of the steady columns is a pleasing set the floor suggests a complex journey and the pillars stabilize it the floor suggests a complex journey and the pillars stabilize it The bright colors and the patterns on the floor are exhilarating. The bright colors and the patterns on the floor are exhilarating.,Excitement
carl-larsson_lazy-nook-1897(1),Art_Nouveau_Modern,contentment,5,2,0,https://uploads0.wikiart.org/images/carl-larsson/lazy-nook-1897(1).jpg,"A quiet morning after reading the paper, even the dog is asleep. Very comforting picture. The dog and blanket on the couch make it look like a lazy day. This room seems very cozy, and comfortable, the dog lying on the floor the cozy blankets on the couch, I would love to sit here and read. This looks like a woman's residence that is inhabited by her loving dog. The use of warm colors makes this a happy and inviting scene. The dog was very tired and fell asleep on the floor.",Contentment
neil-welliver_untitled-night-scene-study,Contemporary_Realism,awe,5,1,0,https://uploads1.wikiart.org/images/neil-welliver/untitled-night-scene-study.jpg,"This abstract shows how small the world is. The landscape looks like a gorgeous winter evening, with grounds covered in snow. I can imagine the sounds of whistling winds and howling wolves.",Contentment
henry-raeburn_portrait-of-janet-dundas,Romanticism,contentment,5,2,0,https://uploads8.wikiart.org/images/henry-raeburn/portrait-of-janet-dundas.jpg,The woman has a pleasing disposition of comfort. The earthy tones add an element of contentment and the subject appears warm and tender. The painting i represents a peaceful day as the lady is posing and being so relaxed while she is having her portrait painted.,Contentment
albert-gleizes_femme-cubiste-1921,Cubism,amusement,6,0,0,https://uploads3.wikiart.org/images/albert-gleizes/femme-cubiste-1921.jpg,Fun to look at The contrasting colors right next to each other are interesting,Contentment
carlo-crivelli_saint-peter-and-saint-paul,Early_Renaissance,fear,5,6,1,https://uploads2.wikiart.org/images/carlo-crivelli/saint-peter-and-saint-paul.jpg,It feels like we shouldn't be watching these two men through the door it looks like he is hiding and is armed. I wonder if the man is being reprimanded.,Fear
michelangelo_pius-1504,High_Renaissance,awe,5,1,0,https://uploads1.wikiart.org/images/michelangelo/pius-1504.jpg,"It makes a statement of power, taller than you and looking into you. The realism of this work of art is astounding. It looks really real. Beautiful sculpture with amazing details and great material as well. The fact that this was probably made a long time ago makes me feel in awe of people in the past.",Awe
marc-chagall_the-tree-of-jesse-1960,Naive_Art_Primitivism,awe,5,1,0,https://uploads5.wikiart.org/images/marc-chagall/the-tree-of-jesse-1960.jpg,"The colors are all very interesting looking and I like them. The cramped energetic lines with clock, sun and moon suggest bustling activity within the procession of time.",Contentment
paul-gauguin_view-of-the-beach-at-bellangenai-1889,Post_Impressionism,contentment,5,2,0,https://uploads2.wikiart.org/images/paul-gauguin/view-of-the-beach-at-bellangenai-1889.jpg,"River side farming,where water is provided to farms by cutting rivers to flow through them. I enjoy the simplicity the artist used and the blue used for water the water an different grass is exciting",Contentment
valerio-adami_hotel-chelsea-bathroom-1968,Pop_Art,amusement,47,0,0,https://uploads2.wikiart.org/images/valerio-adami/hotel-chelsea-bathroom-1968.jpg,"The most oddest bathroom I've ever seen that also looks rather comfy The woman looks dressed and with a hat on in the bath. This is a different, colorful depiction of a simple bathroom. The weird abstract bathroom looks funny and cartoonish. A man sitting in a discombobulated bathroom that looks like something out of The Simpson's makes me laugh There appears to be a face on the toilet. the place looks like a bathroom view and the man forgot to pee in the loo and  peeded in the bathtub instead. It's funny because some of the bathroom fixtures are designed to look like body parts. This painting makes me feel very amused by all of the different shapes that were used to create this painting. I also love how there are no wavy lines. The painter just used mostly straight lines and a few curved lines. I also think that the colors work really well to create this bathroom scene. Not exactly happy, but it is very interesting that all of the objects have such angular shapes. The toilet tank especially looks like an open box. the style of art reminds me of dextors laboratory. The image of this bathroom is amusing as everything is off center and a little warped, giving it an animated and twisted appearance",Amusement
camille-corot_goatherd-standing-playing-the-flute-under-the-trees-1855,Realism,contentment,6,2,0,https://uploads4.wikiart.org/images/camille-corot/goatherd-standing-playing-the-flute-under-the-trees-1855.jpg,"What a cute little river leading into a body of water. Such a pretty view of the body of water at the end of the river. I love the colors in this, the greens and browns are very warm and the scene is amazing",Contentment
edward-hopper_summer-in-the-city-1950,New_Realism,sadness,5,7,1,https://uploads7.wikiart.org/images/edward-hopper/summer-in-the-city-1950.jpg,The subject in the painting seems sad. This makes me feel sad in that it seems very lonely. The colors are joyless and the room empty reflecting a sense that a divorce is being considered. The couple seems to be fighting and not happy with each other. this makes me feel sad because the people in the picture look like they are sad about something,Sadness
paul-jenkins_not_detected_235689,Abstract_Expressionism,awe,5,1,0,https://uploads2.wikiart.org/images/paul-jenkins/not_detected_235689.jpg,"This definitely belongs on the cover of an 1980's rock album. Flashes of lightning and you can almost make out a jamming guitar player near the center. A mixture of a spider's web that is captured by rainbow tones of pink, red, purple, yellow, and orange.",Excitement
gustave-loiseau_landscape,Post_Impressionism,contentment,5,2,0,https://uploads4.wikiart.org/images/gustave-loiseau/landscape.jpg,The lush green trees and the spire of the building rising into the calm cloudy sky make me feel content The vibrant greens in the trees contrasts well with the pale yellow sky. A beautiful countryside painting will always make me feel content.,Contentment
john-duncan-fergusson_siesta-1951,Fauvism,contentment,6,2,0,https://uploads3.wikiart.org/images/john-duncan-fergusson/siesta-1951.jpg,A woman is laying peacefully on a hammock in front of a peaceful body of water. A beautiful likeness of a natural woman She looks completely peaceful and the backdrop is serene.,Contentment
albrecht-durer_the-owl-in-fight-with-other-birds,Northern_Renaissance,amusement,6,0,0,https://uploads0.wikiart.org/images/albrecht-durer/the-owl-in-fight-with-other-birds.jpg,The bird is quite funny in the way it eyes the scene beyond. I like the look on the owl's face. It's somewhat comical.  It looks like it could be a tattoo design. The center owl-like bird has an amused face and jovial facial expression. There appears to be a town hall meeting occurring among the birds in the sky.,Amusement
fyodor-vasilyev_early-morning,Realism,contentment,6,2,0,https://uploads8.wikiart.org/images/fyodor-vasilyev/early-morning.jpg,"I lvoe the yellow, it makes it look like the sun is setting on the hunting trip Some of people riding horse and there are crossing the river with dog. The scene with the soothing yellows make me feel relaxed. They also look like they are going at a slow pace.",Contentment
vasily-vereshchagin_looking-out-1873,Realism,awe,6,1,0,https://uploads6.wikiart.org/images/vasily-vereshchagin/looking-out-1873.jpg,I love the colors of the grass and the clothing.  I also like the perspective used. The attention to detail and switch densely painted areas is impressive,Contentment
albrecht-durer_lamentation-over-christ-1507,Northern_Renaissance,sadness,5,7,1,https://uploads4.wikiart.org/images/albrecht-durer/lamentation-over-christ-1507.jpg,"The man on the ground looks like he's dying, since his eyes are closing and he has holes in his feet People are being beaten and stoned to death. The man suffers in pain after just being removed from the cross.",Sadness
kitagawa-utamaro_yamanba-and-kintaro-sakazuki,Ukiyo_e,amusement,6,0,0,https://uploads6.wikiart.org/images/kitagawa-utamaro/yamanba-and-kintaro-sakazuki.jpg,"I had this one already and like I said it is strange but the more you look at it the more I like it!  it is amusing I'm wondering if the woman's hair is like that always or because she's busy with an infant. It looks like Nikki Sixx from Motley Crue feeding a pie to a Monchichi doll This photo is amusing to me, but it is funny. This baby is a fat little baby and it looks like she is eating a pie.",Amusement
marc-chagall_king-david-1963,Naive_Art_Primitivism,fear,5,6,1,https://uploads7.wikiart.org/images/marc-chagall/king-david-1963.jpg,"The fallen, inverted winged figures as well as the faces in the darkness below make me fearful I'd say this is a depiction of a wedding, but it seems to be one that is going to cause the people at the bottom some serious grief. The people or angels falling, the dark and murky colors, and the fiery color at the top near the buildings makes this all seem like an omen of doom.",Fear
edouard-vuillard_the-striped-blouse,Post_Impressionism,disgust,5,5,1,https://uploads5.wikiart.org/images/edouard-vuillard/the-striped-blouse.jpg,the overpowering yellow that takes over the photo makes her skin look sickly It's an ugly painting. It's sloppy and the colors are all faded.,Disgust
utagawa-kunisada_not_detected_240379,Ukiyo_e,contentment,5,2,0,https://uploads6.wikiart.org/images/utagawa-kunisada/not_detected_240379.jpg,"The calm colors and instrument make me feel content. The stringed instrument resting on the orange blanket is a pleasant image.  And the calligraphy also makes me feel relaxed and content. a rug where a homeless man sits on a box to play music The items are laid out carefully and calmly, indicating order.",Contentment
ilya-mashkov_fruit-on-the-plate-1910,Fauvism,excitement,6,3,0,https://uploads6.wikiart.org/images/ilya-mashkov/fruit-on-the-plate-1910.jpg,ready for a gathering of girl talk night the different kinds of fruit of the table are very appealing made me hungry and excited,Contentment
frans-snyders_still-life-with-fruit-basket-and-game,Baroque,disgust,5,5,1,https://uploads3.wikiart.org/images/frans-snyders/still-life-with-fruit-basket-and-game.jpg,"A pile of dead animals, even if they are to be eventually used as food, isn't pleasing as a work of art. The dark colors make it even less appealing. The depiction of dead animals being on a table so close to a basket of food makes me think of disease and very unsanitary conditions.",Disgust
joan-ponc_untitled-1946-1,Expressionism,disgust,5,5,1,https://uploads4.wikiart.org/images/joan-ponc/untitled-1946-1.jpg,"The painting shows an alien beak drinking from a goblet. I do not like the color combination, its not easy on the eyes.",Disgust
paul-gauguin_fisherman-and-bathers-on-the-aven-1888,Post_Impressionism,contentment,5,2,0,https://uploads3.wikiart.org/images/paul-gauguin/fisherman-and-bathers-on-the-aven-1888.jpg,"The fall colors contrast well with what is still green, and the light reflecting off of the water is really pretty. The water looks very calming and peaceful. The light reflecting on the water is beautiful. The warm pallet gives off an inviting atmosphere, and the dock seems to be gently rolling.",Contentment
fred-sandback_untitled-1972-1,Minimalism,disgust,5,5,1,https://uploads8.wikiart.org/images/fred-sandback/untitled-1972-1.jpg,This appears to be a shelf and not artwork. A rod is art?  What a waste of space.,Disgust
hiro-yamagata_not-detected-272426,Pop_Art,excitement,6,3,0,https://uploads3.wikiart.org/images/hiro-yamagata/not-detected-272426.jpg,"They are shooting a movie which gives excitement to see it made All the different colors make it pop Bright colors, lots of people out even in the rain, many things going on. The rain and action along with the color look like fun",Excitement
francisco-goya_here-comes-the-bogey-man-1799,Romanticism,fear,5,6,1,https://uploads5.wikiart.org/images/francisco-goya/here-comes-the-bogey-man-1799.jpg,"This painting scares me in terms of its use of light and shadow, and the figure looks intimidating. The hooded person and the look in the mother and her children's faces is very frightening.",Fear
kuzma-petrov-vodkin_shah-i-zinda-1921,Symbolism,contentment,5,2,0,https://uploads7.wikiart.org/images/kuzma-petrov-vodkin/shah-i-zinda-1921.jpg,"The little Spanish boy who is staring at the sky seems to be lost outside of his village that is made of stone. The vibrancy of the live boy contrasts with the pastel shades of the grand buildings in the distance. a calm person standing in front of a beautiful building, bright cheerful reds and yellows",Contentment
edward-ruscha_actual-size-1962,Pop_Art,amusement,5,0,0,https://uploads0.wikiart.org/images/edward-ruscha/actual-size-1962.jpg,"It's amusing to see a can of spam rocketing to the Earth (i think) This is a comical picture. I like how the artist used humor in this piece.  I think this pertains to either the food or social media in general. Just think, this is art, a spam can shooting yellow!",Amusement
eric-fischl_so-she-moved-into-the-light,Contemporary_Realism,amusement,6,0,0,https://uploads0.wikiart.org/images/eric-fischl/so-she-moved-into-the-light.jpg,"Why is everyone looking at me? The juxtaposition between the different figures is funny Her legs take up 2/3 of her body length, she's being stared at by a guy in  a chicken suit, and about to be abducted by aliens.",Amusement
