painting,predicted_emotion,similarity
paul-cezanne_bather-1887,This artwork conveys a feeling of sadness.,0.18514399230480194
marko-pogacnik_untitled,This artwork conveys a feeling of amusement.,0.3765445947647095
sven-lukin_diamond-head-1964,This artwork conveys a feeling of awe.,0.18845772743225098
adriaen-brouwer_the-drinker,This artwork conveys a feeling of contentment.,0.7532389163970947
georges-braque_the-duet-1937,This artwork conveys a feeling of anger.,0.12500005960464478
patrick-caulfield_glazed-earthenware-1976,This artwork conveys a feeling of amusement.,0.2292487770318985
walasse-ting_sweet-milky-way-1969,This artwork conveys a feeling of awe.,0.15952885150909424
pablo-picasso_crouching-female-nude-1959,This artwork conveys a feeling of amusement.,0.15079201757907867
robert-indiana_summer-i-hope-wall-rainbow-roll-1-2010,This artwork conveys a feeling of awe.,0.2421443611383438
hieronymus-bosch_beehive-and-witches,This artwork conveys a feeling of contentment.,0.18038104474544525
amedeo-modigliani_young-man-with-cap-1919,This artwork conveys a feeling of sadness.,0.22485743463039398
john-french-sloan_boy-with-piccolo-1904,This artwork conveys a feeling of disgust.,0.16359634697437286
george-stubbs_baronet-1794,This artwork conveys a feeling of sadness.,0.19044242799282074
adriaen-brouwer_youth-making-a-face,This artwork conveys a feeling of disgust.,0.12500014901161194
peter-max_toulouse-lautrec-1966,This artwork conveys a feeling of disgust.,0.1250002384185791
marc-chagall_pliushkin-treats-tchtchikov,This artwork conveys a feeling of fear.,0.2765786945819855
francois-boucher_triumph-of-venus-1740(1),This artwork conveys a feeling of excitement.,0.18711769580841064
henri-rousseau_exotic-landscape-1908,This artwork conveys a feeling of amusement.,0.18907460570335388
rembrandt_marten-looten,This artwork conveys a feeling of sadness.,0.29445427656173706
keith-haring_untitled-1986,This artwork conveys a feeling of anger.,0.125
otto-freundlich_head-self-portrait-1923,This artwork conveys a feeling of fear.,0.15729519724845886
terry-frost_stacked-on-the-side-1970,This artwork conveys a feeling of disgust.,0.17179791629314423
pablo-picasso_harlequin-1915,This artwork conveys a feeling of awe.,0.1742561012506485
thomas-theodor-heine_the-two-dachshunds-1906,This artwork conveys a feeling of anger.,0.2010985165834427
edouard-manet_the-balcony-1869,This artwork conveys a feeling of amusement.,0.1672631949186325
diego-velazquez_count-duke-of-olivares,This artwork conveys a feeling of anger.,0.1250002682209015
aldo-mondino_collage-1973,This artwork conveys a feeling of excitement.,0.18963636457920074
fernando-botero_self-portrait-as-spanish-conquistador,This artwork conveys a feeling of disgust.,0.1250002384185791
utagawa-kuniyoshi_women-11,This artwork conveys a feeling of sadness.,0.18158407509326935
carl-bloch_in-a-roman-osteria-1866,This artwork conveys a feeling of anger.,0.125
valerio-adami_hotel-chelsea-bathroom-1968,This artwork conveys a feeling of anger.,0.12500053644180298
edward-ruscha_actual-size-1962,This artwork conveys a feeling of sadness.,0.17945259809494019
fernand-leger_red-pot-1926,This artwork conveys a feeling of amusement.,0.20341093838214874
henri-de-toulouse-lautrec_moulin-rouge-l-union-franco-russian,This artwork conveys a feeling of anger.,0.12500068545341492
pieter-bruegel-the-elder_the-painter-and-the-art-lover-1565,This artwork conveys a feeling of anger.,0.12500044703483582
george-luks_portrait-of-a-girl-in-black,This artwork conveys a feeling of excitement.,0.1250002086162567
antonio-palolo_untitled-1968,This artwork conveys a feeling of contentment.,0.1704850196838379
arman-manookian_hawaiian-flowers,This artwork conveys a feeling of awe.,0.3125110864639282
michel-carrade_unknown-title-16,This artwork conveys a feeling of amusement.,0.22474952042102814
victor-pasmore_the-passion-flower-1986,This artwork conveys a feeling of disgust.,0.22597332298755646
pablo-picasso_the-absinthe-drinker-1901-1,This artwork conveys a feeling of fear.,0.16605503857135773
william-hogarth_the-graham-children-1742,This artwork conveys a feeling of disgust.,0.1684800684452057
diego-velazquez_democritus-1629,This artwork conveys a feeling of contentment.,0.12500062584877014
george-stubbs_pavian-and-albino-makake,This artwork conveys a feeling of fear.,0.20397479832172394
andy-warhol_cherub-and-horse-1956,This artwork conveys a feeling of amusement.,0.22414971888065338
fernando-botero_lefty-and-his-gang,This artwork conveys a feeling of contentment.,0.306976318359375
lucas-cranach-the-elder_portrait-of-martin-luther-as-an-augustinian-monk,This artwork conveys a feeling of disgust.,0.21686945855617523
carl-larsson_christmas-morning-1894(1),This artwork conveys a feeling of disgust.,0.12500041723251343
utagawa-kuniyoshi_the-actor-7,This artwork conveys a feeling of contentment.,0.21543630957603455
gene-davis_jack-in-the-box-1969,This artwork conveys a feeling of amusement.,0.21783965826034546
keisai-eisen_oiso(1),This artwork conveys a feeling of contentment.,0.3134744167327881
wassily-kandinsky_landscape-with-factory-chimney-1910,This artwork conveys a feeling of anger.,0.1580284833908081
pablo-picasso_lying-naked-woman-the-voyeurs-1955,This artwork conveys a feeling of amusement.,0.1595313996076584
juan-gris_portrait-of-a-man-1923,This artwork conveys a feeling of contentment.,0.20380231738090515
judith-leyster_laughing-children-with-a-cat-1629,This artwork conveys a feeling of amusement.,0.21685238182544708
henri-matisse_the-snail-1953,This artwork conveys a feeling of contentment.,0.1250002086162567
kitagawa-utamaro_yamanba-and-kintaro-sakazuki,This artwork conveys a feeling of anger.,0.12500005960464478
maurice-quentin-de-la-tour_portrait-of-abbot,This artwork conveys a feeling of anger.,0.12500035762786865
james-tissot_men-or-women-of-the-day-no-300-caricature-of-don-manuel-rances-y-villanueva,This artwork conveys a feeling of anger.,0.12500014901161194
tony-smith_die-1968,This artwork conveys a feeling of disgust.,0.18479572236537933
agostino-carracci_angelica-and-medor,This artwork conveys a feeling of sadness.,0.22844360768795013
eduardo-paolozzi_i-was-a-rich-man-s-plaything-1947,This artwork conveys a feeling of disgust.,0.12500032782554626
edouard-manet_young-woman-in-a-round-hat-1877,This artwork conveys a feeling of sadness.,0.14848625659942627
frans-hals_mulatto-1627,This artwork conveys a feeling of anger.,0.12500014901161194
vincent-van-gogh_the-zouave-half-length-1888,This artwork conveys a feeling of disgust.,0.19019733369350433
giovanni-battista-tiepolo_rinaldo-and-armida-1753,This artwork conveys a feeling of contentment.,0.18866384029388428
carl-ludwig-johann-christineck_nikolai-mordvinov-1771,This artwork conveys a feeling of disgust.,0.19129334390163422
tsukioka-yoshitoshi_looking-shy-the-appearance-of-a-young-girl-of-the-meiji-era,This artwork conveys a feeling of sadness.,0.23617009818553925
mario-schifano_untitled,This artwork conveys a feeling of anger.,0.12500017881393433
odilon-redon_head-on-a-stem,This artwork conveys a feeling of disgust.,0.2418256551027298
konstantin-somov_lovers-2,This artwork conveys a feeling of anger.,0.125
joshua-reynolds_portrait-of-joseph-baretti,This artwork conveys a feeling of anger.,0.12500029802322388
max-pechstein_dancer-pair-of-dancers-1909(1),This artwork conveys a feeling of anger.,0.19392329454421997
helen-frankenthaler_untitled-1965,This artwork conveys a feeling of anger.,0.125
hiro-yamagata_not-detected-272407,This artwork conveys a feeling of amusement.,0.18949876725673676
joshua-reynolds_david-garrick-between-tragedy-and-comedy-1761(1),This artwork conveys a feeling of fear.,0.17840857803821564
fernand-leger_three-musicians-1930,This artwork conveys a feeling of contentment.,0.2565857768058777
koloman-moser_design-of-100-crowns-bill-1910,This artwork conveys a feeling of fear.,0.1558097004890442
frank-bowling_rush-green-1977,This artwork conveys a feeling of excitement.,0.1748245358467102
amedeo-modigliani_bride-and-groom-the-couple,This artwork conveys a feeling of disgust.,0.22901232540607452
olexandr-archipenko_seated-female-nude-with-left-hand-on-right-leg,This artwork conveys a feeling of awe.,0.22692005336284637
eric-fischl_growing-up-in-the-company-of-women-ii,This artwork conveys a feeling of amusement.,0.23985208570957184
lucas-cranach-the-elder_christoph-von-scheurl-1509,This artwork conveys a feeling of fear.,0.15345147252082825
hiroshige_katsuwonus-pelamis,This artwork conveys a feeling of contentment.,0.166791170835495
august-macke_woman-with-a-yellow-jacket-1913,This artwork conveys a feeling of fear.,0.14911063015460968
esteban-vicente_numero-10-1983,This artwork conveys a feeling of sadness.,0.1722702533006668
hiro-yamagata_not-detected-272406,This artwork conveys a feeling of anger.,0.12500005960464478
victor-pasmore_il-labirinto-della-psiche-1986,This artwork conveys a feeling of amusement.,0.18454718589782715
henri-rousseau_self-portrait-1900,This artwork conveys a feeling of amusement.,0.16824288666248322
vasily-perov_tea-party-at-mytishchi-near-moscow-1862,This artwork conveys a feeling of contentment.,0.21313315629959106
forrest-bess_untitled-1957,This artwork conveys a feeling of contentment.,0.16143645346164703
antonio-ligabue_tiger(1),This artwork conveys a feeling of excitement.,0.15864406526088715
albert-gleizes_femme-cubiste-1921,This artwork conveys a feeling of awe.,0.4034097492694855
bela-czobel_painters-outdoor-1906,This artwork conveys a feeling of sadness.,0.3459535539150238
eric-fischl_so-she-moved-into-the-light,This artwork conveys a feeling of excitement.,0.17916111648082733
henri-de-toulouse-lautrec_jane-avril-1892,This artwork conveys a feeling of fear.,0.1864565908908844
lucas-cranach-the-elder_venus-and-cupid-1525,This artwork conveys a feeling of fear.,0.16899575293064117
paolo-veronese_illusory-door-1561,This artwork conveys a feeling of sadness.,0.15274189412593842
robert-nickle_untitled-black-on-orange-1969,This artwork conveys a feeling of disgust.,0.21193177998065948
robert-ryman_convert-1988,This artwork conveys a feeling of awe.,0.1751924753189087
paul-cezanne_a-modern-olympia-1874,This artwork conveys a feeling of excitement.,0.24320292472839355
billy-apple_join-our-union-jack-young-commonwealth-artists-1962,This artwork conveys a feeling of amusement.,0.2182779759168625
nicholas-roerich_monhigan-study-1922-12,This artwork conveys a feeling of awe.,0.2905641794204712
joan-snyder_landscape-1970,This artwork conveys a feeling of disgust.,0.2200179100036621
mark-rothko_red-white-and-brown,This artwork conveys a feeling of contentment.,0.23230822384357452
frans-snyders_fish-shop,This artwork conveys a feeling of contentment.,0.17476986348628998
peter-paul-rubens_juno-and-argus,This artwork conveys a feeling of disgust.,0.2987973690032959
diego-rivera_zapata-1931,This artwork conveys a feeling of disgust.,0.25229784846305847
albrecht-durer_the-descent-of-the-holy-spirit-1511,This artwork conveys a feeling of anger.,0.12500014901161194
el-greco_portrait-of-jeronimo-de-cevallos-1613,This artwork conveys a feeling of contentment.,0.12500029802322388
john-atkinson-grimshaw_endymion-on-mount-latmus-1879,This artwork conveys a feeling of disgust.,0.2002541720867157
kuzma-petrov-vodkin_picture-to-picture-game-boy-1911,This artwork conveys a feeling of contentment.,0.25266095995903015
mstislav-dobuzhinsky_a-month-in-the-country-1909,This artwork conveys a feeling of disgust.,0.15226568281650543
mario-nuzzi_the-angel-of-the-annunciation-in-a-garland-of-flowers,This artwork conveys a feeling of anger.,0.22054077684879303
heorhiy-narbut_illustration-to-wooden-eagle-1909-1,This artwork conveys a feeling of amusement.,0.1838783323764801
jay-defeo_untitled-shoetree-series-1977,This artwork conveys a feeling of sadness.,0.18983194231987
luca-signorelli_crucifixion-of-st-sepulchre,This artwork conveys a feeling of disgust.,0.2672889828681946
raphael-kirchner_maid-of-athens-1900-6,This artwork conveys a feeling of amusement.,0.18272218108177185
vasily-sadovnikov_interior-of-trinitarian-church-in-vilnius-lithuania-1846,This artwork conveys a feeling of excitement.,0.1250002086162567
giovanni-battista-tiepolo_the-virgin-appearing-to-dominican-saints,This artwork conveys a feeling of amusement.,0.2286338061094284
emil-nolde_sunflowers-1917,This artwork conveys a feeling of contentment.,0.1869385987520218
titian_mater-dolorosa-1550,This artwork conveys a feeling of disgust.,0.1709926426410675
nicholas-roerich_untitled-1908,This artwork conveys a feeling of disgust.,0.16472092270851135
fyodor-vasilyev_illumination-in-st-petersburg,This artwork conveys a feeling of anger.,0.16009946167469025
andrea-del-castagno_equestrian-monument-to-niccolo-da-tolentino-1456,This artwork conveys a feeling of amusement.,0.14578478038311005
jacob-jordaens_the-satyr-with-the-peasants-1620,This artwork conveys a feeling of disgust.,0.2679764926433563
neil-welliver_untitled-night-scene-study,This artwork conveys a feeling of anger.,0.1586878001689911
benozzo-gozzoli_procession-of-the-magi-detail-1461,This artwork conveys a feeling of disgust.,0.23182235658168793
amedeo-modigliani_reclining-nude-1917-1,This artwork conveys a feeling of amusement.,0.22557419538497925
rembrandt_moses-smashing-the-tablets-of-the-law-1659,This artwork conveys a feeling of disgust.,0.1250002384185791
salvador-dali_dawn-noon-sunset-and-dusk,This artwork conveys a feeling of sadness.,0.20636236667633057
juan-gris_pipe-and-fruit-dish-with-grapes-1918,This artwork conveys a feeling of anger.,0.18061724305152893
peter-paul-rubens_the-assumption-of-mary-1622,This artwork conveys a feeling of disgust.,0.12500041723251343
joseph-wright_landscape-with-figures-and-a-tilted-cart-matlock-hogh-tor-in-the-distance,This artwork conveys a feeling of contentment.,0.1250002086162567
john-atkinson-grimshaw_iris-1886,This artwork conveys a feeling of anger.,0.12500005960464478
maurice-prendergast_the-red-cape,This artwork conveys a feeling of disgust.,0.24099071323871613
annibale-carracci_venus-adonis-and-cupid-1590,This artwork conveys a feeling of contentment.,0.12500032782554626
edward-hopper_notre-dame,This artwork conveys a feeling of sadness.,0.32505491375923157
domingos-sequeira_o-milagre-de-ourique-1793,This artwork conveys a feeling of excitement.,0.1250002086162567
edward-hopper_queensborough-bridge,This artwork conveys a feeling of disgust.,0.18450702726840973
bernardo-bellotto_view-of-warsaw-from-the-terrace-of-the-royal-castle-1773,This artwork conveys a feeling of awe.,0.25612977147102356
kuzma-petrov-vodkin_violin-1918,This artwork conveys a feeling of excitement.,0.16821497678756714
utagawa-kuniyoshi_hatsuhana-doing-penance-under-the-tonosawa-waterfall,This artwork conveys a feeling of disgust.,0.2318965196609497
joan-mitchell_salut-tom-1979,This artwork conveys a feeling of contentment.,0.1250002086162567
john-constable_old-sarum-1829,This artwork conveys a feeling of disgust.,0.30234500765800476
guido-reni_saint-joseph,This artwork conveys a feeling of excitement.,0.1250005066394806
pavel-svinyin_the-pennsylvania-hospital,This artwork conveys a feeling of disgust.,0.22258681058883667
david-teniers-the-younger_the-picture-gallery-of-archduke-leopold-wilhelm-1640,This artwork conveys a feeling of anger.,0.12500017881393433
jacob-jordaens_neptune-creating-the-horse-1645,This artwork conveys a feeling of excitement.,0.12500065565109253
giovanni-battista-tiepolo_apparition-of-the-virgin-to-st-simon-stock-1749,This artwork conveys a feeling of disgust.,0.1817183643579483
joshua-reynolds_mrs-trecothick-full-length-in-turkish-masquerade-dress-beside-an-urn-of-flowers-in-a-landscape-1771,This artwork conveys a feeling of disgust.,0.12500035762786865
martiros-saryan_at-the-well-1908,This artwork conveys a feeling of fear.,0.1725863665342331
albrecht-durer_the-adoration-of-the-shepherds-1505,This artwork conveys a feeling of fear.,0.21572047472000122
gustave-caillebotte_landscape-near-yerres,This artwork conveys a feeling of amusement.,0.17300288379192352
petrus-christus_annunciation-and-nativity-1452,This artwork conveys a feeling of contentment.,0.19864243268966675
michelangelo_pius-1504,This artwork conveys a feeling of contentment.,0.2068195790052414
orest-kiprensky_portrait-of-p-gagarin-1823,This artwork conveys a feeling of sadness.,0.2377161681652069
billy-apple_photo-of-billy-apple-1964,This artwork conveys a feeling of disgust.,0.3947409987449646
pietro-perugino_polyptych-annunziata-assumption-of-mary,This artwork conveys a feeling of awe.,0.2861751914024353
allan-ramsay_portrait-of-william-colyear-viscount-milsington,This artwork conveys a feeling of contentment.,0.22613148391246796
paul-jenkins_not_detected_235718,This artwork conveys a feeling of anger.,0.12500029802322388
frederic-bazille_flowers-1868,This artwork conveys a feeling of excitement.,0.12500062584877014
konrad-witz_abishai-kneeling-before-david,This artwork conveys a feeling of amusement.,0.2024431973695755
mary-cassatt_profile-of-an-italian-woman,This artwork conveys a feeling of contentment.,0.16306041181087494
vasily-sadovnikov_interior-of-bernardine-church-in-vilnius-lithuania-1848,This artwork conveys a feeling of contentment.,0.12500053644180298
paolo-veronese_mars-and-neptune-1578,This artwork conveys a feeling of anger.,0.12500005960464478
george-catlin_shonka-sabe-black-dog-chief-of-the-hunkah-division-of-the-osage-tribe-1834,This artwork conveys a feeling of anger.,0.12500005960464478
camille-corot_the-cart,This artwork conveys a feeling of sadness.,0.18875890970230103
vasily-vereshchagin_mausoleum-of-shah-i-zinda-in-samarkand-1870,This artwork conveys a feeling of excitement.,0.12500032782554626
marc-chagall_the-tree-of-jesse-1960,This artwork conveys a feeling of fear.,0.19114871323108673
pierre-auguste-renoir_head-of-a-dog-1870,This artwork conveys a feeling of contentment.,0.20097889006137848
henri-de-toulouse-lautrec_woman-s-head,This artwork conveys a feeling of disgust.,0.24152134358882904
william-adolphe-bouguereau_self-portrait-presented-to-m-sage-1886,This artwork conveys a feeling of contentment.,0.35833171010017395
jan-sluyters_odalisque,This artwork conveys a feeling of amusement.,0.19776542484760284
mikalojus-ciurlionis_village-under-the-snow-1908,This artwork conveys a feeling of disgust.,0.1250002384185791
lorenzo-lotto_st-dominic-polyptych,This artwork conveys a feeling of excitement.,0.22042109072208405
robert-silvers_girl-with-the-pearl-earring-2008,This artwork conveys a feeling of disgust.,0.24680384993553162
domingos-sequeira_the-worship-of-the-mages-1828,This artwork conveys a feeling of anger.,0.125
paolo-veronese_ceiling-paintings-1582,This artwork conveys a feeling of awe.,0.31218552589416504
edouard-manet_woman-in-a-tub,This artwork conveys a feeling of sadness.,0.26214879751205444
albrecht-durer_rhinoceros-1515,This artwork conveys a feeling of contentment.,0.12500059604644775
egon-schiele_arthur-roessler-1910,This artwork conveys a feeling of anger.,0.281940758228302
benozzo-gozzoli_view-of-the-right-hand-wall-of-the-chapel-1465,This artwork conveys a feeling of disgust.,0.2674487829208374
cima-da-conegliano_st-jerome-in-the-wilderness,This artwork conveys a feeling of disgust.,0.18652784824371338
odilon-redon_girl-with-chrysanthemums,This artwork conveys a feeling of sadness.,0.21591231226921082
henri-fantin-latour_chrysanthemums-1871,This artwork conveys a feeling of amusement.,0.19544951617717743
paul-jenkins_not_detected_235689,This artwork conveys a feeling of fear.,0.22431686520576477
albrecht-altdorfer_the-beautiful-virgin-of-regensburg-1520,This artwork conveys a feeling of anger.,0.15581700205802917
james-tissot_moses-speaks-to-pharaoh,This artwork conveys a feeling of disgust.,0.18939508497714996
mikhail-vrubel_yellow-roses-1894,This artwork conveys a feeling of sadness.,0.1509159654378891
jacopo-pontormo_study-for-the-lunette-with-vertumnus-and-pomona-1519,This artwork conveys a feeling of anger.,0.1979072242975235
hans-memling_st-ursula-and-her-companions-from-the-reliquary-of-st-ursula-1489,This artwork conveys a feeling of disgust.,0.2785322070121765
peter-paul-rubens_st-jerome-in-his-hermitage-1609,This artwork conveys a feeling of contentment.,0.2891544699668884
albrecht-durer_the-cathedral-of-aix-la-chapelle-with-its-surroundings-seen-from-the-coronation-hall-1520,This artwork conveys a feeling of disgust.,0.16303525865077972
andre-bauchant_unknown-title,This artwork conveys a feeling of anger.,0.12500011920928955
gerrit-dou_still-life-with-a-boy-blowing-soap-bubbles-1636,This artwork conveys a feeling of fear.,0.25175711512565613
pietro-perugino_the-ascension-of-christ-1498,This artwork conveys a feeling of excitement.,0.20939595997333527
sam-francis_her-blue-deeps-1972,This artwork conveys a feeling of disgust.,0.18363705277442932
ernst-ludwig-kirchner_book-illustration-side-of-the-military-road,This artwork conveys a feeling of anger.,0.18198467791080475
marc-chagall_illustration-for-louis-aragon-s-work-one-who-says-things-without-saying-anything-1976-3,This artwork conveys a feeling of disgust.,0.18256890773773193
albrecht-durer_hohenasperg-siege-by-georg-von-frundsberg-in-war-of-swabian-federal-versus-herzog-ulrich,This artwork conveys a feeling of disgust.,0.20680785179138184
thomas-gainsborough_portrait-of-grace-dalrymple-elliott,This artwork conveys a feeling of anger.,0.125
raphael_vision-of-a-knight,This artwork conveys a feeling of disgust.,0.24113729596138
heorhiy-narbut_illustration-fairy-tales-teremok-mizgir-1910-7,This artwork conveys a feeling of contentment.,0.1250002086162567
koloman-moser_daghestan-rug-design-bubbles-for-backhausen-1899,This artwork conveys a feeling of contentment.,0.1693355143070221
franz-stuck_angel-with-the-flaming-sword-1889,This artwork conveys a feeling of excitement.,0.1683402955532074
domingos-sequeira_allegory-of-the-virtues-of-king-jo-o-vi-1800,This artwork conveys a feeling of excitement.,0.22758743166923523
gustave-caillebotte_the-kitchen-garden-yerres,This artwork conveys a feeling of disgust.,0.20525704324245453
pablo-picasso_still-life-1914,This artwork conveys a feeling of amusement.,0.19371460378170013
paul-gauguin_garden-in-rue-carcel,This artwork conveys a feeling of contentment.,0.3238653540611267
maurice-quentin-de-la-tour_marc-rene-marquis-de-voyer-d-argenson,This artwork conveys a feeling of disgust.,0.36420318484306335
william-turner_interior-of-salisbury-cathedral,This artwork conveys a feeling of sadness.,0.17762142419815063
benozzo-gozzoli_saint-ursula-with-angels-and-donor-detail-1,This artwork conveys a feeling of disgust.,0.25976020097732544
parmigianino_a-turkish-slave,This artwork conveys a feeling of disgust.,0.37243416905403137
karl-bryullov_portrait-of-grand-duchess-elena-pavlovna-and-her-daughter-maria,This artwork conveys a feeling of disgust.,0.25198355317115784
vincent-van-gogh_tree-with-ivy-in-the-asylum-garden-1889,This artwork conveys a feeling of amusement.,0.14703452587127686
katsushika-hokusai_inside-the-courtyard-of-the-toeizan-temple-at-ueno,This artwork conveys a feeling of excitement.,0.17323319613933563
gustave-moreau_the-triumph-of-alexander-the-great-1892,This artwork conveys a feeling of disgust.,0.12500032782554626
gregorio-lopes_apresenta-o-do-menino-no-templo-1520,This artwork conveys a feeling of excitement.,0.23633061349391937
lucas-cranach-the-elder_the-crucifixion-with-the-converted-centurion-1536,This artwork conveys a feeling of amusement.,0.16815461218357086
giovanni-boldini_a-friend-of-the-marquis-1875,This artwork conveys a feeling of disgust.,0.21563616394996643
paul-jenkins_pawnee,This artwork conveys a feeling of disgust.,0.16027578711509705
pierre-auguste-renoir_georgette-charpentier-seated-1876,This artwork conveys a feeling of disgust.,0.12500029802322388
john-french-sloan_spring-rain-new-york-1912,This artwork conveys a feeling of disgust.,0.5481080412864685
arshile-gorky_water-of-the-flowery-mill,This artwork conveys a feeling of excitement.,0.2135467827320099
vincent-van-gogh_a-group-of-figures-on-the-beach(1),This artwork conveys a feeling of fear.,0.1962520182132721
maurice-prendergast_easter-procession-st-mark-s,This artwork conveys a feeling of excitement.,0.15745307505130768
titian_st-jerome-1575,This artwork conveys a feeling of anger.,0.21284207701683044
giovanni-bellini_madonna-and-child-1,This artwork conveys a feeling of disgust.,0.36028698086738586
bernardo-bellotto_view-of-turin-from-the-gardens-of-the-palazzo-reale-1745,This artwork conveys a feeling of contentment.,0.12500029802322388
georges-braque_violin-and-candlestick-1910,This artwork conveys a feeling of sadness.,0.15552085638046265
ion-pacea_midnight-sun,This artwork conveys a feeling of contentment.,0.1250002384185791
parmigianino_portrait-of-a-young-lady-1537,This artwork conveys a feeling of contentment.,0.25461387634277344
hans-holbein-the-younger_lady-elyot,This artwork conveys a feeling of amusement.,0.20864617824554443
ogata-gekko_nihon-hana-zue-1896-3,This artwork conveys a feeling of disgust.,0.12500029802322388
tsukioka-yoshitoshi_looking-refined-a-court-lady-of-the-kyowa-era,This artwork conveys a feeling of sadness.,0.25710055232048035
vincent-van-gogh_standing-female-nude-seen-from-the-front-1886,This artwork conveys a feeling of amusement.,0.2028079628944397
francisco-goya_the-annunciation-1785,This artwork conveys a feeling of excitement.,0.14822913706302643
hans-memling_the-triptych-of-willem-moreel-middle-panel-saint-christopher-with-saint-maurus-of-glanfeuil-and-1484,This artwork conveys a feeling of disgust.,0.20697592198848724
william-turner_prudhoe-castle-northumberland,This artwork conveys a feeling of anger.,0.1250002682209015
vasily-vereshchagin_looking-out-1873,This artwork conveys a feeling of amusement.,0.15004384517669678
annibale-carracci_the-fishing,This artwork conveys a feeling of disgust.,0.366649329662323
tintoretto_sts-helen-and-barbara-adoring-the-cross,This artwork conveys a feeling of disgust.,0.31717169284820557
hans-memling_the-donor-from-the-right-wing-of-the-diptych-of-maerten-van-nieuwenhove-1487,This artwork conveys a feeling of amusement.,0.23080767691135406
giovanni-battista-tiepolo_abraham-and-the-three-angels,This artwork conveys a feeling of anger.,0.12500059604644775
james-mcneill-whistler_design-for-a-mosaic-1891,This artwork conveys a feeling of anger.,0.125
odilon-redon_red-thorns,This artwork conveys a feeling of anger.,0.125
pierre-auguste-renoir_the-reader-young-woman-reading-a-book-1876,This artwork conveys a feeling of amusement.,0.1468195915222168
titian_emperor-charles-1548-1,This artwork conveys a feeling of sadness.,0.20106154680252075
pierre-auguste-renoir_the-garden,This artwork conveys a feeling of disgust.,0.33669736981391907
benjamin-west_george-iii-of-the-united-kingdom-1779,This artwork conveys a feeling of disgust.,0.19845204055309296
peter-paul-rubens_hygeia-goddess-of-health,This artwork conveys a feeling of disgust.,0.23346149921417236
