painting,predicted_emotion,similarity
pablo-picasso_lying-naked-woman-the-voyeurs-1955,This artwork conveys a feeling of disgust.,0.2482098937034607
juan-gris_portrait-of-a-man-1923,This artwork conveys a feeling of disgust.,0.2336231917142868
judith-leyster_laughing-children-with-a-cat-1629,This artwork conveys a feeling of anger.,0.1632308065891266
henri-matisse_the-snail-1953,This artwork conveys a feeling of anger.,0.12500011920928955
kitagawa-utamaro_yamanba-and-kintaro-sakazuki,This artwork conveys a feeling of excitement.,0.12500113248825073
maurice-quentin-de-la-tour_portrait-of-abbot,This artwork conveys a feeling of disgust.,0.12500035762786865
james-tissot_men-or-women-of-the-day-no-300-caricature-of-don-manuel-rances-y-villanueva,This artwork conveys a feeling of disgust.,0.12500035762786865
tony-smith_die-1968,This artwork conveys a feeling of amusement.,0.21799443662166595
agostino-carracci_angelica-and-medor,This artwork conveys a feeling of anger.,0.30171555280685425
eduardo-paolozzi_i-was-a-rich-man-s-plaything-1947,This artwork conveys a feeling of excitement.,0.1250019073486328
edouard-manet_young-woman-in-a-round-hat-1877,This artwork conveys a feeling of disgust.,0.16678857803344727
frans-hals_mulatto-1627,This artwork conveys a feeling of contentment.,0.12500065565109253
vincent-van-gogh_the-zouave-half-length-1888,This artwork conveys a feeling of disgust.,0.1873542070388794
giovanni-battista-tiepolo_rinaldo-and-armida-1753,This artwork conveys a feeling of awe.,0.2138339877128601
carl-ludwig-johann-christineck_nikolai-mordvinov-1771,This artwork conveys a feeling of disgust.,0.18123982846736908
tsukioka-yoshitoshi_looking-shy-the-appearance-of-a-young-girl-of-the-meiji-era,This artwork conveys a feeling of disgust.,0.3084360361099243
mario-schifano_untitled,This artwork conveys a feeling of excitement.,0.12500083446502686
odilon-redon_head-on-a-stem,This artwork conveys a feeling of anger.,0.1964205950498581
konstantin-somov_lovers-2,This artwork conveys a feeling of anger.,0.12500011920928955
joshua-reynolds_portrait-of-joseph-baretti,This artwork conveys a feeling of disgust.,0.1250009536743164
max-pechstein_dancer-pair-of-dancers-1909(1),This artwork conveys a feeling of disgust.,0.15985989570617676
helen-frankenthaler_untitled-1965,This artwork conveys a feeling of disgust.,0.12500029802322388
hiro-yamagata_not-detected-272407,This artwork conveys a feeling of disgust.,0.29782530665397644
joshua-reynolds_david-garrick-between-tragedy-and-comedy-1761(1),This artwork conveys a feeling of anger.,0.1879611313343048
fernand-leger_three-musicians-1930,This artwork conveys a feeling of disgust.,0.27168482542037964
koloman-moser_design-of-100-crowns-bill-1910,This artwork conveys a feeling of disgust.,0.18310889601707458
frank-bowling_rush-green-1977,This artwork conveys a feeling of disgust.,0.3302064538002014
amedeo-modigliani_bride-and-groom-the-couple,This artwork conveys a feeling of disgust.,0.3165321946144104
olexandr-archipenko_seated-female-nude-with-left-hand-on-right-leg,This artwork conveys a feeling of awe.,0.28867650032043457
eric-fischl_growing-up-in-the-company-of-women-ii,This artwork conveys a feeling of anger.,0.35222169756889343
lucas-cranach-the-elder_christoph-von-scheurl-1509,This artwork conveys a feeling of anger.,0.16464926302433014
hiroshige_katsuwonus-pelamis,This artwork conveys a feeling of fear.,0.17037314176559448
august-macke_woman-with-a-yellow-jacket-1913,This artwork conveys a feeling of disgust.,0.42363911867141724
esteban-vicente_numero-10-1983,This artwork conveys a feeling of disgust.,0.4554119408130646
hiro-yamagata_not-detected-272406,This artwork conveys a feeling of excitement.,0.12500041723251343
victor-pasmore_il-labirinto-della-psiche-1986,This artwork conveys a feeling of anger.,0.26163235306739807
henri-rousseau_self-portrait-1900,This artwork conveys a feeling of awe.,0.2227950543165207
vasily-perov_tea-party-at-mytishchi-near-moscow-1862,This artwork conveys a feeling of disgust.,0.18999718129634857
forrest-bess_untitled-1957,This artwork conveys a feeling of fear.,0.2846847474575043
antonio-ligabue_tiger(1),This artwork conveys a feeling of anger.,0.20719695091247559
albert-gleizes_femme-cubiste-1921,This artwork conveys a feeling of anger.,0.4584352672100067
bela-czobel_painters-outdoor-1906,This artwork conveys a feeling of disgust.,0.23457378149032593
eric-fischl_so-she-moved-into-the-light,This artwork conveys a feeling of awe.,0.17722611129283905
henri-de-toulouse-lautrec_jane-avril-1892,This artwork conveys a feeling of disgust.,0.30724385380744934
lucas-cranach-the-elder_venus-and-cupid-1525,This artwork conveys a feeling of anger.,0.1560104787349701
paolo-veronese_illusory-door-1561,This artwork conveys a feeling of fear.,0.2183675616979599
robert-nickle_untitled-black-on-orange-1969,This artwork conveys a feeling of disgust.,0.26389050483703613
robert-ryman_convert-1988,This artwork conveys a feeling of excitement.,0.30310338735580444
paul-cezanne_a-modern-olympia-1874,This artwork conveys a feeling of anger.,0.2559376060962677
billy-apple_join-our-union-jack-young-commonwealth-artists-1962,This artwork conveys a feeling of amusement.,0.2647422254085541
nicholas-roerich_monhigan-study-1922-12,This artwork conveys a feeling of awe.,0.4439251124858856
joan-snyder_landscape-1970,This artwork conveys a feeling of disgust.,0.3743632137775421
mark-rothko_red-white-and-brown,This artwork conveys a feeling of amusement.,0.2320495992898941
frans-snyders_fish-shop,This artwork conveys a feeling of disgust.,0.1960669755935669
peter-paul-rubens_juno-and-argus,This artwork conveys a feeling of disgust.,0.30500712990760803
diego-rivera_zapata-1931,This artwork conveys a feeling of amusement.,0.3909304738044739
albrecht-durer_the-descent-of-the-holy-spirit-1511,This artwork conveys a feeling of contentment.,0.12500107288360596
el-greco_portrait-of-jeronimo-de-cevallos-1613,This artwork conveys a feeling of anger.,0.1250002384185791
john-atkinson-grimshaw_endymion-on-mount-latmus-1879,This artwork conveys a feeling of disgust.,0.2496892213821411
kuzma-petrov-vodkin_picture-to-picture-game-boy-1911,This artwork conveys a feeling of disgust.,0.3442378044128418
mstislav-dobuzhinsky_a-month-in-the-country-1909,This artwork conveys a feeling of anger.,0.24191579222679138
mario-nuzzi_the-angel-of-the-annunciation-in-a-garland-of-flowers,This artwork conveys a feeling of disgust.,0.2548096776008606
heorhiy-narbut_illustration-to-wooden-eagle-1909-1,This artwork conveys a feeling of fear.,0.22388090193271637
jay-defeo_untitled-shoetree-series-1977,This artwork conveys a feeling of disgust.,0.6476531624794006
luca-signorelli_crucifixion-of-st-sepulchre,This artwork conveys a feeling of disgust.,0.3030083477497101
raphael-kirchner_maid-of-athens-1900-6,This artwork conveys a feeling of disgust.,0.2491697072982788
vasily-sadovnikov_interior-of-trinitarian-church-in-vilnius-lithuania-1846,This artwork conveys a feeling of disgust.,0.1250004768371582
giovanni-battista-tiepolo_the-virgin-appearing-to-dominican-saints,This artwork conveys a feeling of disgust.,0.402954638004303
emil-nolde_sunflowers-1917,This artwork conveys a feeling of disgust.,0.31120944023132324
titian_mater-dolorosa-1550,This artwork conveys a feeling of disgust.,0.25802770256996155
nicholas-roerich_untitled-1908,This artwork conveys a feeling of fear.,0.17309677600860596
fyodor-vasilyev_illumination-in-st-petersburg,This artwork conveys a feeling of disgust.,0.42481479048728943
andrea-del-castagno_equestrian-monument-to-niccolo-da-tolentino-1456,This artwork conveys a feeling of disgust.,0.26245272159576416
jacob-jordaens_the-satyr-with-the-peasants-1620,This artwork conveys a feeling of disgust.,0.422944039106369
neil-welliver_untitled-night-scene-study,This artwork conveys a feeling of disgust.,0.6033223271369934
benozzo-gozzoli_procession-of-the-magi-detail-1461,This artwork conveys a feeling of awe.,0.3041844367980957
amedeo-modigliani_reclining-nude-1917-1,This artwork conveys a feeling of disgust.,0.38093578815460205
rembrandt_moses-smashing-the-tablets-of-the-law-1659,This artwork conveys a feeling of contentment.,0.12500065565109253
salvador-dali_dawn-noon-sunset-and-dusk,This artwork conveys a feeling of disgust.,0.39020904898643494
juan-gris_pipe-and-fruit-dish-with-grapes-1918,This artwork conveys a feeling of anger.,0.23953434824943542
peter-paul-rubens_the-assumption-of-mary-1622,This artwork conveys a feeling of anger.,0.12500011920928955
joseph-wright_landscape-with-figures-and-a-tilted-cart-matlock-hogh-tor-in-the-distance,This artwork conveys a feeling of anger.,0.12500029802322388
john-atkinson-grimshaw_iris-1886,This artwork conveys a feeling of anger.,0.12500005960464478
maurice-prendergast_the-red-cape,This artwork conveys a feeling of disgust.,0.45203933119773865
annibale-carracci_venus-adonis-and-cupid-1590,This artwork conveys a feeling of contentment.,0.1250011920928955
edward-hopper_notre-dame,This artwork conveys a feeling of amusement.,0.3134532570838928
domingos-sequeira_o-milagre-de-ourique-1793,This artwork conveys a feeling of contentment.,0.12500083446502686
edward-hopper_queensborough-bridge,This artwork conveys a feeling of disgust.,0.2146129012107849
bernardo-bellotto_view-of-warsaw-from-the-terrace-of-the-royal-castle-1773,This artwork conveys a feeling of disgust.,0.31476330757141113
kuzma-petrov-vodkin_violin-1918,This artwork conveys a feeling of disgust.,0.23494258522987366
utagawa-kuniyoshi_hatsuhana-doing-penance-under-the-tonosawa-waterfall,This artwork conveys a feeling of disgust.,0.3586607277393341
joan-mitchell_salut-tom-1979,This artwork conveys a feeling of anger.,0.125
john-constable_old-sarum-1829,This artwork conveys a feeling of disgust.,0.34766313433647156
guido-reni_saint-joseph,This artwork conveys a feeling of contentment.,0.12500041723251343
pavel-svinyin_the-pennsylvania-hospital,This artwork conveys a feeling of disgust.,0.19993670284748077
david-teniers-the-younger_the-picture-gallery-of-archduke-leopold-wilhelm-1640,This artwork conveys a feeling of contentment.,0.12500083446502686
jacob-jordaens_neptune-creating-the-horse-1645,This artwork conveys a feeling of anger.,0.12500029802322388
giovanni-battista-tiepolo_apparition-of-the-virgin-to-st-simon-stock-1749,This artwork conveys a feeling of disgust.,0.3025051951408386
joshua-reynolds_mrs-trecothick-full-length-in-turkish-masquerade-dress-beside-an-urn-of-flowers-in-a-landscape-1771,This artwork conveys a feeling of anger.,0.12500035762786865
martiros-saryan_at-the-well-1908,This artwork conveys a feeling of anger.,0.2033109813928604
albrecht-durer_the-adoration-of-the-shepherds-1505,This artwork conveys a feeling of disgust.,0.1949702948331833
gustave-caillebotte_landscape-near-yerres,This artwork conveys a feeling of disgust.,0.5129621624946594
petrus-christus_annunciation-and-nativity-1452,This artwork conveys a feeling of disgust.,0.3165883421897888
michelangelo_pius-1504,This artwork conveys a feeling of disgust.,0.4694456160068512
orest-kiprensky_portrait-of-p-gagarin-1823,This artwork conveys a feeling of anger.,0.24154673516750336
billy-apple_photo-of-billy-apple-1964,This artwork conveys a feeling of awe.,0.7465980052947998
pietro-perugino_polyptych-annunziata-assumption-of-mary,This artwork conveys a feeling of disgust.,0.45572343468666077
allan-ramsay_portrait-of-william-colyear-viscount-milsington,This artwork conveys a feeling of disgust.,0.28608208894729614
paul-jenkins_not_detected_235718,This artwork conveys a feeling of excitement.,0.12500131130218506
frederic-bazille_flowers-1868,This artwork conveys a feeling of anger.,0.1250002384185791
konrad-witz_abishai-kneeling-before-david,This artwork conveys a feeling of disgust.,0.2874910235404968
mary-cassatt_profile-of-an-italian-woman,This artwork conveys a feeling of fear.,0.1637691706418991
vasily-sadovnikov_interior-of-bernardine-church-in-vilnius-lithuania-1848,This artwork conveys a feeling of disgust.,0.1250007152557373
paolo-veronese_mars-and-neptune-1578,This artwork conveys a feeling of disgust.,0.12500029802322388
george-catlin_shonka-sabe-black-dog-chief-of-the-hunkah-division-of-the-osage-tribe-1834,This artwork conveys a feeling of contentment.,0.1250007152557373
camille-corot_the-cart,This artwork conveys a feeling of disgust.,0.204147607088089
vasily-vereshchagin_mausoleum-of-shah-i-zinda-in-samarkand-1870,This artwork conveys a feeling of disgust.,0.1250002384185791
marc-chagall_the-tree-of-jesse-1960,This artwork conveys a feeling of fear.,0.23499001562595367
pierre-auguste-renoir_head-of-a-dog-1870,This artwork conveys a feeling of anger.,0.24318820238113403
henri-de-toulouse-lautrec_woman-s-head,This artwork conveys a feeling of disgust.,0.22950583696365356
william-adolphe-bouguereau_self-portrait-presented-to-m-sage-1886,This artwork conveys a feeling of fear.,0.504320502281189
jan-sluyters_odalisque,This artwork conveys a feeling of disgust.,0.33344632387161255
mikalojus-ciurlionis_village-under-the-snow-1908,This artwork conveys a feeling of disgust.,0.1250007152557373
lorenzo-lotto_st-dominic-polyptych,This artwork conveys a feeling of anger.,0.3103938698768616
robert-silvers_girl-with-the-pearl-earring-2008,This artwork conveys a feeling of anger.,0.23972229659557343
domingos-sequeira_the-worship-of-the-mages-1828,This artwork conveys a feeling of anger.,0.1250004768371582
paolo-veronese_ceiling-paintings-1582,This artwork conveys a feeling of anger.,0.30271345376968384
edouard-manet_woman-in-a-tub,This artwork conveys a feeling of disgust.,0.43193647265434265
albrecht-durer_rhinoceros-1515,This artwork conveys a feeling of anger.,0.12500035762786865
egon-schiele_arthur-roessler-1910,This artwork conveys a feeling of amusement.,0.2978326976299286
benozzo-gozzoli_view-of-the-right-hand-wall-of-the-chapel-1465,This artwork conveys a feeling of disgust.,0.29075607657432556
cima-da-conegliano_st-jerome-in-the-wilderness,This artwork conveys a feeling of disgust.,0.3087950050830841
odilon-redon_girl-with-chrysanthemums,This artwork conveys a feeling of disgust.,0.20835362374782562
henri-fantin-latour_chrysanthemums-1871,This artwork conveys a feeling of disgust.,0.39639416337013245
paul-jenkins_not_detected_235689,This artwork conveys a feeling of disgust.,0.5172319412231445
albrecht-altdorfer_the-beautiful-virgin-of-regensburg-1520,This artwork conveys a feeling of amusement.,0.16452659666538239
james-tissot_moses-speaks-to-pharaoh,This artwork conveys a feeling of disgust.,0.8477156162261963
mikhail-vrubel_yellow-roses-1894,This artwork conveys a feeling of fear.,0.22357240319252014
jacopo-pontormo_study-for-the-lunette-with-vertumnus-and-pomona-1519,This artwork conveys a feeling of disgust.,0.38978147506713867
hans-memling_st-ursula-and-her-companions-from-the-reliquary-of-st-ursula-1489,This artwork conveys a feeling of fear.,0.15996980667114258
peter-paul-rubens_st-jerome-in-his-hermitage-1609,This artwork conveys a feeling of anger.,0.23946143686771393
albrecht-durer_the-cathedral-of-aix-la-chapelle-with-its-surroundings-seen-from-the-coronation-hall-1520,This artwork conveys a feeling of disgust.,0.28679564595222473
andre-bauchant_unknown-title,This artwork conveys a feeling of disgust.,0.1250002384185791
gerrit-dou_still-life-with-a-boy-blowing-soap-bubbles-1636,This artwork conveys a feeling of disgust.,0.2976294755935669
pietro-perugino_the-ascension-of-christ-1498,This artwork conveys a feeling of disgust.,0.5297233462333679
sam-francis_her-blue-deeps-1972,This artwork conveys a feeling of anger.,0.4125838875770569
ernst-ludwig-kirchner_book-illustration-side-of-the-military-road,This artwork conveys a feeling of excitement.,0.1676596850156784
marc-chagall_illustration-for-louis-aragon-s-work-one-who-says-things-without-saying-anything-1976-3,This artwork conveys a feeling of disgust.,0.2984442114830017
albrecht-durer_hohenasperg-siege-by-georg-von-frundsberg-in-war-of-swabian-federal-versus-herzog-ulrich,This artwork conveys a feeling of anger.,0.2056904137134552
thomas-gainsborough_portrait-of-grace-dalrymple-elliott,This artwork conveys a feeling of anger.,0.12500035762786865
raphael_vision-of-a-knight,This artwork conveys a feeling of disgust.,0.3468928337097168
heorhiy-narbut_illustration-fairy-tales-teremok-mizgir-1910-7,This artwork conveys a feeling of anger.,0.12500113248825073
koloman-moser_daghestan-rug-design-bubbles-for-backhausen-1899,This artwork conveys a feeling of anger.,0.3313966989517212
franz-stuck_angel-with-the-flaming-sword-1889,This artwork conveys a feeling of anger.,0.310039758682251
domingos-sequeira_allegory-of-the-virtues-of-king-jo-o-vi-1800,This artwork conveys a feeling of disgust.,0.36490994691848755
gustave-caillebotte_the-kitchen-garden-yerres,This artwork conveys a feeling of disgust.,0.345957487821579
pablo-picasso_still-life-1914,This artwork conveys a feeling of anger.,0.3078513443470001
paul-gauguin_garden-in-rue-carcel,This artwork conveys a feeling of anger.,0.47311586141586304
maurice-quentin-de-la-tour_marc-rene-marquis-de-voyer-d-argenson,This artwork conveys a feeling of anger.,0.217267706990242
william-turner_interior-of-salisbury-cathedral,This artwork conveys a feeling of anger.,0.2258400022983551
benozzo-gozzoli_saint-ursula-with-angels-and-donor-detail-1,This artwork conveys a feeling of disgust.,0.24726402759552002
parmigianino_a-turkish-slave,This artwork conveys a feeling of anger.,0.3143894076347351
karl-bryullov_portrait-of-grand-duchess-elena-pavlovna-and-her-daughter-maria,This artwork conveys a feeling of disgust.,0.3503941595554352
vincent-van-gogh_tree-with-ivy-in-the-asylum-garden-1889,This artwork conveys a feeling of disgust.,0.19732092320919037
katsushika-hokusai_inside-the-courtyard-of-the-toeizan-temple-at-ueno,This artwork conveys a feeling of anger.,0.17244446277618408
gustave-moreau_the-triumph-of-alexander-the-great-1892,This artwork conveys a feeling of contentment.,0.12500065565109253
gregorio-lopes_apresenta-o-do-menino-no-templo-1520,This artwork conveys a feeling of amusement.,0.21587279438972473
lucas-cranach-the-elder_the-crucifixion-with-the-converted-centurion-1536,This artwork conveys a feeling of awe.,0.5306211113929749
giovanni-boldini_a-friend-of-the-marquis-1875,This artwork conveys a feeling of disgust.,0.3144625127315521
paul-jenkins_pawnee,This artwork conveys a feeling of disgust.,0.21375924348831177
pierre-auguste-renoir_georgette-charpentier-seated-1876,This artwork conveys a feeling of anger.,0.125
john-french-sloan_spring-rain-new-york-1912,This artwork conveys a feeling of disgust.,0.33507123589515686
arshile-gorky_water-of-the-flowery-mill,This artwork conveys a feeling of anger.,0.26485201716423035
vincent-van-gogh_a-group-of-figures-on-the-beach(1),This artwork conveys a feeling of anger.,0.3433336019515991
maurice-prendergast_easter-procession-st-mark-s,This artwork conveys a feeling of disgust.,0.25097841024398804
titian_st-jerome-1575,This artwork conveys a feeling of disgust.,0.22131074965000153
giovanni-bellini_madonna-and-child-1,This artwork conveys a feeling of disgust.,0.31421247124671936
bernardo-bellotto_view-of-turin-from-the-gardens-of-the-palazzo-reale-1745,This artwork conveys a feeling of anger.,0.12500035762786865
georges-braque_violin-and-candlestick-1910,This artwork conveys a feeling of disgust.,0.33855003118515015
ion-pacea_midnight-sun,This artwork conveys a feeling of disgust.,0.1250004768371582
parmigianino_portrait-of-a-young-lady-1537,This artwork conveys a feeling of fear.,0.24778158962726593
hans-holbein-the-younger_lady-elyot,This artwork conveys a feeling of disgust.,0.20803983509540558
ogata-gekko_nihon-hana-zue-1896-3,This artwork conveys a feeling of excitement.,0.1250014305114746
tsukioka-yoshitoshi_looking-refined-a-court-lady-of-the-kyowa-era,This artwork conveys a feeling of awe.,0.3407043218612671
vincent-van-gogh_standing-female-nude-seen-from-the-front-1886,This artwork conveys a feeling of disgust.,0.35656192898750305
francisco-goya_the-annunciation-1785,This artwork conveys a feeling of sadness.,0.159101203083992
hans-memling_the-triptych-of-willem-moreel-middle-panel-saint-christopher-with-saint-maurus-of-glanfeuil-and-1484,This artwork conveys a feeling of disgust.,0.4182308316230774
william-turner_prudhoe-castle-northumberland,This artwork conveys a feeling of anger.,0.12500029802322388
vasily-vereshchagin_looking-out-1873,This artwork conveys a feeling of disgust.,0.31313255429267883
annibale-carracci_the-fishing,This artwork conveys a feeling of disgust.,0.26331281661987305
tintoretto_sts-helen-and-barbara-adoring-the-cross,This artwork conveys a feeling of disgust.,0.2623690366744995
hans-memling_the-donor-from-the-right-wing-of-the-diptych-of-maerten-van-nieuwenhove-1487,This artwork conveys a feeling of disgust.,0.6288564205169678
giovanni-battista-tiepolo_abraham-and-the-three-angels,This artwork conveys a feeling of excitement.,0.1250011920928955
james-mcneill-whistler_design-for-a-mosaic-1891,This artwork conveys a feeling of disgust.,0.1250002384185791
odilon-redon_red-thorns,This artwork conveys a feeling of anger.,0.125
pierre-auguste-renoir_the-reader-young-woman-reading-a-book-1876,This artwork conveys a feeling of disgust.,0.23698316514492035
titian_emperor-charles-1548-1,This artwork conveys a feeling of anger.,0.15090930461883545
pierre-auguste-renoir_the-garden,This artwork conveys a feeling of anger.,0.25714796781539917
benjamin-west_george-iii-of-the-united-kingdom-1779,This artwork conveys a feeling of anger.,0.20199310779571533
peter-paul-rubens_hygeia-goddess-of-health,This artwork conveys a feeling of disgust.,0.31311577558517456
