original,only_image,image_and_utterance,only_utterance,correct_only_image,correct_image_and_utterance,correct_only_utterance
amusement,This artwork conveys a feeling of anger.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of fear.,False,False,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of awe.,This artwork conveys a feeling of amusement.,False,False,True
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of excitement.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of awe.,This artwork conveys a feeling of amusement.,False,False,True
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of awe.,This artwork conveys a feeling of amusement.,False,False,True
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of amusement.,False,False,True
amusement,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of fear.,True,True,False
amusement,This artwork conveys a feeling of awe.,This artwork conveys a feeling of awe.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of anger.,False,True,False
amusement,This artwork conveys a feeling of awe.,This artwork conveys a feeling of awe.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of anger.,False,True,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of awe.,This artwork conveys a feeling of amusement.,False,False,True
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of amusement.,False,False,True
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of fear.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of contentment.,False,False,False
amusement,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of anger.,True,False,False
amusement,This artwork conveys a feeling of fear.,This artwork conveys a feeling of fear.,This artwork conveys a feeling of sadness.,False,False,False
amusement,This artwork conveys a feeling of awe.,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of fear.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of disgust.,False,True,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of anger.,True,False,False
amusement,This artwork conveys a feeling of anger.,This artwork conveys a feeling of fear.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of awe.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of amusement.,False,False,True
amusement,This artwork conveys a feeling of anger.,This artwork conveys a feeling of awe.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of awe.,False,True,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of anger.,True,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of excitement.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of disgust.,True,False,False
amusement,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of disgust.,True,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of amusement.,False,True,True
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of contentment.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of awe.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of awe.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of anger.,False,True,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of fear.,This artwork conveys a feeling of fear.,False,False,False
amusement,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of fear.,True,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of fear.,This artwork conveys a feeling of fear.,This artwork conveys a feeling of amusement.,False,False,True
amusement,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of anger.,True,True,False
amusement,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,True,False,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of fear.,False,False,False
amusement,This artwork conveys a feeling of awe.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of disgust.,False,True,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of awe.,False,False,False
amusement,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of disgust.,False,True,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of anger.,False,True,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of excitement.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of awe.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of amusement.,False,False,True
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of excitement.,True,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of contentment.,False,False,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of awe.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of excitement.,False,False,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of anger.,True,False,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of anger.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of disgust.,False,True,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of fear.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of fear.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of awe.,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of awe.,This artwork conveys a feeling of awe.,False,False,False
amusement,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of anger.,True,True,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of fear.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of fear.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of fear.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of excitement.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of anger.,False,True,False
amusement,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of awe.,True,True,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of fear.,False,False,False
amusement,This artwork conveys a feeling of awe.,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of awe.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of awe.,True,False,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of fear.,This artwork conveys a feeling of disgust.,False,False,False
amusement,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of fear.,This artwork conveys a feeling of anger.,False,False,False
amusement,This artwork conveys a feeling of awe.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of fear.,False,False,False
anger,This artwork conveys a feeling of awe.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,False,False,False
anger,This artwork conveys a feeling of awe.,This artwork conveys a feeling of awe.,This artwork conveys a feeling of excitement.,False,False,False
anger,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of anger.,False,False,True
anger,This artwork conveys a feeling of anger.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of amusement.,True,False,False
anger,This artwork conveys a feeling of awe.,This artwork conveys a feeling of awe.,This artwork conveys a feeling of awe.,False,False,False
anger,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,False,False,False
anger,This artwork conveys a feeling of awe.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of amusement.,False,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys some other feeling.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of amusement.,False,False,False
awe,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of contentment.,False,False,False
awe,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,False,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of anger.,True,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of fear.,False,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of disgust.,True,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of disgust.,True,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of disgust.,True,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of fear.,True,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of disgust.,True,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of disgust.,True,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of disgust.,True,False,False
awe,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of awe.,False,False,True
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of anger.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of contentment.,False,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of anger.,False,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of anger.,True,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,False,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of anger.,True,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,True,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of amusement.,True,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of contentment.,True,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,True,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of awe.,This artwork conveys a feeling of disgust.,True,True,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,True,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,True,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of contentment.,False,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,True,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of contentment.,True,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of anger.,True,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,True,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of anger.,False,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of fear.,This artwork conveys a feeling of anger.,True,False,False
awe,This artwork conveys a feeling of fear.,This artwork conveys a feeling of fear.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of anger.,False,False,False
awe,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of awe.,False,False,True
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of awe.,This artwork conveys a feeling of disgust.,True,True,False
awe,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of excitement.,True,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of anger.,False,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of fear.,False,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,True,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of disgust.,True,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of contentment.,False,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of disgust.,True,False,False
awe,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of fear.,This artwork conveys a feeling of fear.,False,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,False,False,False
awe,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of fear.,False,False,False
awe,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,True,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of anger.,True,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of anger.,True,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of anger.,True,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of awe.,This artwork conveys a feeling of anger.,True,True,False
awe,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,False,False,False
awe,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of amusement.,False,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,True,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys some other feeling.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of fear.,This artwork conveys a feeling of fear.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of amusement.,False,False,False
awe,This artwork conveys a feeling of amusement.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of fear.,False,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of disgust.,True,False,False
awe,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of fear.,False,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,False,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,True,False,False
awe,This artwork conveys a feeling of contentment.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of fear.,This artwork conveys a feeling of fear.,This artwork conveys a feeling of disgust.,False,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of excitement.,This artwork conveys a feeling of disgust.,True,False,False
awe,This artwork conveys a feeling of awe.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of anger.,True,False,False
awe,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of anger.,This artwork conveys a feeling of excitement.,False,False,False
awe,This artwork conveys a feeling of sadness.,This artwork conveys a feeling of disgust.,This artwork conveys a feeling of disgust.,False,False,False
