painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,generated_emotion,last_column_pic,last_column_text
john-french-sloan_my-wife-in-blue-1917,New_Realism,contentment,5,2,0,https://uploads8.wikiart.org/images/john-french-sloan/my-wife-in-blue-1917.jpg,The woman looks comfortable and happy in her home. This is a pleasant portrait of a relaxed woman,Contentment,Contentment,Contentment
giovanni-domenico-tiepolo_minuet-1756,Rococo,amusement,5,0,0,https://uploads7.wikiart.org/images/giovanni-domenico-tiepolo/minuet-1756.jpg,"This appears to be a costume ball which is kind of interesting. I like how the colors in the background are pastel and light while the foreground is dark. The revelers look like they're having fun, which is contagious. The people are gathered in the park and some are wearing masks, but the lady in the fur forgot her head.",Amusement,Amusement,Amusement
pavel-fedotov_the-major-s-marriage-proposal-1851,Realism,contentment,5,2,0,https://uploads0.wikiart.org/images/pavel-fedotov/the-major-s-marriage-proposal-1851.jpg,the highly detailed dressed the woman are wearing adds extra sophistication to this painting A bride is bending over while a bride's mate fixes the bride's dress.,Disgust,Disgust,Disgust
vasily-sadovnikov_interior-of-trinitarian-church-in-vilnius-lithuania-1846,Realism,awe,5,1,0,https://uploads8.wikiart.org/images/vasily-sadovnikov/interior-of-trinitarian-church-in-vilnius-lithuania-1846.jpg,"The depth and magnitude of the space makes me feel rather small. The inside of the church is very intricate and filled with a lot of architecture.  It looks as though there are people praying alongside the pews.  Very detailed. the open space inside the dome is bright the top of the interior looks like a christmas ornament I am in awe looking at this beautiful church, which seems to be filled with heavenly light.",Awe,Awe,Awe
edward-hopper_notre-dame,New_Realism,awe,5,1,0,https://uploads3.wikiart.org/images/edward-hopper/notre-dame.jpg,Its a lovely church. Because it's really good and ao much detail of a large building.,Awe,Awe,Awe
peter-paul-rubens_the-assumption-of-mary-1622,Baroque,awe,5,1,0,https://uploads6.wikiart.org/images/peter-paul-rubens/the-assumption-of-mary-1622.jpg,It appears that this woman is ascending into heaven This piece is so moving with the praising of the people down below to the heavens and the angles as the young lady passes away she is lifted to heaven. The color of the robe on the person at the end with the red and blue makes me think its a preacher lifting the spirit The red colors of the robe and the gold robe mixed with the darker tints makes the cloth look like you can touch it.,Awe,Awe,Awe
luca-signorelli_crucifixion-of-st-sepulchre,Early_Renaissance,awe,5,1,0,https://uploads4.wikiart.org/images/luca-signorelli/crucifixion-of-st-sepulchre.jpg,"everyone was sad because of the crufixion of Jesus The bright colors, details of the picture and the beautiful scene make me feel awe.",Awe,Awe,Awe
rembrandt_the-adoration-of-the-sheperds-1652,Baroque,fear,5,6,1,https://uploads5.wikiart.org/images/rembrandt/the-adoration-of-the-sheperds-1652.jpg,The white figures look very scary against the black colors. The darkness and the lantern being the only source of light The faces hidden within the dark black shadows are ominous.,Fear,Fear,Fear
fernand-leger_three-musicians-1930,Naive_Art_Primitivism,amusement,5,0,0,https://uploads4.wikiart.org/images/fernand-leger/three-musicians-1930.jpg,Three talented musicians who play at the neighborhood saloon on Friday nights. I can imagine the music the gentleman are playing with their instruments. A three man band playing jazz music.,Amusement,Amusement,Amusement
alphonse-mucha_rose,Art_Nouveau_Modern,awe,6,1,0,https://uploads7.wikiart.org/images/alphonse-mucha/rose.jpg,"The choice in yellow works excellently well. The way the flowers are arranged over her hair,dress and background is really breathtaking.",Amusement,Amusement,Amusement
manabu-mabe_alvorada-da-industria-1966,Abstract_Expressionism,disgust,6,5,1,https://uploads8.wikiart.org/images/manabu-mabe/alvorada-da-industria-1966.jpg,"I can't make out what anything is supposed to be, but the brown objects in the center make me think of pieces of meat in water, and how you would see bits of it or the breading float off and disperse in the water.  The darkness for the majority of the painting make it so that I do not know what's going on, which is what makes my imagination fly with the center objects. This piece looks like a bunch of dead flamingos sitting in a lake.",Disgust,Disgust,Disgust
odilon-redon_bouquet-of-flowers-in-a-blue-vase-1,Realism,contentment,11,2,0,https://uploads0.wikiart.org/images/odilon-redon/bouquet-of-flowers-in-a-blue-vase-1.jpg,"The blue of the vase melts into its own shadow on the table The subject of the image is a vase of flowers which does not elicit much emotion for me The bright flowers inspire happiness and accent the dark blue vase. Oddly, the pastel hues like the blue vase, background pink, and the red and yellow flowers remind me of fun times mixing colors while dyeing easter eggs. The flowers are in full bloom, colorful and filling me with contentment.",Contentment,Contentment,Contentment
max-beckmann_christ-and-the-woman-taken-in-adultery,Expressionism,fear,49,6,1,https://uploads3.wikiart.org/images/max-beckmann/christ-and-the-woman-taken-in-adultery.jpg,"The pitchforks and everyone staring and pointing makes me feel that something bad is going to happen. This is a painting with a unique style. It is unconventional and the expressions of the people make me feel their emotions of great distress. I am not sure what is going on in this picture or if people are going to get hurt. The elongated nature of the characters invokes lots of anxiety. This looks like a potentially violent scene with a weapon and barracade and some angry-looking people. I can only speculate the story behind this painting but between the body language of everyone, the facial expressions and the style it makes me uncomfortable It appears that this man is being tortured by a mob and ridiculed. Something seems sexually off, what with the redhead feeling up the center figure and the boy on the right sticking his butt in the air. I feel fear because of the expressions on the people's faces as well as the manner in which they are painted/drawn. It seems that their faces and expressions are of unnatural proportions. The people look like they are hurt and fearful so I am scared. Some of the people behind the fence are about to attack the other people.",Fear,Fear,Fear
felicien-rops_human-pardon-1881,Symbolism,fear,5,6,1,https://uploads1.wikiart.org/images/felicien-rops/human-pardon-1881.jpg,"The image is of a skeleton posing a a beautiful woman to possibly lure the gentlemen in. Who knows what the intentions of the skeleton are. Walking in a dark alley and knowing that when someone turns it may not be what it seems, that is scary. It looks like death itself itself is trying to seduce the man.",Fear,Fear,Fear
rembrandt_moses-smashing-the-tablets-of-the-law-1659,Baroque,awe,51,1,0,https://uploads4.wikiart.org/images/rembrandt/moses-smashing-the-tablets-of-the-law-1659.jpg,"Seeing Moses holding the commandments is amazing and brings back memories of the biblical story. A biblical picture depicting Moses presenting the Ten Commandments as in the Bible. I have to assume this is a picture of Moses holding the ten commandment tablets. I feel in awe that he could hold such big stone tablets above his head, and also that he was able to talk directly to God to receive these instructions. The man looks very proud as he's holding the tablets on his hands. I just really love these old ancient style paintings that clearly depict something clearly, as in no weird shapes or odd things that I don't understand. There is a story being told with this painting. he has carried that for many many miles without rest This looks like Moses holding up the Ten Commandments. The subject matter of the Ten Commandments, who would not want to be present when the finger of God wrote on the stone tablets.  Seeing a physical miracle first hand is awe inspiring. This is awe-inspiring because it is Moses powerfully holding up the Ten Commandment tablets that he has just received from God on Mount Sinai. This man looks triumphant as he holds the stone scrolls above him. A Christian or a Jew might feel in awe of this dramatic depiction of Moses holding the Ten Commandments. The large black tablet looks like it contains a powerful text. the painting has an almost burnt in feeling to it that makes it seem intense im interested in why the artist chose such dark colors for the painting and the stress on the mans face. This painting looks like Moses holding up the Ten Commandments . The patriarch, evincing the strength and conviction to hoist the stone tablet aloft is a figure to inspire wonder and respect.",Awe,Awe,Awe
manabu-mabe_passage-de-fuego-1961,Abstract_Expressionism,fear,5,6,1,https://uploads3.wikiart.org/images/manabu-mabe/passage-de-fuego-1961.jpg,This painting coloring seems to depict a battle between good and evil The brush strokes look very harsh and it makes me a little uncomfortable. It just seems like it is a very aggressive painting. It appears a man holding a gun and the background is covered in blood of the people he killed before.,Anger,Anger,Anger
stanley-pinker_sun-and-moon-flower,Pop_Art,contentment,5,2,0,https://uploads4.wikiart.org/images/stanley-pinker/sun-and-moon-flower.jpg,"this looks like a peeled orange to me. The soft edges and mellow colors feel peaceful and comforting. The context of this imagery is not very engaging, and other than the bright orange circle is boring.",,,
giovanni-battista-tiepolo_apparition-of-the-virgin-to-st-simon-stock-1749,Rococo,awe,5,1,0,https://uploads7.wikiart.org/images/giovanni-battista-tiepolo/apparition-of-the-virgin-to-st-simon-stock-1749.jpg,because of the light colors of the sky and the bright blue robe. There is a lot of inspiration here due to the dramatic feeling in the painting. It is very action packed. The painting looks like the messengers of god came to earth.,Awe,Awe,Awe
frans-snyders_still-life-with-fruit-basket-and-game,Baroque,disgust,5,5,1,https://uploads3.wikiart.org/images/frans-snyders/still-life-with-fruit-basket-and-game.jpg,"A pile of dead animals, even if they are to be eventually used as food, isn't pleasing as a work of art. The dark colors make it even less appealing. The depiction of dead animals being on a table so close to a basket of food makes me think of disease and very unsanitary conditions.",Disgust,Disgust,Disgust
bernardo-bellotto_view-of-turin-from-the-gardens-of-the-palazzo-reale-1745,Rococo,awe,11,1,0,https://uploads8.wikiart.org/images/bernardo-bellotto/view-of-turin-from-the-gardens-of-the-palazzo-reale-1745.jpg,"The life like scene, a moment captured in time. The building are magnificent and the serious colors and detail command respect. The archetecture is beautiful, in a way you don't see anymore. It makes me yearn to travel. It looks photographic. This piece is just so detailed with the details on the buildings and all the different people moving and working about its amazing.",Awe,Awe,Awe
konrad-witz_abishai-kneeling-before-david,Northern_Renaissance,awe,5,1,0,https://uploads2.wikiart.org/images/konrad-witz/abishai-kneeling-before-david.jpg,The man's fancy clothes and large hat makes him look imposing. The man kneels humbly and offers his special gift. A bishop or priest conveying an important message.,Awe,Awe,Awe
joan-mitchell_untitled-1987,Abstract_Expressionism,excitement,5,3,0,https://uploads6.wikiart.org/images/joan-mitchell/untitled-1987.jpg,"The bit on the left of this piece looks like an angry eye on a skull going after something through the shroud of colors. There are two panels even thought the yellow motions of paint connect them. The colors are bright, fast moving, and textured. Excitement and adventure await those that are brave enough to seek it out.  A new day.",Excitement,Excitement,Excitement
allan-ramsay_portrait-of-william-colyear-viscount-milsington,Rococo,awe,5,1,0,https://uploads3.wikiart.org/images/allan-ramsay/portrait-of-william-colyear-viscount-milsington.jpg,A great leader I imagine. Serious face and fancy clothes The man is handsome and his red coat is very bright. The man's face and wardrobe suggest that he is regal and very important.,Anger,Anger,Anger
paula-modersohn-becker_mother-and-child,Expressionism,amusement,5,0,0,https://uploads0.wikiart.org/images/paula-modersohn-becker/mother-and-child.jpg,The way the woman's face is drawn and the color of her cheeks gives this painting a silly feeling. The woman with a serious expression holding fruit between her breasts is comical,Amusement,Amusement,Amusement
mikhail-vrubel_hamlet-and-ophelia-1884,Symbolism,fear,5,6,1,https://uploads8.wikiart.org/images/mikhail-vrubel/hamlet-and-ophelia-1884.jpg,"the face of the man looks like it will open his eyes if you stare on it Both people in the painting have sinister expressions on their face, and the darkness seems to almost surround and pierce them. It is just creepy. The man has too different hands. The one on my left looks like it is made of wood and the hand of the woman not on the chair looks skeletal. The ghosts in the background don't help. The eyes of the sitting man seemed without pupils and the clear face of the woman shifted a bit over the unclear rest of it all makes it seem like a nightmare scene.",Fear,Fear,Fear
albrecht-durer_christ-being-crowned-with-thorns-1510,Northern_Renaissance,fear,6,6,1,https://uploads4.wikiart.org/images/albrecht-durer/christ-being-crowned-with-thorns-1510.jpg,I dislike the violence suggested by some of the people in this image...Is that Jesus? i can't quite tell what's happening here but i'm concerned about the action in the background The darkness makes you feel fear and the turmoil in the background solidifies the fear.,Fear,Fear,Fear
edvard-munch_self-portrait-in-hell-1903,Expressionism,fear,5,6,1,https://uploads0.wikiart.org/images/edvard-munch/self-portrait-in-hell-1903.jpg,"The orange background makes me think of fire and the black is like smoke as if the man is in a fire or in Hell The red and black in the photo make the man look evil. The man's fearful face, along with the orange and black color scheme, make me believe he's burning. That black shadowy shape behind the man could be a demon, or dark wings coming from behind him. The warm orange colors of the painting make one feel like he's in the underworld.",Fear,Fear,Fear
thomas-gainsborough_portrait-of-grace-dalrymple-elliott,Rococo,awe,5,1,0,https://uploads7.wikiart.org/images/thomas-gainsborough/portrait-of-grace-dalrymple-elliott.jpg,"The woman appears to be lost in thought while her portrait is being made by the artist This woman is royal or at least looks the part While the details are very soft and loving in her face, the light contrasting the hair makes her appear much older. The dress seems a bit too low-cut for her appearance in age. The detail in the lady's hair is awesome.",,,
orest-kiprensky_portrait-of-the-artist-s-father-adam-karlovich-schwalbe-1804,Romanticism,fear,5,6,1,https://uploads1.wikiart.org/images/orest-kiprensky/portrait-of-the-artist-s-father-adam-karlovich-schwalbe-1804.jpg,The man is holding out his fist to hit someone The guy in the  picture looks kind of dangerous,Anger,Anger,Anger
marc-chagall_window-in-artist-s-studio-1976,Naive_Art_Primitivism,contentment,5,2,0,https://uploads4.wikiart.org/images/marc-chagall/window-in-artist-s-studio-1976.jpg,I like how the flowers don't look perfect.  I like the shades of blue contrasted with the other colors. The colors of the flowers in the bouquet are so vivid. The brightly coloured flowers are very calming and relaxing to look at,Contentment,Contentment,Contentment
william-hogarth_portrait-of-augusta-of-saxe-gotha,Rococo,awe,6,1,0,https://uploads1.wikiart.org/images/william-hogarth/portrait-of-augusta-of-saxe-gotha.jpg,The woman appears majestic with her rich red and white dress. The beautiful gown the lady is wearing and the two cherubs in the lower corner make this painting hard to turn away from! The ornate golden details on the hem of her gown.,,,
gerrit-dou_still-life-with-a-boy-blowing-soap-bubbles-1636,Baroque,awe,5,1,0,https://uploads1.wikiart.org/images/gerrit-dou/still-life-with-a-boy-blowing-soap-bubbles-1636.jpg,"Simple setting, the picnic basket really stands out well This is a little too dark for my taste, but the level of realism in the painting makes me like it a lot.",Disgust,Disgust,Disgust
david-teniers-the-younger_the-picture-gallery-of-archduke-leopold-wilhelm-1640,Baroque,awe,5,1,0,https://uploads3.wikiart.org/images/david-teniers-the-younger/the-picture-gallery-of-archduke-leopold-wilhelm-1640.jpg,"the concept of this picture, being pictures inside of a picture is really interesting A painting full of other paintings, this is amazingly painstaking. Look at all the detail in this painting!  It is a painting of at least 30 other paintings, most of which contain numerous people engaged in a plethora of activities.  To paint the details of all these faces and body positions boggles my mind.",Awe,Awe,Awe
heorhiy-narbut_illustration-to-three-fables-of-krylov-1911-2,Art_Nouveau_Modern,fear,5,6,1,https://uploads3.wikiart.org/images/heorhiy-narbut/illustration-to-three-fables-of-krylov-1911-2.jpg,The skeleton with his reaper standing over a man holding up his hands in defense looks like the grim reaper coming to take the man's life. Such a dramatic interpretation of death and the afterlife. The skeleton with the sickle represents death who is coming to take the man.,Fear,Fear,Fear
benozzo-gozzoli_saint-ursula-with-angels-and-donor-detail-1,Early_Renaissance,awe,5,1,0,https://uploads2.wikiart.org/images/benozzo-gozzoli/saint-ursula-with-angels-and-donor-detail-1.jpg,"the flag and cape plus the halo suggest authority of both a regal and religious nature The character and symbolism remind me of Christian divinity. All this gold, red and black combination gives a lot of authority to this paint.",Awe,Awe,Awe
maurice-prendergast_easter-procession-st-mark-s,Post_Impressionism,awe,5,1,0,https://uploads8.wikiart.org/images/maurice-prendergast/easter-procession-st-mark-s.jpg,"I feel inspired by this painting of a religious procession, with crosses and surplices. the detailing of each subject in the picture must have taken time the columns in the church remind me of a catherdral",Awe,Awe,Awe
bernardo-bellotto_view-of-warsaw-from-the-terrace-of-the-royal-castle-1773,Rococo,awe,5,1,0,https://uploads8.wikiart.org/images/bernardo-bellotto/view-of-warsaw-from-the-terrace-of-the-royal-castle-1773.jpg,Beautiful scene of an old European city The details make this painting feel like a real place.,Awe,Awe,Awe
konstantinos-volanakis_naval-battle-at-lissa-1869,Realism,fear,5,6,1,https://uploads1.wikiart.org/images/konstantinos-volanakis/naval-battle-at-lissa-1869.jpg,The large ships are on fire.  It is obvious the choppy sea is making it difficult for the life boats to rescue those in the water. The ships looked like they are batted out like toys and the people in the canoe look so fragile. The smoke and sinking ship amongst the choppy waves appear violent and frightening. The dark plumes and redish tones make it look like battle ships going through war. The picture depicting a sea battle with it's dark forboding colors leaves you felling ominous.,Fear,Fear,Fear
theo-van-doesburg_a-dog-1899,Post_Impressionism,contentment,5,2,0,https://uploads7.wikiart.org/images/theo-van-doesburg/a-dog-1899.jpg,The dog seems quite peaceful in the way it rests its head. I absolutely love dogs; and seeing one relax makes me happy,Contentment,Contentment,Contentment
pavel-svinyin_the-monument-to-alexander-hamilton-at-weehawken,Romanticism,contentment,5,2,0,https://uploads4.wikiart.org/images/pavel-svinyin/the-monument-to-alexander-hamilton-at-weehawken.jpg,the bright water contrasts well with the dark landmass The giant cliffs to the right are quite powerful in appearance and I appreciate their form. black and gray island with boats and beach house,Awe,Awe,Awe
fernando-calhau_untitled-1968,Minimalism,contentment,6,2,0,https://uploads8.wikiart.org/images/fernando-calhau/untitled-1968.jpg,"It is very neutral and doesn't make me think much. Flowing shapes fitting into one another. This is a nice simple but elegant design, good for note to a friend",,,
vasily-vereshchagin_samarkand-zindan-underground-prison-1873,Realism,fear,5,6,1,https://uploads3.wikiart.org/images/vasily-vereshchagin/samarkand-zindan-underground-prison-1873.jpg,I don't like the threatening feeling of being surrounded by a horde of people. Why is the mad laying down as if dead?,Fear,Fear,Fear
vasily-vereshchagin_the-apotheosis-of-war-1871,Realism,fear,6,6,1,https://uploads7.wikiart.org/images/vasily-vereshchagin/the-apotheosis-of-war-1871.jpg,"The high mountain of skulls is quite terrifying and it makes me afraid of how they arrived. There is a pile of skulls in the middle of the desert, symbolizing mass death. The pile of human skulls in the empty desert being scavenged by a murder of crows is haunting.",Fear,Fear,Fear
robert-indiana_summer-i-hope-wall-rainbow-roll-1-2010,Pop_Art,amusement,5,0,0,https://uploads5.wikiart.org/images/robert-indiana/summer-i-hope-wall-rainbow-roll-1-2010.jpg,"The colors and words make me happy. I can make out quite a few words in the image, but they seem random and quite weird. I wonder what this is supposed to represent.",Amusement,Amusement,Amusement
amedeo-modigliani_reclining-nude-1917-1,Expressionism,awe,6,1,0,https://uploads0.wikiart.org/images/amedeo-modigliani/reclining-nude-1917-1.jpg,Beauty in the flesh. Captures a feeling of repose. a naked young woman lying on her back on a red covered bed,Contentment,Contentment,Contentment
ilya-mashkov_still-life-with-dahlias-1912,Fauvism,contentment,5,2,0,https://uploads2.wikiart.org/images/ilya-mashkov/still-life-with-dahlias-1912.jpg,Calm still life with beautiful flowers I love how each flower is a different color and how they all pop with a white background simple and basic but calming,,,
francois-boucher_the-toilet,Rococo,amusement,5,0,0,https://uploads6.wikiart.org/images/francois-boucher/the-toilet.jpg,"It looks like the woman on the right is startled The women look like they enjoy life and don't worry too much about housekeeping. Those outfits and makeup of the ladies just looks weird, and that cat laying there made think they are odd people.",Disgust,Disgust,Disgust
giovanni-boldini_the-model-and-the-mannequin-1873,Impressionism,disgust,5,5,1,https://uploads1.wikiart.org/images/giovanni-boldini/the-model-and-the-mannequin-1873.jpg,"the colors are too smudged and chaotic, it looks like a muddled palette rather than women on a couch It is really difficult to tell what’s going on through the clutter.",Disgust,Disgust,Disgust
giovanni-battista-tiepolo_rinaldo-and-armida-are-surprised-by-ubaldo-and-carlo-1755,Rococo,fear,5,6,1,https://uploads8.wikiart.org/images/giovanni-battista-tiepolo/rinaldo-and-armida-are-surprised-by-ubaldo-and-carlo-1755.jpg,This makes me think the subject is sick  but the angel is trying to watch over There seems to be a war and people are upset,Amusement,Amusement,Amusement
albrecht-durer_lobster-1495-1,Northern_Renaissance,disgust,5,5,1,https://uploads8.wikiart.org/images/albrecht-durer/lobster-1495-1.jpg,"I feel like this crabs beady little eyes are staring at me, gross. I don't like sea food and the detail on the crab is impressive but kind of grosses me out. The crab looks like it's been dried out on the beach",Disgust,Disgust,Disgust
pierre-auguste-renoir_madame-monet-reading,Impressionism,contentment,5,2,0,https://uploads3.wikiart.org/images/pierre-auguste-renoir/madame-monet-reading.jpg,A young lady dressed in a colorful gown reading a book The blue compliments the creamy colors of the sofa and the woman's face Her face reflects happiness and contentment and her posture relaxation. The floral pattern seems colorful and fun and the figure seems happy,Contentment,Contentment,Contentment
hans-memling_st-ursula-and-her-companions-from-the-reliquary-of-st-ursula-1489,Northern_Renaissance,awe,5,1,0,https://uploads3.wikiart.org/images/hans-memling/st-ursula-and-her-companions-from-the-reliquary-of-st-ursula-1489.jpg,The woman seems rather holy with her staff and red cape in my opinion. Seeing the people being watched over by a spiritual being creates a sense of awe and respect.,Awe,Awe,Awe
marc-chagall_isaiah-1956,Naive_Art_Primitivism,fear,5,6,1,https://uploads3.wikiart.org/images/marc-chagall/isaiah-1956.jpg,the man looks creepy raising his arms The dark colors and the enigmatic subject matter make me feel fearful.,Fear,Fear,Fear
paolo-uccello_crucifixion-1430,Early_Renaissance,awe,5,1,0,https://uploads0.wikiart.org/images/paolo-uccello/crucifixion-1430.jpg,Everyone is praying and looking towards Jesus Christ. The detailed painting techniques and religious setting made me feel awe.,Awe,Awe,Awe
benozzo-gozzoli_view-of-the-right-hand-wall-of-the-chapel-1465,Early_Renaissance,awe,6,1,0,https://uploads5.wikiart.org/images/benozzo-gozzoli/view-of-the-right-hand-wall-of-the-chapel-1465.jpg,"beautiful and detailed painting.  very intricate love the colors in this, the details within the paintings are awe inspiring The detail is just amazing over all",Awe,Awe,Awe
william-turner_prudhoe-castle-northumberland,Romanticism,awe,5,1,0,https://uploads5.wikiart.org/images/william-turner/prudhoe-castle-northumberland.jpg,The scenery and powerful structure in the back inspire a sense of awe. Just imagining standing at the edge of the water looking off in the distance is awe inspiring. Its the grandness of it all. Life is much larger than the bubbles in which we try to fit it all in. The scene is absolutely gorgeous as the overlook provides an intensively beautiful scene.,Awe,Awe,Awe
hieronymus-bosch_two-monsters,Northern_Renaissance,disgust,5,5,1,https://uploads8.wikiart.org/images/hieronymus-bosch/two-monsters.jpg,"the monster looks like it has arrows painfully stuck in him and parts were cut off It looks like it's half lizard and have roisterer chicken, and a while lion? It's just all disgusting in appearance with the mix matched body parts.",Disgust,Disgust,Disgust
franz-kline_scudera-1961,Action_painting,fear,5,6,1,https://uploads3.wikiart.org/images/franz-kline/scudera-1961.jpg,The colors are dark and it is hard to see what the image is. The use of dark colors plus abstract structures make it feel like a nightmare. The dark colors and the odd shapes make me feel fear from this painting. The background is very dark and scary.,Fear,Fear,Fear
billy-apple_photo-of-billy-apple-1964,Pop_Art,awe,5,1,0,https://uploads7.wikiart.org/images/billy-apple/photo-of-billy-apple-1964.jpg,because the painting looks so life like,Disgust,Disgust,Disgust
odilon-redon_red-thorns,Symbolism,awe,5,1,0,https://uploads2.wikiart.org/images/odilon-redon/red-thorns.jpg,"This is absolutely amazing.  The dynamic colors, the movement and detail, the sharp thorns and pretty flowers, the proud woman, the colors of earth in the background, all make me feel the most ""awed"" out of the paintings I've seen so far.  I'm glad that choice was available. The figure looks angelic staring in the distance.",Awe,Awe,Awe
edouard-manet_woman-in-a-tub,Impressionism,awe,5,1,0,https://uploads7.wikiart.org/images/edouard-manet/woman-in-a-tub.jpg,Such a lovely view of a nuge that is done realistically with a genuine robust look to her body NOT SURE IF I WOULD HANG THIS PICTURE ANYWHERE IN MY HOME.  IS SHE TAKING A BATH IN A BASIN?,Disgust,Disgust,Disgust
