painting,art_style,emotion,repetition,emotion_label,pne,Link,utterance,generated_emotion,last_column_pic,last_column_text
leon-bakst_helene-de-sparte-set-design-1912,Art_Nouveau_Modern,contentment,6,2,0,https://uploads4.wikiart.org/images/leon-bakst/helene-de-sparte-set-design-1912.jpg,"This is fairly neutral in tones and shows what seems to me to be a relaxing place to be. I like the antique look and feel it gives. The colors are very bright, and the sky has a noticeable pattern on it.",Contentment,Awe,Amusement
thomas-gainsborough_portrait-of-peter-godfrey-of-old-hall-east-bergholt-suffolk,Rococo,contentment,6,2,0,https://uploads4.wikiart.org/images/thomas-gainsborough/portrait-of-peter-godfrey-of-old-hall-east-bergholt-suffolk.jpg,makes me feel like i don't want to talk to him because he is snobby. he has a sort of air of arrogance but also he looks proud of himself which I admire an elite man dressed in a blue coat and with white hair and a lovely smile,Disgust,Anger,Amusement
mark-tobey_illuminated-plane-1958,Abstract_Expressionism,disgust,5,5,1,https://uploads3.wikiart.org/images/mark-tobey/illuminated-plane-1958.jpg,"The colors don't fit well together, and it's unpleasant how unclear it is. The mix of colors make it look very messy and dirty.",Disgust,Anger,Amusement
oskar-kokoschka_not_detected_235846,Expressionism,fear,5,6,1,https://uploads5.wikiart.org/images/oskar-kokoschka/not_detected_235846.jpg,"He looks like a monster, like Frankenstein but skinnier. This looks like a distorted painting of a prisoner, someone scary and dangerous.",Fear,Sadness,Amusement
albrecht-durer_st-paul-second-state-1514,Northern_Renaissance,awe,5,1,0,https://uploads1.wikiart.org/images/albrecht-durer/st-paul-second-state-1514.jpg,"The texture of the robe is highly detailed along with the man's beard. Moses came down from the mountain and presented the tablets to the people. The vibrant, electrfying halo commands full attention.  Each line of the halo, a live wire of inspiration.",Amusement,,Awe
edward-burne-jones_night-1870,Symbolism,sadness,5,7,1,https://uploads8.wikiart.org/images/edward-burne-jones/night-1870.jpg,the way the figure is depicted seems quite lonely her spirit looks lost,Sadness,Awe,Amusement
konrad-witz_st-catherine-of-alexandria,Northern_Renaissance,contentment,5,2,0,https://uploads8.wikiart.org/images/konrad-witz/st-catherine-of-alexandria.jpg,she looks like a warrior who uses the power of knowledge to win her battles the fancy background matched with the fancy cloth givs this woman highly profile I love the colors and rich textures of the lady's robes,Awe,,Contentment
peter-paul-rubens_st-jerome-in-his-hermitage-1609,Baroque,awe,5,1,0,https://uploads1.wikiart.org/images/peter-paul-rubens/st-jerome-in-his-hermitage-1609.jpg,the panther's face under the man's red robe is surprising. The man's muscle and physique are excellently detailed in my opinion.,Disgust,,Amusement
marc-chagall_lovers-with-flowers-1927,Cubism,contentment,5,2,0,https://uploads7.wikiart.org/images/marc-chagall/lovers-with-flowers-1927.jpg,"the flowers in their hair looks pretty i like how the flowers make the picture pop, even though the people are greyish The bright flowers and pleasant smiles give this a wistful air.",Contentment,Sadness,Amusement
doug-ohlson_black-and-white-form-1962,Minimalism,fear,5,6,1,https://uploads7.wikiart.org/images/doug-ohlson/black-and-white-form-1962.jpg,The use of sharp lines makes me feel as if I could touch an edge and cut myself. The sharp angles and dark color contrast instills fear.,Fear,,Amusement
pablo-picasso_glass-and-bottle-of-bass-1914,Synthetic_Cubism,contentment,5,2,0,https://uploads4.wikiart.org/images/pablo-picasso/glass-and-bottle-of-bass-1914.jpg,The mix of yellow and black is very pleasing to the eyes. The subjects and the frame make me think of a long gone era,Contentment,Disgust,Amusement
august-macke_on-the-street,Fauvism,contentment,7,2,0,https://uploads5.wikiart.org/images/august-macke/on-the-street.jpg,"The people in this seem very bland, and the colors are darker such as reds, browns and darker yellows. the colors are neutral the solid large bright colors of paint invite my eyes",Disgust,Anger,Amusement
henk-peeters_untitled-1,Minimalism,sadness,5,7,1,https://uploads2.wikiart.org/images/henk-peeters/untitled-1.jpg,The colors are muted and remind me of a funeral for some reason The grayish yellow background feels cold and unfriendly,Sadness,,Amusement
vincent-van-gogh_portrait-of-madame-augustine-roulin-1888,Post_Impressionism,contentment,5,2,0,https://uploads0.wikiart.org/images/vincent-van-gogh/portrait-of-madame-augustine-roulin-1888.jpg,the woman's face blends in with the biege wall behind her The brown haired lady looks intense and devoted.,Fear,Disgust,Amusement
paolo-veronese_minerva-between-the-geometry-and-arithmetic-1551,Mannerism_Late_Renaissance,awe,5,1,0,https://uploads6.wikiart.org/images/paolo-veronese/minerva-between-the-geometry-and-arithmetic-1551.jpg,"Someone went through a lot of trouble to prepare these outfits The costumes in white,gold,green and red stand out against the textured background.",Excitement,,Amusement
pavel-svinyin_the-pennsylvania-hospital,Romanticism,awe,5,1,0,https://uploads0.wikiart.org/images/pavel-svinyin/the-pennsylvania-hospital.jpg,The large building looks like a state government office because of the columns only black and white but it is so beautiful The attention to detail in each part is wonderful,Awe,,Amusement
joan-ponc_untitled-1946-1,Expressionism,disgust,5,5,1,https://uploads4.wikiart.org/images/joan-ponc/untitled-1946-1.jpg,"The painting shows an alien beak drinking from a goblet. I do not like the color combination, its not easy on the eyes.",Amusement,,Disgust
yiannis-tsaroychis_tsamikos-dance-on-the-shore-1978,Naive_Art_Primitivism,sadness,5,7,1,https://uploads3.wikiart.org/images/yiannis-tsaroychis/tsamikos-dance-on-the-shore-1978.jpg,This reminds me of ancient Egypt with the slaves. It's a sad feeling to see men being oppressed. The colors help achieve this as well. this picture reminds me of the slavery in past few centuries This poses of the people make it look as if they are being tortured,Amusement,Fear,Sadness
agostino-carracci_the-ecstasy-of-saint-catherine-1590,Baroque,contentment,5,2,0,https://uploads5.wikiart.org/images/agostino-carracci/the-ecstasy-of-saint-catherine-1590.jpg,"The faces are very serene in this painting, it makes me feel content. this is a peaceful scene of rest and help",Contentment,Awe,Amusement
vincent-van-gogh_vase-with-red-gladioli-1886,Post_Impressionism,awe,5,1,0,https://uploads5.wikiart.org/images/vincent-van-gogh/vase-with-red-gladioli-1886.jpg,The reds and oranges make this painting feel very warm and the flowers are beautiful and bright. Red flowers look like feathers of a phoenix. The red is so bright that it looks like flames,Contentment,,Excitement
ivan-kramskoy_portrait-of-the-artist-g-g-myasoedov-1872,Realism,contentment,5,2,0,https://uploads7.wikiart.org/images/ivan-kramskoy/portrait-of-the-artist-g-g-myasoedov-1872.jpg,This man is so focused on his art that it is inspirational. This makes me feel content because the man looks like he is doing something that he loves!,Contentment,,Amusement
agostino-carracci_bachus-and-ariane,Baroque,disgust,5,5,1,https://uploads5.wikiart.org/images/agostino-carracci/bachus-and-ariane.jpg,"This is just a bizarre scene that shouldn't be painted. No need for this. I don't understand the point in portraying such domination, but it's disgusting. This entire picture and the way the guy is holding the other one is just uncomfortable to me.",Amusement,Fear,Disgust
juan-gris_seated-harlequin-1923,Cubism,excitement,5,3,0,https://uploads1.wikiart.org/images/juan-gris/seated-harlequin-1923.jpg,The different shades of purple make this painting very alive even though his face expresses sadness. A wonderful maze of my favorite colors which include maze and yellow; followed by a strong nun holding an infant.,Amusement,Disgust,Sadness
jean-degottex_media-vii,Minimalism,sadness,5,7,1,https://uploads2.wikiart.org/images/jean-degottex/media-vii.jpg,"The image makes me feel terribly lonely since it is gray and very dreary looking. Another painting of the void the dark colors the nothingness The colors are drab, boring and look like tears falling. It's a black image and is like death.",Amusement,,Sadness
pablo-picasso_the-great-odalisque-after-ingres-1907,Cubism,sadness,5,7,1,https://uploads3.wikiart.org/images/pablo-picasso/the-great-odalisque-after-ingres-1907.jpg,"It's like the artist did a really quick rough, but then gave up on it. There's almost nothing here to look at, besides that blob that somewhat resembles a person. This one looks like a woman sitting on the bed, reaching for someone who is getting up, I don't know why exactly, but this makes me sad. This feels like a restless night that seems to take forever",Sadness,Disgust,Amusement
andy-warhol_gabrielle-navarra-1979,Pop_Art,contentment,5,2,0,https://uploads4.wikiart.org/images/andy-warhol/gabrielle-navarra-1979.jpg,The face is pensive. The person looks content but deep in though This picture makes me feel relaxed. The pose of the man makes me feel he is a smart and intelligent,Amusement,,Contentment
marc-chagall_portrait-of-artist-s-sister-aniuta-1910,Expressionism,contentment,5,2,0,https://uploads4.wikiart.org/images/marc-chagall/portrait-of-artist-s-sister-aniuta-1910.jpg,"This woman looks very stern and confident while staring straight into my eyes. The woman is dressed in colors of red, white and black.",,Sadness,Anger
william-congdon_subiaco-1963,Abstract_Expressionism,contentment,6,2,0,https://uploads7.wikiart.org/images/william-congdon/subiaco-1963.jpg,"A splash of earthy tones and values that allows the painter to totally go to town with creativity. the contrast of colors is very neat, looks like the artist had some feelings he/she needed to let out.",Excitement,,Anger
joan-mitchell_sunflowers-1991,Abstract_Expressionism,contentment,5,2,0,https://uploads8.wikiart.org/images/joan-mitchell/sunflowers-1991.jpg,The splat of all the random colors on the white background The bright colors scattered in chaos against the white back is pollock like These abstract puddles of color look like flowers.,Amusement,Excitement,Anger
eliseu-visconti_bas-de-portiere,Art_Nouveau_Modern,contentment,5,2,0,https://uploads1.wikiart.org/images/eliseu-visconti/bas-de-portiere.jpg,"The use of green and gold in bold patterns makes this artwork relaxing to look at This is nothing special.  But it is quiet, calm, and peaceful.  It is a simple farmers life looking at his corn.",Contentment,,Amusement
juan-gris_the-violin-1916,Synthetic_Cubism,excitement,5,3,0,https://uploads4.wikiart.org/images/juan-gris/the-violin-1916.jpg,"The violin is extremely interesting as it looks invisable . I'm a musician, and I love how this instrument is portrayed! It is so pretty and unique.",Contentment,,Amusement
theodore-rousseau_market-in-the-normandy,Realism,contentment,5,2,0,https://uploads1.wikiart.org/images/theodore-rousseau/market-in-the-normandy.jpg,No matter what time of night or day there was always activities going on in the village. The people seem to be in historic times since they're wearing bonnets The shops are set up selling theirs wares. it is a new day and full of hope.,Contentment,Disgust,Excitement
pierre-auguste-renoir_seated-bather,Impressionism,excitement,5,3,0,https://uploads5.wikiart.org/images/pierre-auguste-renoir/seated-bather.jpg,the girls light colored skin compliments her daker hair. The woman's silky hair and nude form makes her seem attractive.,,Contentment,Amusement
claude-monet_the-seine-at-vetheuil-3,Impressionism,contentment,5,2,0,https://uploads6.wikiart.org/images/claude-monet/the-seine-at-vetheuil-3.jpg,A perfect life in a quaint little town with a happy colored sky A lonely canoe on the water outside the city,Contentment,Awe,Amusement
gustave-caillebotte_woman-at-a-dressing-table,Impressionism,sadness,5,7,1,https://uploads6.wikiart.org/images/gustave-caillebotte/woman-at-a-dressing-table.jpg,The woman looks like she's struggling to fit into her dress The dark dress she is struggling into and her posture makes me think of a woman in mourning.,Sadness,Disgust,Amusement
ad-reinhardt_abstract-painiting-1963,Color_Field_Painting,sadness,6,7,1,https://uploads6.wikiart.org/images/ad-reinhardt/abstract-painiting-1963.jpg,The pitch black makes the picture look sad. Complete darkness makes one sad and this square gives no light.,Sadness,,Amusement
john-duncan-fergusson_alpes-maritimes-1914,Fauvism,excitement,5,3,0,https://uploads3.wikiart.org/images/john-duncan-fergusson/alpes-maritimes-1914.jpg,"The vivid colors and bold brush strokes, mountains juxtaposed with tropical trees. The picture feels like the artist was excited to paint this scene that feels slightly tropical. It's like a tropical town at the base of a snowy mountain.",Amusement,Awe,Excitement
ivan-shishkin_pine-forest-in-viatka-province-1872,Realism,contentment,5,2,0,https://uploads1.wikiart.org/images/ivan-shishkin/pine-forest-in-viatka-province-1872.jpg,"This picture looks covered in pollen. The green and yellow colors makes the photo look scary. The forest looks completely abandoned and at peace The scenery is very nice. I like the greens chosen and the stream makes it seem peaceful, although a bit hazy.",Contentment,Awe,Fear
maxime-maufra_the-descending-street-at-locronan-1906,Post_Impressionism,contentment,5,2,0,https://uploads4.wikiart.org/images/maxime-maufra/the-descending-street-at-locronan-1906.jpg,This makes me think of a smiple quite town. The way the road is pretty much clear except for the two people it seems like the opening for a disney movie. The colors are somewhat bright but seem to be brighter by the suns rays coming up over the left side NICE PAINTING OF COMMUNITY. GOOD COLOR COMBINATIONS..REALISTIC LOOKING,Amusement,Awe,Anger
joshua-reynolds_john-russel-4th-duke-of-bedford-1762,Rococo,amusement,5,0,0,https://uploads4.wikiart.org/images/joshua-reynolds/john-russel-4th-duke-of-bedford-1762.jpg,"The curly hairdo, the heavy clothes and heavy jewelry are so different from male beauty standards today. The man appears well adorned in his garments and regal posture as though he is a general or politician",Awe,,Disgust
raphael-kirchner_maid-of-athens-1900-6,Art_Nouveau_Modern,awe,5,1,0,https://uploads8.wikiart.org/images/raphael-kirchner/maid-of-athens-1900-6.jpg,Makes me feel at peace and knowing beauty isn't everything. Be your own best beautiful. I feel happy over this young woman who is getting ready and freshening up for an important event. This painting shows a young woman admiring her beauty in a mirror.,Contentment,Disgust,Amusement
miriam-schapiro_popova-1992,Cubism,disgust,5,5,1,https://uploads6.wikiart.org/images/miriam-schapiro/popova-1992.jpg,I hate this picture because the yellow color is too obnoxious. I hate this picture because the yellow color is too obnoxious. the background makes it seem a little disjunct.  The color contrast to me isnt visually appealing. the background makes it seem a little disjunct.  The color contrast to me isnt visually appealing.,Anger,Amusement,Disgust
diego-rivera_zapata-1931,Naive_Art_Primitivism,awe,5,1,0,https://uploads3.wikiart.org/images/diego-rivera/zapata-1931.jpg,The use of colors are fascinating to observe. I wonder what this man's profession is.,Fear,,Amusement
ruth-vollmer_in-relation-three-to-four-1968,Minimalism,contentment,5,2,0,https://uploads4.wikiart.org/images/ruth-vollmer/in-relation-three-to-four-1968.jpg,Geometric technology with metals squares and algebra.  Make America Think Harder! The lack of contrast creates a calm scene. The geometric shapes add visual interest without overwhelming the viewer.,Contentment,,Excitement
marc-chagall_peonies-and-lilacs-1926,Naive_Art_Primitivism,contentment,5,2,0,https://uploads6.wikiart.org/images/marc-chagall/peonies-and-lilacs-1926.jpg,the flowers are colorful and brighten their surroundings. these flowers make me think of walking through my flower garden,Contentment,,Amusement
wu-guanzhong_the-hua-mountains-at-sunset-1997,Post_Impressionism,contentment,5,2,0,https://uploads6.wikiart.org/images/wu-guanzhong/the-hua-mountains-at-sunset-1997.jpg,"Nature at its best, I feel like I would like to ho out and find this. this painting looks like an outdoor exhibit with grass on it something about the rhythm of the lines make me pause",Excitement,Anger,Awe
benjamin-west_the-battle-of-la-hogue-destruction-of-the-french-fleet-may-22-1692,Rococo,sadness,5,7,1,https://uploads5.wikiart.org/images/benjamin-west/the-battle-of-la-hogue-destruction-of-the-french-fleet-may-22-1692.jpg,The elements are very depressing to see. The clouds look very dark and sad. People have been hurt and more violence is impending. It looks like a hopeless situation.,Amusement,Fear,Sadness
franz-marc_cows-yellow-red-green-1912,Expressionism,contentment,5,2,0,https://uploads7.wikiart.org/images/franz-marc/cows-yellow-red-green-1912.jpg,"Every animal has their feelings of bliss and watching it happen can inspire that same feeling in us. the reds, yellows and greens make me feel like I am standing in a vegetable garden",Amusement,Fear,Contentment
edvard-munch_sister-inger-1884,Impressionism,contentment,5,2,0,https://uploads0.wikiart.org/images/edvard-munch/sister-inger-1884.jpg,"I love how the woman appears to disappear into the blackness of the backdrop. She appears so lovely and self-conscious. Clothing and background blend together, so the face and hands are nicley highlighted.",Contentment,Fear,Amusement
gustave-caillebotte_woman-seated-on-the-lawn,Impressionism,fear,5,6,1,https://uploads5.wikiart.org/images/gustave-caillebotte/woman-seated-on-the-lawn.jpg,The face of the woman is faded and she looks like a ghost. the  washed out face makes this person seem creepy The featureless face and darkness is somewhat disturbing,Fear,Disgust,Amusement
berthe-morisot_the-isle-of-wight-1875,Impressionism,contentment,5,2,0,https://uploads7.wikiart.org/images/berthe-morisot/the-isle-of-wight-1875.jpg,I like how in the messiness of the painting you find the details. This looks like a good scene but the art style leaves too much to the imagination. the colors are calmoning overall but especially when coupled with the maritime subject matter I like the overall tranquility of the scene. The lightness of the colors used add to the feeling of ease and calmness.,Contentment,Disgust,Amusement
pierre-bonnard_sea-landscape-1900,Post_Impressionism,contentment,5,2,0,https://uploads3.wikiart.org/images/pierre-bonnard/sea-landscape-1900.jpg,These people look scared. The waves are taking over and the boat doesn't look sturdy. The dark sea and the small boat makes me feel tension(in a good way).  The artist was able to capture the power of the sea very well.,Fear,Excitement,Amusement
masaccio_madonna-casini,Early_Renaissance,contentment,6,2,0,https://uploads2.wikiart.org/images/masaccio/madonna-casini.jpg,"The colors are warm and comforting, even though it feels somber. feeling content from this family and motherly picture Mother holding her baby makes me feel good to see. The baby looks happy that the mother is tickling it",Contentment,Awe,Amusement
giovanni-bellini_madonna-and-child-1,Early_Renaissance,awe,5,1,0,https://uploads6.wikiart.org/images/giovanni-bellini/madonna-and-child-1.jpg,"Wonderful detail, the sky contrasts nicely with the rest of the painting. The defining outlines of the mother and child are very effective in evoking emotions.",Contentment,Awe,Amusement
francisco-goya_the-swing-1779,Romanticism,contentment,6,2,0,https://uploads8.wikiart.org/images/francisco-goya/the-swing-1779.jpg,The smiles on the children face bring out the blue in the sky. It gives me peace of mind that the children are having a happy day with their mothers. The children are in movement by masterful design,Contentment,Disgust,Amusement
tano-festa_finestra,Pop_Art,contentment,5,2,0,https://uploads7.wikiart.org/images/tano-festa/finestra.jpg,The blue and orange are cool. It reminds me of looking out a window on a cold winter day. all of the colors give me a sense of just wanting to sit and look at them. They work well together.,Contentment,,Amusement
john-lewis-krimmel_young-girl-with-a-blue-dress,Realism,contentment,5,2,0,https://uploads8.wikiart.org/images/john-lewis-krimmel/young-girl-with-a-blue-dress.jpg,I really liked the level of detail in her drwss. It makes her look very nice and proper. I really liked the level of detail in her drwss. It makes her look very nice and proper. Her blue dress contrasts well against the background and matches her blue eyes. Her blue dress contrasts well against the background and matches her blue eyes. suject looks to be at ease and enjoying herself suject looks to be at ease and enjoying herself,Contentment,,Amusement
mark-rothko_red-white-and-brown,Color_Field_Painting,anger,5,4,1,https://uploads1.wikiart.org/images/mark-rothko/red-white-and-brown.jpg,There really is'nt a subject matter and the color makes me angry. Red is a color of anger.   White at the bottom is reminiscent of a grimacing mouth.,Anger,,Amusement
vincent-van-gogh_portrait-of-a-patient-in-saint-paul-hospital-1889,Post_Impressionism,fear,5,6,1,https://uploads0.wikiart.org/images/vincent-van-gogh/portrait-of-a-patient-in-saint-paul-hospital-1889.jpg,The smudged forehead looks like devil's horns. the details on the man's head resemble demon horns The distorted shape of the mans head makes him look like a demon. The man's head looks like he has horns on his head like a demon.,Amusement,Sadness,Fear
paul-cezanne_young-italian-girl-resting-on-her-elbow-1896,Post_Impressionism,sadness,5,7,1,https://uploads0.wikiart.org/images/paul-cezanne/young-italian-girl-resting-on-her-elbow-1896.jpg,"Because he appears to be thinking about something bad that happened to him. This poor woman, I feel so badly for her for what she is obviously going through",Sadness,Disgust,Amusement
mark-rothko_untitled-5,Color_Field_Painting,fear,5,6,1,https://uploads1.wikiart.org/images/mark-rothko/untitled-5.jpg,The burnt orange color looks like fire outside of a window This red/orange color is overwhelming and reminds me of Kingpin who used to stare at the red wall.,Anger,,Amusement
giovanni-antonio-boltraffio_a-youth-crowned-with-flowers,High_Renaissance,contentment,5,2,0,https://uploads8.wikiart.org/images/giovanni-antonio-boltraffio/a-youth-crowned-with-flowers.jpg,"the figure has a beautiful, pleasing face and nice expression The girl looks very happy and content.",Contentment,,Amusement
fernand-leger_red-pot-1926,Cubism,amusement,5,0,0,https://uploads5.wikiart.org/images/fernand-leger/red-pot-1926.jpg,It's fun trying to figure out what this is. Feels like there is a story in the image.,Amusement,,Excitement
arshile-gorky_water-of-the-flowery-mill,Abstract_Expressionism,awe,5,1,0,https://uploads0.wikiart.org/images/arshile-gorky/water-of-the-flowery-mill.jpg,"i love how much it pops and the exciting colors they use. The flowing nature of the paint, the vibrant colors, and the unclear subject matter captures my attention and forces me to engage with the painting. This mysterious nature of these elements interacting is incredibly interesting.",Amusement,Disgust,Excitement
camille-corot_road-through-wooded-mountains,Realism,contentment,5,2,0,https://uploads4.wikiart.org/images/camille-corot/road-through-wooded-mountains.jpg,The beautiful scenery is impressive in its three dimensional details and perspective The earthy colors depicting a calm meadow is relaxing I love the landscape aspect but the hue is something to be desired.,Contentment,Awe,Disgust
salvador-dali_two-adolescents,Expressionism,fear,5,6,1,https://uploads8.wikiart.org/images/salvador-dali/two-adolescents.jpg,"The guy on the right doesn't even have a face, which is super creepy. I am intrigued as to why the men appear naked in such a dark place. I see no water - so I wonder if they are doing okay.",Fear,Disgust,Amusement
tano-festa_omaggio-a-francis-bacon-1981,Pop_Art,contentment,5,2,0,https://uploads0.wikiart.org/images/tano-festa/omaggio-a-francis-bacon-1981.jpg,"beautiful contrast of colors, the blue is dark but bright Abstract art makes me feel happy and makes me search for meaning.",Contentment,,Amusement
joshua-reynolds_sir-richard-worsley,Rococo,contentment,5,2,0,https://uploads5.wikiart.org/images/joshua-reynolds/sir-richard-worsley.jpg,"The red and gold outfit of this solder highlights his proud pose. He is probably a nice guy, but zero personality. Boring boring boring This man seems like a valiant and brave soldier The dark background against his red jacket make for a striking contrast",Disgust,,Amusement
vasily-vereshchagin_looking-out-1873,Realism,awe,6,1,0,https://uploads6.wikiart.org/images/vasily-vereshchagin/looking-out-1873.jpg,I love the colors of the grass and the clothing.  I also like the perspective used. The attention to detail and switch densely painted areas is impressive,Awe,Fear,Contentment
vincent-van-gogh_standing-female-nude-seen-from-the-front-1886,Post_Impressionism,awe,5,1,0,https://uploads5.wikiart.org/images/vincent-van-gogh/standing-female-nude-seen-from-the-front-1886.jpg,"The woman seems very confident to pose in such a way while nude. The woman looks like a goddess since she's holding her arms out high love the skin tone in this work, that the rose tone adds warmth",Contentment,Disgust,Amusement
ivan-bilibin_sketch-for-the-opera-the-golden-cockerel-by-nikolai-rimsky-korsakov-1909,Art_Nouveau_Modern,contentment,6,2,0,https://uploads1.wikiart.org/images/ivan-bilibin/sketch-for-the-opera-the-golden-cockerel-by-nikolai-rimsky-korsakov-1909.jpg,"The view of the skyline in the background is grand and filling me with contentment. This picture is of a home that people live in a country far away from us A banquet room in a palace is grandiose to an extreme, but facing perhaps an even grander castle ahead.",Amusement,,Contentment
utagawa-kuniyoshi_hatsuhana-doing-penance-under-the-tonosawa-waterfall,Ukiyo_e,awe,5,1,0,https://uploads4.wikiart.org/images/utagawa-kuniyoshi/hatsuhana-doing-penance-under-the-tonosawa-waterfall.jpg,The rays of light coming down over her look like a waterfall the water breaking over her head and beneath her looks amazing,Awe,Fear,Excitement
pisanello_dog,Early_Renaissance,sadness,5,7,1,https://uploads1.wikiart.org/images/pisanello/dog.jpg,The dog does not look happy and appears to be muzzled The dog being bandaged up makes me sad. Did he get in a fight? Or is he an aggressive dog? Makes me feel very sad This dog is trained and has a job to do. I don't like the thought of a dog being muzzled.,Amusement,Disgust,Sadness
paul-cezanne_man-with-a-pipe-1892,Post_Impressionism,contentment,5,2,0,https://uploads3.wikiart.org/images/paul-cezanne/man-with-a-pipe-1892.jpg,"The sketchy look to it makes me feel like I'm in a John Steinbeck novel. The man's blank expression seems numb, but the forceful brushstrokes in the background suggest inner turmoil.",Sadness,,Amusement
claude-monet_the-pond-at-montgeron,Impressionism,contentment,5,2,0,https://uploads4.wikiart.org/images/claude-monet/the-pond-at-montgeron.jpg,I want to fish in this pond with the person on the back. The way the got the trees to shine in the water. Perfect reflection of the trees in this little pond,Contentment,Awe,Excitement
edvard-munch_girl-yawning-1913,Expressionism,sadness,5,7,1,https://uploads0.wikiart.org/images/edvard-munch/girl-yawning-1913.jpg,This woman looks upset  and ashamed about what she just did and I feel bad for her. The woman looks sad and pain which makes me feel sad,Sadness,Disgust,Amusement
vincent-van-gogh_fishing-boats-at-sea-1888(1),Post_Impressionism,contentment,5,2,0,https://uploads6.wikiart.org/images/vincent-van-gogh/fishing-boats-at-sea-1888(1).jpg,"The line of boats peacefully sailing along the shore remind me of the simplicity of the natural world. The drawing appears messy and rushed, though it simply conveys a seascape.",Contentment,Disgust,Amusement
carlo-crivelli_crucifixion,Early_Renaissance,sadness,6,7,1,https://uploads5.wikiart.org/images/carlo-crivelli/crucifixion.jpg,"This makes me feel sad because it shows a punishment. Crucifixion is terrible way to die. Besides the religious implacarions, the anguish on the angles faces and the ways even the colors are muted give the painting a sad feeling.",Sadness,Awe,Amusement
frans-hals_portrait-of-a-woman-1633-1,Baroque,contentment,6,2,0,https://uploads7.wikiart.org/images/frans-hals/portrait-of-a-woman-1633-1.jpg,"The woman looks at peace, and her hair reminds me of princess Leiah from star wars. The woman in a formal modest dress smiles with contentment She looks happy and composed in this portrait. This painting is dull, but it has a lot of artistic skill",Contentment,,Amusement
